scenario,profile,run_index,seed,step,actual_topology,detected_topology,topology_wrong_monitoring,topology_false_stability,collapse_share,S_network,trigger_A,trigger_A_source,false_stability,phase_divergence,message_loss
topology_lag_centralizing,mid_stress,0,10170,70,centralizing,ring_mesh,1,0,0.016667,0.957543,0,,0,0.249985,0.06
topology_lag_centralizing,mid_stress,0,10170,71,centralizing,ring_mesh,1,0,0.016667,0.957709,0,,0,0.230472,0.06
topology_lag_centralizing,mid_stress,0,10170,72,centralizing,ring_mesh,1,0,0.016667,0.957683,0,,0,0.234307,0.06
topology_lag_centralizing,mid_stress,0,10170,73,centralizing,ring_mesh,1,0,0.016667,0.957741,0,,0,0.240498,0.06
topology_lag_centralizing,mid_stress,0,10170,74,centralizing,ring_mesh,1,0,0.016667,0.95715,0,,0,0.242081,0.06
topology_lag_centralizing,mid_stress,0,10170,75,centralizing,ring_mesh,1,0,0.016667,0.956685,0,,0,0.222292,0.06
topology_lag_centralizing,mid_stress,0,10170,76,centralizing,ring_mesh,1,0,0.016667,0.956345,0,,0,0.249985,0.06
topology_lag_centralizing,mid_stress,0,10170,77,centralizing,ring_mesh,1,0,0.016667,0.955884,0,,0,0.230472,0.06
topology_misclassification_async,mid_stress,0,10200,52,ring_mesh,ring_mesh,0,0,0.0,0.956933,0,,0,0.242634,0.28
topology_misclassification_async,mid_stress,0,10200,53,ring_mesh,ring_mesh,0,0,0.0,0.95771,0,,0,0.278687,0.28
topology_misclassification_async,mid_stress,0,10200,54,ring_mesh,ring_mesh,0,0,0.0,0.958374,0,,0,0.302237,0.28
topology_misclassification_async,mid_stress,0,10200,55,centralizing,ring_mesh,1,0,0.0,0.955652,0,,0,0.282264,0.28
topology_misclassification_async,mid_stress,0,10200,56,centralizing,ring_mesh,1,0,0.0,0.954993,0,,0,0.242126,0.28
topology_misclassification_async,mid_stress,0,10200,57,centralizing,ring_mesh,1,0,0.0,0.95461,0,,0,0.275479,0.28
topology_misclassification_async,mid_stress,0,10200,58,centralizing,ring_mesh,1,0,0.0,0.954619,0,,0,0.285386,0.28
topology_misclassification_async,mid_stress,0,10200,59,centralizing,ring_mesh,1,0,0.0,0.954693,0,,0,0.291514,0.28
topology_misclassification_async,mid_stress,0,10200,60,centralizing,ring_mesh,1,0,0.016667,0.953356,0,,0,0.269607,0.28
topology_misclassification_async,mid_stress,0,10200,61,centralizing,ring_mesh,1,0,0.016667,0.953008,0,,0,0.279854,0.28
topology_misclassification_async,mid_stress,0,10200,62,centralizing,ring_mesh,1,0,0.016667,0.953309,0,,0,0.266269,0.28
topology_misclassification_async,mid_stress,0,10200,63,centralizing,ring_mesh,1,0,0.016667,0.952937,0,,0,0.282899,0.28
topology_misclassification_async,mid_stress,0,10200,64,centralizing,ring_mesh,1,0,0.016667,0.952411,0,,0,0.275588,0.28
topology_misclassification_async,mid_stress,0,10200,65,centralizing,ring_mesh,1,0,0.016667,0.952405,0,,0,0.292928,0.28
topology_misclassification_async,mid_stress,0,10200,66,centralizing,ring_mesh,1,0,0.016667,0.951654,0,,0,0.275538,0.28
topology_misclassification_async,mid_stress,0,10200,67,centralizing,ring_mesh,1,0,0.016667,0.95245,0,,0,0.262775,0.28
topology_misclassification_async,mid_stress,0,10200,68,centralizing,ring_mesh,1,0,0.016667,0.951393,0,,0,0.25366,0.28
topology_misclassification_async,mid_stress,0,10200,69,centralizing,ring_mesh,1,0,0.016667,0.95164,0,,0,0.30133,0.28
topology_misclassification_async,mid_stress,0,10200,70,centralizing,ring_mesh,1,0,0.016667,0.951625,0,,0,0.289401,0.28
topology_misclassification_async,mid_stress,0,10200,71,centralizing,ring_mesh,1,0,0.016667,0.952538,0,,0,0.26151,0.28
topology_misclassification_async,mid_stress,0,10200,72,centralizing,ring_mesh,1,0,0.016667,0.951444,0,,0,0.246101,0.28
topology_misclassification_async,mid_stress,0,10200,73,centralizing,ring_mesh,1,0,0.016667,0.951787,0,,0,0.286032,0.28
topology_misclassification_async,mid_stress,0,10200,74,centralizing,ring_mesh,1,0,0.016667,0.952323,0,,0,0.296046,0.28
topology_misclassification_async,mid_stress,0,10200,75,centralizing,ring_mesh,1,0,0.016667,0.952364,0,,0,0.287625,0.28
topology_misclassification_async,mid_stress,0,10200,76,centralizing,ring_mesh,1,0,0.016667,0.951731,0,,0,0.244429,0.28
topology_misclassification_async,mid_stress,0,10200,77,centralizing,ring_mesh,1,0,0.016667,0.951563,0,,0,0.268672,0.28
