batch_id,scenario,scenario_family,profile,run_index,seed,topology_initial,topology_final_detected,steps,a,b,c,lambda_damping,alpha_cognition,mu_cognition,k_D,k_C,k_T,k_b,break_condition_margin,f_min,kappa_min_protected,psi_lambda,psi_weight_profile,psi_threshold,psi_w_t,psi_w_d,psi_w_g,psi_w_s,psi_w_regime,message_loss,final_T_mean,final_T_min,final_D_mean,final_C_mean,final_I_mean,final_S_network,final_G_formal,final_G_effective,collapse_share_peak,sustained_ignition,ignition_onset_step,trigger_A_count,trigger_A_first_step,trigger_A_source,collapse30_event_first_step,collapse40_event_first_step,cluster35_event_first_step,t_mean30_event_first_step,s_network35_event_first_step,trigger_A_lead_to_collapse30,trigger_A_lead_to_collapse40,trigger_A_lead_to_cluster35,trigger_A_lead_to_t_mean30,trigger_A_lead_to_s_network35,trigger_A_before_collapse30,trigger_A_false_positive_no_collapse30,trigger_B_count,trigger_B_first_step,trigger_C_count,trigger_D_count,false_stability_steps,async_false_stability_steps,final_hub1_S,final_hub2_S,final_hub3_S,min_hub1_S,min_hub2_S,min_hub3_S,external_intervention_count,resource_exhaustion_step,resource_floor_steps,max_unmet_recovery_demand,max_routing_delay_loss,routing_delay_steps,reclassification_latency_steps,star_adjacency_persist_steps,topology_wrong_monitoring_steps,centralizing_wrong_monitoring_steps,star_wrong_monitoring_steps,topology_false_stability_steps,max_wrong_monitoring_window,hub_degree_min,hub_degree_max,hub_degree_imbalance
grand_sim_v0_6,topology_drift,topology_drift,low_stress,3,10133,ring_mesh,star_adjacent,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,,0.3,,,,,,0.03,0.986281,0.17683,0.119152,0.0,0.965377,0.448311,1.0,1.0,0.016667,0,,80,80,C04_S_THRESHOLD,,,,,80,,,,,0,0,0,0,,0,0,0,0,0.448311,,,0.202283,,,0,,0,0.0,0.0,0,25,80,25,25,0,0,25,59,59,0
grand_sim_v0_6,topology_drift,topology_drift,low_stress,4,10134,ring_mesh,star_adjacent,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,,0.3,,,,,,0.03,0.985471,0.128287,0.116569,0.0,0.96241,0.428052,1.0,1.0,0.016667,0,,80,80,C04_S_THRESHOLD,,,,,87,,,,,7,0,0,0,,0,0,0,0,0.428052,,,0.201954,,,0,,0,0.0,0.0,0,25,80,25,25,0,0,25,59,59,0
grand_sim_v0_6,topology_drift,topology_drift,low_stress,5,10135,ring_mesh,star_adjacent,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,,0.3,,,,,,0.03,0.986298,0.177866,0.112063,0.0,0.967266,0.45927,1.0,1.0,0.016667,0,,80,80,C04_S_THRESHOLD,,,,,80,,,,,0,0,0,0,,0,0,0,0,0.45927,,,0.202274,,,0,,0,0.0,0.0,0,25,80,25,25,0,0,25,59,59,0
grand_sim_v0_6,topology_drift,topology_drift,low_stress,6,10136,ring_mesh,star_adjacent,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,,0.3,,,,,,0.03,0.986712,0.202701,0.113209,0.0,0.961672,0.470244,1.0,1.0,0.016667,0,,80,80,C04_S_THRESHOLD,,,,,80,,,,,0,0,0,0,,0,0,0,0,0.470244,,,0.202132,,,0,,0,0.0,0.0,0,25,80,25,25,0,0,25,59,59,0
grand_sim_v0_6,topology_drift,topology_drift,low_stress,7,10137,ring_mesh,star_adjacent,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,,0.3,,,,,,0.03,0.985717,0.143034,0.115281,0.0,0.96553,0.442825,1.0,1.0,0.016667,0,,80,80,C04_S_THRESHOLD,,,,,88,,,,,8,0,0,0,,0,0,0,0,0.442825,,,0.202326,,,0,,0,0.0,0.0,0,25,80,25,25,0,0,25,59,59,0
grand_sim_v0_6,topology_drift,topology_drift,low_stress,8,10138,ring_mesh,star_adjacent,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,,0.3,,,,,,0.03,0.987111,0.226634,0.110528,0.0,0.967998,0.484596,1.0,1.0,0.016667,0,,79,80,C04_S_THRESHOLD,,,,,80,,,,,0,0,0,0,,0,0,0,0,0.484596,,,0.202281,,,0,,0,0.0,0.0,0,25,80,25,25,0,0,25,59,59,0
grand_sim_v0_6,topology_drift,topology_drift,low_stress,9,10139,ring_mesh,star_adjacent,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,,0.3,,,,,,0.03,0.98966,0.37962,0.114031,0.0,0.963698,0.558553,1.0,1.0,0.016667,0,,70,80,C04_S_THRESHOLD,,,,,80,,,,,0,0,0,0,,0,0,0,0,0.558553,,,0.202128,,,0,,0,0.0,0.0,0,25,80,25,25,0,0,25,59,59,0
grand_sim_v0_6,topology_drift,topology_drift,mid_stress,0,10140,ring_mesh,star_adjacent,160,0.1,0.08,0.06,0.29,1.6,0.12,0.1,0.08,0.16,0.0095,0.00791,0.3,0.25,0.1,,0.3,,,,,,0.06,0.03,0.03,0.130805,0.999198,0.025607,0.161411,0.0,0.0,1.0,1,96,80,80,C04_S_THRESHOLD,95,96,,99,80,15,16,,19,0,1,0,0,,0,52,0,0,0.180994,,,0.089139,,,0,,0,0.0,0.0,0,25,80,25,25,0,0,25,59,59,0
grand_sim_v0_6,topology_drift,topology_drift,mid_stress,1,10141,ring_mesh,star_adjacent,160,0.1,0.08,0.06,0.29,1.6,0.12,0.1,0.08,0.16,0.0095,0.00791,0.3,0.25,0.1,,0.3,,,,,,0.06,0.03,0.03,0.121408,0.998955,0.024559,0.163236,0.0,0.0,1.0,1,96,80,80,C04_S_THRESHOLD,95,96,,98,80,15,16,,18,0,1,0,0,,0,54,0,0,0.182856,,,0.088736,,,0,100,28,0.002138,0.0,0,25,80,25,25,0,0,25,59,59,0
grand_sim_v0_6,topology_drift,topology_drift,mid_stress,2,10142,ring_mesh,star_adjacent,160,0.1,0.08,0.06,0.29,1.6,0.12,0.1,0.08,0.16,0.0095,0.00791,0.3,0.25,0.1,,0.3,,,,,,0.06,0.03,0.03,0.137273,0.99932,0.026069,0.159159,0.0,0.0,1.0,1,96,80,80,C04_S_THRESHOLD,96,96,,100,80,16,16,,20,0,1,0,0,,0,54,0,0,0.17298,,,0.089407,,,0,,0,0.0,0.0,0,25,80,25,25,0,0,25,59,59,0
