batch_id,scenario,profile,runs,sustained_ignition_rate,avg_collapse_share_peak,avg_final_T_mean,avg_final_S_network,avg_final_G_effective,avg_trigger_A_count,avg_trigger_B_count,avg_trigger_C_count,avg_false_stability_steps,avg_async_false_stability_steps,avg_topology_wrong_monitoring_steps,avg_topology_false_stability_steps,avg_max_wrong_monitoring_window,resource_exhaustion_rate,avg_resource_floor_steps,avg_max_unmet_recovery_demand,avg_max_routing_delay_loss
grand_sim_v0_6,hub_3_unbalanced_primary_failure,mid_stress,10,0.1,0.32,0.602506,0.347363,0.794543,115.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.1,0.004582,0.0
grand_sim_v0_6,hub_3_unbalanced_secondary_failure,high_stress,10,1.0,1.0,0.03,0.146986,0.0,140.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_6,hub_3_unbalanced_secondary_failure,low_stress,10,0.0,0.016667,0.986839,0.460459,1.0,94.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_6,hub_3_unbalanced_secondary_failure,mid_stress,10,0.0,0.103334,0.883917,0.361608,1.0,113.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,20.5,0.002882,0.0
grand_sim_v0_6,mixed_hia_identity,high_stress,10,1.0,1.0,0.03,0.165019,0.0,131.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_6,mixed_hia_identity,low_stress,10,0.0,0.0,0.865787,0.814371,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_6,mixed_hia_identity,mid_stress,10,0.0,0.003333,0.839063,0.79421,0.986253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_6,psi_corruption,high_stress,10,1.0,1.0,0.03,0.156162,0.0,136.9,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_6,psi_corruption,low_stress,10,0.0,0.333333,0.676667,0.382648,0.804677,31.5,0.0,160.0,0.0,0.0,0.0,0.0,0.0,1.0,44.9,0.002411,0.0
grand_sim_v0_6,psi_corruption,mid_stress,10,0.0,0.333333,0.676667,0.340067,0.540229,60.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,1.0,80.4,0.002191,0.0
grand_sim_v0_6,resource_budget_shock,high_stress,10,1.0,1.0,0.03,0.140056,0.0,139.8,111.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134.0,0.022833,0.0
grand_sim_v0_6,resource_budget_shock,low_stress,10,1.0,1.0,0.03,0.265914,0.0,107.8,85.3,20.0,6.0,0.0,0.0,0.0,0.0,1.0,104.3,0.024778,0.0
grand_sim_v0_6,resource_budget_shock,mid_stress,10,1.0,1.0,0.03,0.163124,0.0,119.6,87.1,20.0,6.3,0.0,0.0,0.0,0.0,1.0,112.3,0.023069,0.0
grand_sim_v0_6,resource_routing_delay,high_stress,10,1.0,1.0,0.03,0.142449,0.0,135.8,110.1,0.0,4.3,4.3,0.0,0.0,0.0,1.0,127.5,0.023003,0.010397
grand_sim_v0_6,resource_routing_delay,low_stress,10,1.0,1.0,0.03,0.266534,0.0,101.2,74.8,20.0,6.2,0.2,0.0,0.0,0.0,1.0,91.4,0.02337,0.010253
grand_sim_v0_6,resource_routing_delay,mid_stress,10,1.0,1.0,0.03,0.164968,0.0,116.9,87.1,20.0,7.7,5.4,0.0,0.0,0.0,1.0,106.0,0.022901,0.010361
grand_sim_v0_6,ring_baseline,high_stress,10,1.0,1.0,0.03,0.169327,0.0,119.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_6,ring_baseline,low_stress,10,0.0,0.0,1.0,0.988203,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_6,ring_baseline,mid_stress,10,0.0,0.0,1.0,0.986973,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_6,star_unsafe_reference,high_stress,10,1.0,1.0,0.03,0.140421,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,28.9,0.010273,0.0
grand_sim_v0_6,star_unsafe_reference,low_stress,10,0.0,0.08,0.803872,0.395286,1.0,96.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.000661,0.0
grand_sim_v0_6,star_unsafe_reference,mid_stress,10,1.0,1.0,0.03,0.146769,0.0,122.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_6,topology_drift,high_stress,10,1.0,1.0,0.03,0.150975,0.0,131.5,0.0,0.0,0.1,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0
grand_sim_v0_6,topology_drift,low_stress,10,0.0,0.016667,0.986853,0.473871,1.0,78.2,0.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0
grand_sim_v0_6,topology_drift,mid_stress,10,1.0,1.0,0.03,0.159386,0.0,80.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,0.7,23.0,0.001498,0.0
grand_sim_v0_6,topology_lag_centralizing,high_stress,10,1.0,1.0,0.03,0.145512,0.0,133.8,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0
grand_sim_v0_6,topology_lag_centralizing,low_stress,10,0.0,0.016667,0.986623,0.459793,1.0,78.3,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0
grand_sim_v0_6,topology_lag_centralizing,mid_stress,10,1.0,1.0,0.03,0.154943,0.0,80.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.6,29.7,0.001308,0.0
grand_sim_v0_6,topology_misclassification_async,high_stress,10,1.0,1.0,0.03,0.141785,0.0,129.8,0.0,0.0,0.8,0.8,65.0,0.0,65.0,0.0,0.0,0.0,0.0
grand_sim_v0_6,topology_misclassification_async,low_stress,10,0.0,0.016667,0.985911,0.435661,1.0,80.0,0.0,0.0,0.0,0.0,65.0,0.0,65.0,0.0,0.0,0.0,0.0
grand_sim_v0_6,topology_misclassification_async,mid_stress,10,1.0,1.0,0.03,0.158895,0.0,80.0,0.0,14.5,4.0,0.6,65.0,0.0,65.0,0.0,0.0,0.0,0.0
grand_sim_v0_6,trigger_b_deadlock,high_stress,10,1.0,1.0,0.03,0.146408,0.0,137.5,110.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,128.0,0.015832,0.0
grand_sim_v0_6,trigger_b_deadlock,low_stress,10,1.0,1.0,0.03,0.272164,0.0,106.7,82.9,20.0,6.0,0.0,0.0,0.0,0.0,1.0,100.9,0.01685,0.0
grand_sim_v0_6,trigger_b_deadlock,mid_stress,10,1.0,1.0,0.03,0.173387,0.0,118.8,87.0,20.0,6.0,0.0,0.0,0.0,0.0,1.0,107.0,0.015906,0.0
