batch_id,variant,weight_profile,psi_lambda,psi_threshold,scenario,profile,runs,positive_runs,negative_runs,detected_true_positive_rate,on_time_true_positive_rate,missed_detection_rate,false_positive_rate,avg_lead_steps,median_lead_steps,min_lead_steps,max_lead_steps,avg_lag_steps
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.16,async_message_loss,low_stress,10,0,10,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.16,async_message_loss,mid_stress,10,0,10,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.16,async_message_loss,high_stress,10,10,0,1.0,1.0,0.0,0.0,31.4,31.0,29.0,33.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.16,federation_bridge_stress,low_stress,10,0,10,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.16,federation_bridge_stress,mid_stress,10,0,10,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.16,federation_bridge_stress,high_stress,10,10,0,1.0,1.0,0.0,0.0,24.7,24.0,23.0,27.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.16,federation_cluster_attack,low_stress,10,10,0,1.0,1.0,0.0,0.0,97.2,98.0,92.0,99.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.16,federation_cluster_attack,mid_stress,10,10,0,1.0,1.0,0.0,0.0,65.9,66.0,62.0,67.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.16,federation_cluster_attack,high_stress,10,10,0,1.0,1.0,0.0,0.0,26.5,27.0,25.0,28.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.16,psi_corruption,low_stress,10,10,0,1.0,1.0,0.0,0.0,87.1,87.0,86.0,88.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.16,psi_corruption,mid_stress,10,10,0,1.0,1.0,0.0,0.0,59.9,60.0,57.0,61.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.16,psi_corruption,high_stress,10,10,0,1.0,1.0,0.0,0.0,24.6,24.0,23.0,27.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.18,async_message_loss,low_stress,10,0,10,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.18,async_message_loss,mid_stress,10,0,10,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.18,async_message_loss,high_stress,10,10,0,1.0,1.0,0.0,0.0,31.4,31.0,29.0,33.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.18,federation_bridge_stress,low_stress,10,0,10,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.18,federation_bridge_stress,mid_stress,10,0,10,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.18,federation_bridge_stress,high_stress,10,10,0,1.0,1.0,0.0,0.0,24.7,24.0,23.0,27.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.18,federation_cluster_attack,low_stress,10,10,0,1.0,1.0,0.0,0.0,97.2,98.0,92.0,99.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.18,federation_cluster_attack,mid_stress,10,10,0,1.0,1.0,0.0,0.0,65.9,66.0,62.0,67.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.18,federation_cluster_attack,high_stress,10,10,0,1.0,1.0,0.0,0.0,26.5,27.0,25.0,28.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.18,psi_corruption,low_stress,10,10,0,1.0,1.0,0.0,0.0,87.1,87.0,86.0,88.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.18,psi_corruption,mid_stress,10,10,0,1.0,1.0,0.0,0.0,59.9,60.0,57.0,61.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.18,psi_corruption,high_stress,10,10,0,1.0,1.0,0.0,0.0,24.6,24.0,23.0,27.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.2,async_message_loss,low_stress,10,0,10,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.2,async_message_loss,mid_stress,10,0,10,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.2,async_message_loss,high_stress,10,10,0,1.0,1.0,0.0,0.0,31.4,31.0,29.0,33.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.2,federation_bridge_stress,low_stress,10,0,10,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.2,federation_bridge_stress,mid_stress,10,0,10,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.2,federation_bridge_stress,high_stress,10,10,0,1.0,1.0,0.0,0.0,24.7,24.0,23.0,27.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.2,federation_cluster_attack,low_stress,10,10,0,1.0,1.0,0.0,0.0,97.2,98.0,92.0,99.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.2,federation_cluster_attack,mid_stress,10,10,0,1.0,1.0,0.0,0.0,65.9,66.0,62.0,67.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.2,federation_cluster_attack,high_stress,10,10,0,1.0,1.0,0.0,0.0,26.5,27.0,25.0,28.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.2,psi_corruption,low_stress,10,10,0,1.0,1.0,0.0,0.0,87.1,87.0,86.0,88.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.2,psi_corruption,mid_stress,10,10,0,1.0,1.0,0.0,0.0,59.9,60.0,57.0,61.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.2,psi_corruption,high_stress,10,10,0,1.0,1.0,0.0,0.0,24.6,24.0,23.0,27.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.22,async_message_loss,low_stress,10,0,10,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.22,async_message_loss,mid_stress,10,0,10,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.22,async_message_loss,high_stress,10,10,0,1.0,1.0,0.0,0.0,31.4,31.0,29.0,33.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.22,federation_bridge_stress,low_stress,10,0,10,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.22,federation_bridge_stress,mid_stress,10,0,10,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.22,federation_bridge_stress,high_stress,10,10,0,1.0,1.0,0.0,0.0,24.7,24.0,23.0,27.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.22,federation_cluster_attack,low_stress,10,10,0,1.0,1.0,0.0,0.0,97.2,98.0,92.0,99.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.22,federation_cluster_attack,mid_stress,10,10,0,1.0,1.0,0.0,0.0,65.9,66.0,62.0,67.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.22,federation_cluster_attack,high_stress,10,10,0,1.0,1.0,0.0,0.0,26.5,27.0,25.0,28.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.22,psi_corruption,low_stress,10,10,0,1.0,1.0,0.0,0.0,87.1,87.0,86.0,88.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.22,psi_corruption,mid_stress,10,10,0,1.0,1.0,0.0,0.0,59.9,60.0,57.0,61.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.22,psi_corruption,high_stress,10,10,0,1.0,1.0,0.0,0.0,24.6,24.0,23.0,27.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.24,async_message_loss,low_stress,10,0,10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.24,async_message_loss,mid_stress,10,0,10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.24,async_message_loss,high_stress,10,10,0,1.0,1.0,0.0,0.0,25.5,25.0,24.0,28.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.24,federation_bridge_stress,low_stress,10,0,10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.24,federation_bridge_stress,mid_stress,10,0,10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.24,federation_bridge_stress,high_stress,10,10,0,1.0,1.0,0.0,0.0,17.6,18.0,16.0,19.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.24,federation_cluster_attack,low_stress,10,10,0,1.0,1.0,0.0,0.0,19.8,20.0,15.0,22.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.24,federation_cluster_attack,mid_stress,10,10,0,1.0,1.0,0.0,0.0,11.1,11.0,8.0,13.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.24,federation_cluster_attack,high_stress,10,10,0,1.0,1.0,0.0,0.0,17.6,17.0,16.0,20.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.24,psi_corruption,low_stress,10,10,0,1.0,1.0,0.0,0.0,16.9,17.0,15.0,19.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.24,psi_corruption,mid_stress,10,10,0,1.0,1.0,0.0,0.0,9.1,9.0,7.0,10.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.24,psi_corruption,high_stress,10,10,0,1.0,1.0,0.0,0.0,18.3,18.0,17.0,20.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.26,async_message_loss,low_stress,10,0,10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.26,async_message_loss,mid_stress,10,0,10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.26,async_message_loss,high_stress,10,10,0,1.0,1.0,0.0,0.0,18.9,18.0,18.0,20.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.26,federation_bridge_stress,low_stress,10,0,10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.26,federation_bridge_stress,mid_stress,10,0,10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.26,federation_bridge_stress,high_stress,10,10,0,1.0,1.0,0.0,0.0,12.7,13.0,12.0,14.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.26,federation_cluster_attack,low_stress,10,10,0,1.0,1.0,0.0,0.0,17.3,18.0,13.0,19.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.26,federation_cluster_attack,mid_stress,10,10,0,1.0,1.0,0.0,0.0,9.7,10.0,7.0,11.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.26,federation_cluster_attack,high_stress,10,10,0,1.0,1.0,0.0,0.0,12.8,13.0,12.0,14.0,0.0
