variant,weight_profile,psi_threshold,detected_tpr,on_time_tpr,missed_rate,false_positive_rate,avg_lead_steps,median_lead_steps,accepted_candidate
with_regime_original,stability_heavy,0.48,0.925,0.525,0.075,0.0,1.166667,1.0,0
with_regime_original,stability_heavy,0.5,0.75,0.4875,0.25,0.0,0.794872,1.0,0
with_regime_original,stability_heavy,0.52,0.75,0.375,0.25,0.0,0.733333,1.0,0
with_regime_original,stability_heavy,0.54,0.75,0.275,0.25,0.0,0.681818,0.0,0
with_regime_original,stability_heavy,0.56,0.75,0.1625,0.25,0.0,0.538462,0.0,0
with_regime_original,stability_heavy,0.58,0.75,0.0625,0.25,0.0,0.2,0.0,0
with_regime_original,stability_heavy,0.6,0.6125,0.0,0.3875,0.0,0.0,0.0,0
no_regime_ablation,stability_heavy,0.1,1.0,1.0,0.0,1.0,52.1625,57.0,0
no_regime_ablation,stability_heavy,0.12,1.0,1.0,0.0,1.0,52.1625,57.0,0
no_regime_ablation,stability_heavy,0.14,1.0,1.0,0.0,1.0,52.1625,57.0,0
no_regime_ablation,stability_heavy,0.16,1.0,1.0,0.0,1.0,52.1625,57.0,0
no_regime_ablation,stability_heavy,0.18,1.0,1.0,0.0,1.0,52.1625,57.0,0
no_regime_ablation,stability_heavy,0.2,1.0,1.0,0.0,0.8,42.7625,30.0,0
no_regime_ablation,stability_heavy,0.22,1.0,1.0,0.0,0.0,19.8125,19.0,1
no_regime_ablation,stability_heavy,0.24,1.0,1.0,0.0,0.0,16.4875,14.0,1
no_regime_ablation,stability_heavy,0.26,1.0,1.0,0.0,0.0,14.3125,12.0,1
no_regime_ablation,stability_heavy,0.28,1.0,1.0,0.0,0.0,12.45,11.0,1
no_regime_ablation,stability_heavy,0.3,1.0,1.0,0.0,0.0,10.9375,10.0,1
no_regime_ablation,stability_heavy,0.32,1.0,1.0,0.0,0.0,9.5375,9.0,1
no_regime_ablation,stability_heavy,0.34,1.0,1.0,0.0,0.0,8.35,8.0,1
no_regime_ablation,stability_heavy,0.36,1.0,1.0,0.0,0.0,7.1125,7.0,1
no_regime_ablation,stability_heavy,0.38,1.0,1.0,0.0,0.0,5.7,5.0,1
no_regime_ablation,stability_heavy,0.4,1.0,0.9625,0.0,0.0,2.350649,2.0,1
no_regime_ablation,stability_heavy,0.42,0.875,0.5,0.125,0.0,1.95,1.0,0
no_regime_ablation,stability_heavy,0.44,0.75,0.4625,0.25,0.0,1.297297,1.0,0
no_regime_ablation,stability_heavy,0.46,0.75,0.325,0.25,0.0,1.0,1.0,0
no_regime_ablation,stability_heavy,0.48,0.75,0.2125,0.25,0.0,0.647059,0.0,0
no_regime_ablation,stability_heavy,0.5,0.75,0.1125,0.25,0.0,0.555556,1.0,0
no_regime_ablation,stability_heavy,0.52,0.75,0.05,0.25,0.0,0.0,0.0,0
no_regime_ablation,stability_heavy,0.54,0.5,0.0,0.5,0.0,0.0,0.0,0
no_regime_ablation,stability_heavy,0.56,0.5,0.0,0.5,0.0,0.0,0.0,0
no_regime_ablation,stability_heavy,0.58,0.5,0.0,0.5,0.0,0.0,0.0,0
no_regime_ablation,stability_heavy,0.6,0.5,0.0,0.5,0.0,0.0,0.0,0
with_regime_original,trust_stability,0.1,1.0,1.0,0.0,1.0,52.1625,57.0,0
with_regime_original,trust_stability,0.12,1.0,1.0,0.0,1.0,52.1625,57.0,0
with_regime_original,trust_stability,0.14,1.0,1.0,0.0,1.0,52.1625,57.0,0
with_regime_original,trust_stability,0.16,1.0,1.0,0.0,1.0,52.1625,57.0,0
with_regime_original,trust_stability,0.18,1.0,1.0,0.0,1.0,52.1625,57.0,0
with_regime_original,trust_stability,0.2,1.0,1.0,0.0,1.0,52.1625,57.0,0
with_regime_original,trust_stability,0.22,1.0,1.0,0.0,0.025,22.7125,24.0,1
with_regime_original,trust_stability,0.24,1.0,1.0,0.0,0.0,17.45,16.0,1
with_regime_original,trust_stability,0.26,1.0,1.0,0.0,0.0,14.9625,13.0,1
with_regime_original,trust_stability,0.28,1.0,1.0,0.0,0.0,13.075,11.0,1
with_regime_original,trust_stability,0.3,1.0,1.0,0.0,0.0,11.525,10.0,1
with_regime_original,trust_stability,0.32,1.0,1.0,0.0,0.0,10.1375,9.0,1
with_regime_original,trust_stability,0.34,1.0,1.0,0.0,0.0,8.8375,8.0,1
with_regime_original,trust_stability,0.36,1.0,1.0,0.0,0.0,7.8125,7.0,1
with_regime_original,trust_stability,0.38,1.0,1.0,0.0,0.0,6.375,5.0,1
with_regime_original,trust_stability,0.4,1.0,1.0,0.0,0.0,5.3,5.0,1
with_regime_original,trust_stability,0.42,1.0,1.0,0.0,0.0,4.7125,4.0,1
with_regime_original,trust_stability,0.44,1.0,1.0,0.0,0.0,3.5,3.0,1
with_regime_original,trust_stability,0.46,1.0,0.7125,0.0,0.0,1.245614,1.0,0
with_regime_original,trust_stability,0.48,0.875,0.5,0.125,0.0,1.4,1.0,0
with_regime_original,trust_stability,0.5,0.75,0.5,0.25,0.0,1.15,1.0,0
with_regime_original,trust_stability,0.52,0.75,0.4875,0.25,0.0,0.846154,1.0,0
with_regime_original,trust_stability,0.54,0.75,0.3875,0.25,0.0,0.709677,1.0,0
with_regime_original,trust_stability,0.56,0.5,0.275,0.5,0.0,0.5,0.0,0
with_regime_original,trust_stability,0.58,0.5,0.1625,0.5,0.0,0.384615,0.0,0
