batch_id,variant,weight_profile,psi_lambda,psi_threshold,scenario,profile,run_index,seed,event_observed,first_event_step,detect_step,lead_steps,psi_score,non_regime_score,term_t,term_d,term_g,term_s,term_regime,term_variance,regime_share_of_score,collapse_share_at_detect,s_network_at_detect,cluster_variance_at_detect,regime_weight_at_detect
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,federation_cluster_attack,low_stress,5,8365,1,96,80,16,0.328961,0.263961,0.053028,0.07986,0.0,0.129802,0.065,0.00127,0.197592,0.2,0.350988,0.012705,0.65
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,federation_cluster_attack,low_stress,6,8366,1,99,85,14,0.307903,0.292903,0.059218,0.07995,0.0,0.151608,0.015,0.002127,0.048717,0.166667,0.241958,0.021272,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,federation_cluster_attack,low_stress,7,8367,1,97,82,15,0.339043,0.274043,0.054212,0.081016,0.0,0.137281,0.065,0.001534,0.191716,0.2,0.313594,0.015343,0.65
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,federation_cluster_attack,low_stress,8,8368,1,92,83,9,0.351145,0.286145,0.059402,0.080705,0.0,0.144405,0.065,0.001632,0.185109,0.2,0.277976,0.016321,0.65
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,federation_cluster_attack,low_stress,9,8369,1,97,84,13,0.306509,0.291509,0.058431,0.081656,0.0,0.149311,0.015,0.002111,0.048938,0.166667,0.253443,0.021107,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,federation_cluster_attack,mid_stress,0,8370,1,66,59,7,0.301807,0.286807,0.061354,0.07439,0.001734,0.147781,0.015,0.001548,0.049701,0.15,0.261096,0.015481,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,federation_cluster_attack,mid_stress,1,8371,1,66,59,7,0.302735,0.287735,0.061559,0.07317,0.002244,0.14887,0.015,0.001893,0.049548,0.166667,0.255652,0.018927,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,federation_cluster_attack,mid_stress,2,8372,1,65,59,6,0.304442,0.289442,0.06397,0.073106,0.002622,0.148238,0.015,0.001508,0.04927,0.166667,0.258812,0.015077,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,federation_cluster_attack,mid_stress,3,8373,1,66,61,5,0.354599,0.289599,0.061763,0.07437,0.002389,0.149914,0.065,0.001162,0.183306,0.2,0.250429,0.011616,0.65
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,federation_cluster_attack,mid_stress,4,8374,1,67,59,8,0.301574,0.286574,0.060972,0.07302,0.002146,0.148395,0.015,0.002042,0.049739,0.166667,0.258023,0.020416,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,federation_cluster_attack,mid_stress,5,8375,1,67,59,8,0.303984,0.288984,0.061979,0.073881,0.002253,0.148735,0.015,0.002136,0.049345,0.183333,0.256325,0.021363,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,federation_cluster_attack,mid_stress,6,8376,1,62,55,7,0.309255,0.244255,0.049675,0.073618,0.0,0.119902,0.065,0.00106,0.210182,0.2,0.40049,0.010604,0.65
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,federation_cluster_attack,mid_stress,7,8377,1,67,60,7,0.301159,0.286159,0.058761,0.074784,0.001673,0.14917,0.015,0.00177,0.049808,0.15,0.254152,0.017703,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,federation_cluster_attack,mid_stress,8,8378,1,66,59,7,0.301024,0.286024,0.060146,0.07374,0.001852,0.148117,0.015,0.002168,0.04983,0.166667,0.259414,0.021682,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,federation_cluster_attack,mid_stress,9,8379,1,67,60,7,0.303699,0.288699,0.060935,0.074251,0.002134,0.149844,0.015,0.001535,0.049391,0.133333,0.25078,0.015346,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,federation_cluster_attack,high_stress,0,8380,1,27,19,8,0.305783,0.290783,0.089972,0.03184,0.097097,0.071115,0.015,0.000759,0.049054,0.0,0.644426,0.007586,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,federation_cluster_attack,high_stress,1,8381,1,25,17,8,0.308118,0.293118,0.088283,0.034676,0.094941,0.074602,0.015,0.000616,0.048683,0.0,0.626989,0.006159,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,federation_cluster_attack,high_stress,2,8382,1,27,20,7,0.310738,0.295738,0.093565,0.030898,0.098536,0.071665,0.015,0.001075,0.048272,0.0,0.641674,0.010748,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,federation_cluster_attack,high_stress,3,8383,1,28,19,9,0.306122,0.291122,0.088254,0.032488,0.095692,0.073968,0.015,0.00072,0.049,0.0,0.63016,0.007202,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,federation_cluster_attack,high_stress,4,8384,1,27,19,8,0.313148,0.298148,0.092963,0.033758,0.097945,0.072569,0.015,0.000913,0.047901,0.0,0.637153,0.009125,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,federation_cluster_attack,high_stress,5,8385,1,27,18,9,0.305644,0.290644,0.08694,0.034498,0.094078,0.074627,0.015,0.000501,0.049077,0.0,0.626863,0.00501,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,federation_cluster_attack,high_stress,6,8386,1,25,17,8,0.300643,0.285643,0.08762,0.032297,0.094738,0.070376,0.015,0.000612,0.049893,0.0,0.648122,0.006121,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,federation_cluster_attack,high_stress,7,8387,1,26,18,8,0.309479,0.294479,0.092134,0.033153,0.097219,0.070979,0.015,0.000993,0.048469,0.016667,0.645103,0.009928,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,federation_cluster_attack,high_stress,8,8388,1,25,17,8,0.306654,0.291654,0.089523,0.033653,0.095755,0.072005,0.015,0.000717,0.048915,0.0,0.639976,0.007173,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,federation_cluster_attack,high_stress,9,8389,1,28,19,9,0.308818,0.293818,0.088377,0.032602,0.09821,0.074012,0.015,0.000618,0.048572,0.0,0.629942,0.006179,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,low_stress,0,8390,1,87,74,13,0.350678,0.285678,0.056863,0.080558,0.0,0.14616,0.065,0.002097,0.185355,0.2,0.269199,0.020967,0.65
