batch_id,variant,weight_profile,psi_lambda,psi_threshold,w_t,w_d,w_g,w_s,w_r,runs,positive_runs,negative_runs,detected_true_positive_rate,on_time_true_positive_rate,missed_detection_rate,false_positive_rate,avg_lead_steps,median_lead_steps,min_lead_steps,max_lead_steps,avg_lag_steps,accepted_candidate,target_threshold_candidate,recommended_independent_candidate,recommended_strict_ablation_candidate
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.6,0.25,0.25,0.2,0.2,0.1,120,80,40,0.5,0.0,0.5,0.0,0.0,0.0,,,2.5,0,0,0,0
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.0,120,80,40,1.0,1.0,0.0,1.0,52.1625,57.0,23.0,99.0,0.0,0,0,0,0
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.12,0.25,0.25,0.2,0.2,0.0,120,80,40,1.0,1.0,0.0,1.0,52.1625,57.0,23.0,99.0,0.0,0,0,0,0
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.14,0.25,0.25,0.2,0.2,0.0,120,80,40,1.0,1.0,0.0,1.0,52.1625,57.0,23.0,99.0,0.0,0,0,0,0
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.16,0.25,0.25,0.2,0.2,0.0,120,80,40,1.0,1.0,0.0,1.0,52.1625,57.0,23.0,99.0,0.0,0,0,0,0
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.18,0.25,0.25,0.2,0.2,0.0,120,80,40,1.0,1.0,0.0,1.0,52.1625,57.0,23.0,99.0,0.0,0,0,0,0
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.2,0.25,0.25,0.2,0.2,0.0,120,80,40,1.0,1.0,0.0,1.0,52.1625,57.0,23.0,99.0,0.0,0,0,0,0
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.22,0.25,0.25,0.2,0.2,0.0,120,80,40,1.0,1.0,0.0,0.0,20.25,21.0,7.0,33.0,0.0,1,0,1,1
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.24,0.25,0.25,0.2,0.2,0.0,120,80,40,1.0,1.0,0.0,0.0,14.0375,14.0,6.0,21.0,0.0,1,0,0,0
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.26,0.25,0.25,0.2,0.2,0.0,120,80,40,1.0,1.0,0.0,0.0,11.6625,11.0,5.0,18.0,0.0,1,0,0,0
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.28,0.25,0.25,0.2,0.2,0.0,120,80,40,1.0,1.0,0.0,0.0,9.725,9.0,4.0,16.0,0.0,1,0,0,0
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.3,0.25,0.25,0.2,0.2,0.0,120,80,40,1.0,1.0,0.0,0.0,7.05,7.0,2.0,13.0,0.0,1,1,0,0
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.32,0.25,0.25,0.2,0.2,0.0,120,80,40,1.0,0.7125,0.0,0.0,4.894737,5.0,0.0,11.0,3.0,0,0,0,0
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.34,0.25,0.25,0.2,0.2,0.0,120,80,40,0.875,0.5,0.125,0.0,5.525,5.0,3.0,10.0,8.333333,0,0,0,0
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.36,0.25,0.25,0.2,0.2,0.0,120,80,40,0.75,0.5,0.25,0.0,4.275,4.0,2.0,8.0,7.6,0,0,0,0
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.38,0.25,0.25,0.2,0.2,0.0,120,80,40,0.75,0.5,0.25,0.0,3.275,3.0,1.0,7.0,11.65,0,0,0,0
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.4,0.25,0.25,0.2,0.2,0.0,120,80,40,0.75,0.5,0.25,0.0,2.275,2.0,0.0,6.0,17.05,0,0,0,0
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.42,0.25,0.25,0.2,0.2,0.0,120,80,40,0.75,0.4875,0.25,0.0,1.461538,1.0,0.0,5.0,23.333333,0,0,0,0
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.44,0.25,0.25,0.2,0.2,0.0,120,80,40,0.75,0.3875,0.25,0.0,1.064516,0.0,0.0,4.0,23.793103,0,0,0,0
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.46,0.25,0.25,0.2,0.2,0.0,120,80,40,0.625,0.2,0.375,0.0,0.9375,1.0,0.0,3.0,14.147059,0,0,0,0
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.48,0.25,0.25,0.2,0.2,0.0,120,80,40,0.5,0.1125,0.5,0.0,0.777778,1.0,0.0,2.0,1.870968,0,0,0,0
