batch_id,variant,weight_profile,psi_lambda,psi_threshold,w_t,w_d,w_g,w_s,w_r,scenario,profile,run_index,seed,event_observed,first_event_step,detect_step,detected_before_or_at_event,false_positive,lead_steps,lag_steps
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_bridge_stress,low_stress,8,8338,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_bridge_stress,low_stress,9,8339,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_bridge_stress,mid_stress,0,8340,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_bridge_stress,mid_stress,1,8341,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_bridge_stress,mid_stress,2,8342,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_bridge_stress,mid_stress,3,8343,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_bridge_stress,mid_stress,4,8344,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_bridge_stress,mid_stress,5,8345,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_bridge_stress,mid_stress,6,8346,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_bridge_stress,mid_stress,7,8347,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_bridge_stress,mid_stress,8,8348,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_bridge_stress,mid_stress,9,8349,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_bridge_stress,high_stress,0,8350,1,25,0,1,0,25,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_bridge_stress,high_stress,1,8351,1,24,0,1,0,24,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_bridge_stress,high_stress,2,8352,1,24,0,1,0,24,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_bridge_stress,high_stress,3,8353,1,26,0,1,0,26,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_bridge_stress,high_stress,4,8354,1,26,0,1,0,26,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_bridge_stress,high_stress,5,8355,1,23,0,1,0,23,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_bridge_stress,high_stress,6,8356,1,24,0,1,0,24,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_bridge_stress,high_stress,7,8357,1,25,0,1,0,25,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_bridge_stress,high_stress,8,8358,1,23,0,1,0,23,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_bridge_stress,high_stress,9,8359,1,27,0,1,0,27,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_cluster_attack,low_stress,0,8360,1,98,0,1,0,98,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_cluster_attack,low_stress,1,8361,1,98,0,1,0,98,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_cluster_attack,low_stress,2,8362,1,98,0,1,0,98,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_cluster_attack,low_stress,3,8363,1,99,0,1,0,99,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_cluster_attack,low_stress,4,8364,1,98,0,1,0,98,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_cluster_attack,low_stress,5,8365,1,96,0,1,0,96,
