run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
73,114,random,500,True,True,0.995,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.982,0.834,0.742,0.669,0.744,100,0,,False,True,0.0,none,0,0,0
74,115,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.993,0.87,0.757,0.706,0.758,100,0,200,True,False,0.0,none,0,0,0
75,116,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,2,0,0.05,0.952,0.793,0.684,0.644,0.684,100,0,,False,True,0.0,none,0,0,0
76,117,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.989,0.855,0.744,0.676,0.754,100,0,200,True,False,0.0,none,0,0,0
77,118,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.982,0.865,0.775,0.714,0.785,100,0,190,True,False,0.0,none,0,0,0
78,119,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.993,0.89,0.773,0.722,0.778,100,0,150,True,False,0.0,none,0,0,0
79,120,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.989,0.868,0.757,0.7,0.769,100,0,180,True,False,0.0,none,0,0,0
80,121,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,3,0,0.05,0.952,0.798,0.689,0.645,0.689,100,0,,False,True,0.0,none,0,0,0
81,122,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.986,0.863,0.75,0.69,0.754,100,0,190,True,False,0.0,none,0,0,0
82,123,random,500,True,True,0.98,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.988,0.859,0.761,0.701,0.767,100,0,190,True,False,0.0,none,0,0,0
83,124,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.983,0.855,0.753,0.683,0.758,100,0,190,True,False,0.0,none,0,0,0
84,125,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.99,0.867,0.749,0.688,0.758,100,0,180,True,False,0.0,none,0,0,0
85,126,random,500,True,True,0.976,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.967,0.821,0.722,0.665,0.722,100,0,,False,True,0.0,none,0,0,0
86,127,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.986,0.84,0.717,0.659,0.717,100,0,,False,True,0.0,none,0,0,0
87,128,random,500,True,True,0.989,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.984,0.858,0.756,0.7,0.756,100,0,,False,True,0.0,none,0,0,0
88,129,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.99,0.878,0.754,0.7,0.765,100,0,180,True,False,0.0,none,0,0,0
89,130,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.985,0.869,0.763,0.709,0.763,100,0,180,True,False,0.0,none,0,0,0
90,131,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.984,0.846,0.741,0.677,0.741,100,0,,False,True,0.0,none,0,0,0
91,132,random,500,True,True,0.991,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.974,0.832,0.736,0.675,0.736,100,0,,False,True,0.0,none,0,0,0
92,133,random,500,True,True,0.993,1.0,1.0,0,1,1.0,0.0,2,0,0.05,0.957,0.803,0.708,0.65,0.708,100,0,,False,True,0.0,none,0,0,0
93,134,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.991,0.874,0.752,0.695,0.776,100,0,170,True,False,0.0,none,0,0,0
94,135,random,500,True,True,0.992,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.969,0.824,0.721,0.668,0.723,100,0,,False,True,0.0,none,0,0,0
95,136,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.991,0.871,0.759,0.7,0.759,100,0,180,True,False,0.0,none,0,0,0
96,137,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.983,0.848,0.741,0.677,0.741,100,0,,False,True,0.0,none,0,0,0
97,138,random,500,True,True,1.0,1.0,1.0,0,2,0.983,0.0,0,0,0.05,0.992,0.882,0.762,0.702,0.768,100,0,150,True,False,0.0,none,0,0,0
98,139,random,500,True,True,0.997,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.974,0.826,0.696,0.644,0.709,100,0,,False,True,0.0,none,0,0,0
99,140,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.981,0.854,0.749,0.698,0.749,100,0,,False,True,0.0,none,0,0,0
100,141,random,500,True,True,1.0,1.0,1.0,0,2,0.983,0.0,0,0,0.05,0.985,0.856,0.745,0.684,0.756,100,0,200,True,False,0.0,none,0,0,0
