run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
53,94,federation,500,True,True,0.872,1.0,1.0,0,1,1.0,0.667,3,2,0.0,0.547,0.514,0.547,0.514,0.547,100,0,,False,True,0.0,none,0,0,0
54,95,federation,500,True,True,0.864,1.0,1.0,0,1,1.0,0.8,5,4,0.0,0.566,0.531,0.566,0.531,0.566,100,0,,False,True,0.0,none,0,0,0
55,96,federation,500,True,True,0.731,1.0,1.0,0,1,1.0,0.875,16,14,0.0,0.498,0.453,0.498,0.452,0.498,100,0,,False,True,0.0,none,0,0,0
56,97,federation,500,True,True,0.771,1.0,1.0,0,1,1.0,0.727,11,8,0.0,0.435,0.414,0.435,0.414,0.435,100,0,,False,True,0.0,none,0,0,0
57,98,federation,500,True,True,0.742,1.0,1.0,0,1,1.0,0.929,14,13,0.0,0.534,0.477,0.534,0.477,0.534,100,0,,False,True,0.0,none,0,0,0
58,99,federation,500,True,True,0.743,1.0,1.0,0,2,0.983,0.929,14,13,0.0,0.483,0.447,0.483,0.447,0.483,100,0,,False,True,0.0,none,0,0,0
59,100,federation,500,True,True,0.767,1.0,1.0,0,1,1.0,0.833,12,10,0.0,0.491,0.445,0.491,0.445,0.491,100,0,,False,True,0.0,none,0,0,0
60,101,federation,500,True,True,0.822,1.0,1.0,0,1,1.0,0.778,9,7,0.0,0.503,0.466,0.503,0.466,0.503,100,0,,False,True,0.0,none,0,0,0
61,102,federation,500,True,True,0.912,1.0,1.0,0,2,0.983,0.0,2,0,0.0,0.58,0.556,0.58,0.556,0.58,100,0,,False,True,0.0,none,0,0,0
62,103,federation,500,True,True,0.957,1.0,1.0,0,1,1.0,0.0,0,0,0.0,0.665,0.613,0.665,0.613,0.665,100,0,,False,True,0.0,none,0,0,0
63,104,federation,500,True,True,0.773,1.0,1.0,0,1,1.0,0.769,13,10,0.0,0.448,0.43,0.448,0.43,0.448,100,0,,False,True,0.0,none,0,0,0
64,105,federation,500,True,True,0.964,1.0,1.0,0,1,1.0,0.0,0,0,0.0,0.688,0.648,0.688,0.648,0.688,100,0,,False,True,0.0,none,0,0,0
65,106,federation,500,True,True,0.882,1.0,1.0,0,1,1.0,0.714,7,5,0.0,0.546,0.512,0.546,0.512,0.546,100,0,,False,True,0.0,none,0,0,0
66,107,federation,500,True,True,0.911,1.0,1.0,0,1,1.0,0.6,5,3,0.0,0.59,0.567,0.59,0.567,0.59,100,0,,False,True,0.0,none,0,0,0
67,108,federation,500,True,True,0.799,1.0,1.0,0,1,1.0,0.714,7,5,0.0,0.509,0.482,0.509,0.482,0.509,100,0,,False,True,0.0,none,0,0,0
68,109,federation,500,True,True,0.862,1.0,1.0,0,1,1.0,0.75,4,3,0.0,0.57,0.529,0.57,0.529,0.57,100,0,,False,True,0.0,none,0,0,0
69,110,federation,500,True,True,0.741,1.0,1.0,0,1,1.0,0.846,13,11,0.0,0.433,0.41,0.433,0.41,0.433,100,0,,False,True,0.0,none,0,0,0
70,111,federation,500,True,True,0.761,1.0,1.0,0,1,1.0,0.929,14,13,0.0,0.505,0.477,0.505,0.477,0.505,100,0,,False,True,0.0,none,0,0,0
71,112,federation,500,True,True,0.881,1.0,1.0,0,1,1.0,0.75,4,3,0.0,0.584,0.536,0.584,0.536,0.584,100,0,,False,True,0.0,none,0,0,0
72,113,federation,500,True,True,0.768,1.0,1.0,0,1,1.0,0.846,13,11,0.0,0.485,0.437,0.485,0.437,0.485,100,0,,False,True,0.0,none,0,0,0
73,114,federation,500,True,True,0.735,1.0,1.0,0,1,1.0,0.818,11,9,0.0,0.45,0.423,0.45,0.423,0.45,100,0,,False,True,0.0,none,0,0,0
74,115,federation,500,True,True,0.856,1.0,1.0,0,1,1.0,0.6,5,3,0.0,0.558,0.531,0.558,0.531,0.558,100,0,,False,True,0.0,none,0,0,0
75,116,federation,500,True,True,0.667,1.0,1.0,0,1,1.0,0.789,19,15,0.0,0.329,0.307,0.329,0.307,0.329,100,0,,False,True,0.0,none,0,0,0
76,117,federation,500,True,True,0.778,1.0,1.0,0,2,0.983,0.909,11,10,0.0,0.514,0.482,0.514,0.482,0.514,100,0,,False,True,0.0,none,0,0,0
77,118,federation,500,True,True,0.767,1.0,1.0,0,1,1.0,0.917,12,11,0.0,0.56,0.506,0.56,0.506,0.56,100,0,,False,True,0.0,none,0,0,0
78,119,federation,500,True,True,0.833,1.0,1.0,0,3,0.968,0.875,8,7,0.0,0.54,0.503,0.54,0.503,0.54,100,0,,False,True,0.0,none,0,0,0
79,120,federation,500,True,True,0.87,1.0,1.0,0,1,1.0,0.75,4,3,0.0,0.524,0.492,0.524,0.492,0.524,100,0,,False,True,0.0,none,0,0,0
80,121,federation,500,True,True,0.797,1.0,1.0,0,1,1.0,0.667,9,6,0.0,0.482,0.453,0.482,0.453,0.482,100,0,,False,True,0.0,none,0,0,0
81,122,federation,500,True,True,0.732,1.0,1.0,0,1,1.0,0.929,14,13,0.0,0.479,0.448,0.479,0.448,0.479,100,0,,False,True,0.0,none,0,0,0
82,123,federation,500,True,True,0.712,1.0,1.0,0,1,1.0,0.833,12,10,0.0,0.476,0.443,0.476,0.443,0.476,100,0,,False,True,0.0,none,0,0,0
83,124,federation,500,True,True,0.825,1.0,1.0,0,1,1.0,0.833,6,5,0.0,0.521,0.482,0.521,0.482,0.521,100,0,,False,True,0.0,none,0,0,0
84,125,federation,500,True,True,0.875,1.0,1.0,0,1,1.0,0.0,1,0,0.0,0.498,0.489,0.498,0.489,0.498,100,0,,False,True,0.0,none,0,0,0
85,126,federation,500,True,True,0.733,1.0,1.0,0,1,1.0,0.846,13,11,0.0,0.425,0.396,0.425,0.396,0.425,100,0,,False,True,0.0,none,0,0,0
86,127,federation,500,True,True,0.792,1.0,1.0,0,1,1.0,0.9,10,9,0.0,0.49,0.452,0.49,0.452,0.49,100,0,,False,True,0.0,none,0,0,0
