run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.2,0.999,0.994,0.741,0.714,0.744,100,0,180,True,False,0.0,none,0,0,0
2,43,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.2,0.998,0.988,0.715,0.691,0.734,100,0,200,True,False,0.0,none,0,0,0
3,44,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.2,1.0,0.993,0.735,0.723,0.775,100,0,150,True,False,0.0,none,0,0,0
4,45,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.2,0.999,0.992,0.757,0.731,0.77,100,0,150,True,False,0.0,none,0,0,0
5,46,scale-free,500,True,True,1.0,1.0,1.0,1,2,0.983,0.0,1,0,0.2,1.0,0.995,0.734,0.714,0.75,100,0,180,True,False,0.0,none,0,0,0
6,47,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.2,0.998,0.987,0.734,0.696,0.744,100,0,190,True,False,0.0,none,0,0,0
7,48,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.2,0.995,0.99,0.755,0.73,0.795,100,0,110,True,False,0.0,none,0,0,0
8,49,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.2,0.997,0.99,0.743,0.724,0.771,100,0,150,True,False,0.0,none,0,0,0
9,50,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.2,0.998,0.991,0.751,0.723,0.765,100,0,160,True,False,0.0,none,0,0,0
10,51,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.2,0.999,0.99,0.723,0.688,0.729,100,0,,False,True,0.0,none,0,0,0
11,52,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.2,0.997,0.991,0.751,0.726,0.785,100,0,130,True,False,0.0,none,0,0,0
12,53,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.2,0.999,0.992,0.743,0.716,0.759,100,0,180,True,False,0.0,none,0,0,0
13,54,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.2,0.994,0.99,0.76,0.743,0.812,,,,True,False,0.0,none,0,0,0
14,55,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.2,0.999,0.993,0.72,0.705,0.761,100,0,150,True,False,0.0,none,0,0,0
15,56,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.2,0.995,0.99,0.755,0.728,0.755,100,0,170,True,False,0.0,none,0,0,0
16,57,scale-free,500,True,True,0.999,1.0,1.0,0,1,1.0,0.0,0,0,0.2,0.994,0.989,0.756,0.723,0.767,100,0,150,True,False,0.0,none,0,0,0
17,58,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.2,0.998,0.99,0.736,0.712,0.741,100,0,180,True,False,0.0,none,0,0,0
18,59,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.2,1.0,0.996,0.753,0.718,0.775,100,0,140,True,False,0.0,none,0,0,0
19,60,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.5,2,1,0.2,0.999,0.995,0.742,0.719,0.784,100,0,130,True,False,0.0,none,0,0,0
20,61,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.2,0.999,0.991,0.76,0.715,0.76,100,0,180,True,False,0.0,none,0,0,0
21,62,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.2,0.997,0.99,0.734,0.708,0.752,100,0,160,True,False,0.0,none,0,0,0
22,63,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.2,0.999,0.989,0.739,0.711,0.74,100,0,200,True,False,0.0,none,0,0,0
23,64,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.2,1.0,0.994,0.734,0.706,0.746,100,0,180,True,False,0.0,none,0,0,0
24,65,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.2,1.0,0.995,0.734,0.723,0.791,100,0,120,True,False,0.0,none,0,0,0
25,66,scale-free,500,True,True,0.998,1.0,1.0,0,1,1.0,0.0,0,0,0.2,0.999,0.997,0.747,0.735,0.799,100,0,110,True,False,0.0,none,0,0,0
