run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.998,0.941,0.728,0.683,0.728,100,0,,False,True,0.0,none,0,0,0
2,43,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,2,0,0.1,0.988,0.906,0.715,0.665,0.719,100,0,,False,True,0.0,none,0,0,0
3,44,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.998,0.946,0.735,0.707,0.763,100,0,190,True,False,0.0,none,0,0,0
4,45,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.995,0.945,0.752,0.703,0.755,100,0,180,True,False,0.0,none,0,0,0
5,46,scale-free,500,True,True,1.0,1.0,1.0,1,2,0.983,0.0,2,0,0.1,0.999,0.943,0.734,0.687,0.738,100,0,,False,True,0.0,none,0,0,0
6,47,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.992,0.913,0.729,0.67,0.731,100,0,,False,True,0.0,none,0,0,0
7,48,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.993,0.946,0.755,0.712,0.78,100,0,150,True,False,0.0,none,0,0,0
8,49,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.995,0.942,0.742,0.704,0.757,100,0,180,True,False,0.0,none,0,0,0
9,50,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.996,0.941,0.75,0.698,0.754,100,0,200,True,False,0.0,none,0,0,0
10,51,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.995,0.909,0.712,0.659,0.712,100,0,,False,True,0.0,none,0,0,0
11,52,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.995,0.949,0.751,0.705,0.771,100,0,160,True,False,0.0,none,0,0,0
12,53,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.996,0.939,0.743,0.692,0.744,100,0,,False,True,0.0,none,0,0,0
13,54,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.994,0.956,0.76,0.731,0.796,100,0,110,True,False,0.0,none,0,0,0
14,55,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.997,0.942,0.72,0.684,0.746,100,0,190,True,False,0.0,none,0,0,0
15,56,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.993,0.946,0.743,0.706,0.743,100,0,200,True,False,0.0,none,0,0,0
16,57,scale-free,500,True,True,0.999,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.993,0.941,0.752,0.695,0.753,100,0,190,True,False,0.0,none,0,0,0
17,58,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.996,0.933,0.727,0.686,0.727,100,0,,False,True,0.0,none,0,0,0
18,59,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.999,0.952,0.753,0.689,0.763,100,0,170,True,False,0.0,none,0,0,0
19,60,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.5,2,1,0.1,0.996,0.943,0.742,0.706,0.768,100,0,160,True,False,0.0,none,0,0,0
20,61,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.995,0.927,0.748,0.688,0.748,100,0,,False,True,0.0,none,0,0,0
21,62,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.995,0.941,0.732,0.69,0.739,100,0,190,True,False,0.0,none,0,0,0
