run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,federation,500,True,True,0.997,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.997,0.944,0.741,0.696,0.741,100,0,200,True,False,0.0,none,0,0,0
2,43,federation,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.998,0.945,0.715,0.681,0.744,100,0,190,True,False,0.0,none,0,0,0
3,44,federation,500,True,True,0.991,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.996,0.933,0.723,0.688,0.736,100,0,,False,True,0.0,none,0,0,0
4,45,federation,500,True,True,0.997,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.996,0.931,0.749,0.701,0.749,100,0,200,True,False,0.0,none,0,0,0
5,46,federation,500,True,True,0.987,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.997,0.937,0.732,0.691,0.732,100,0,200,True,False,0.0,none,0,0,0
6,47,federation,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.994,0.942,0.742,0.701,0.746,100,0,190,True,False,0.0,none,0,0,0
7,48,federation,500,True,True,0.995,1.0,1.0,0,2,0.984,0.0,1,0,0.1,0.993,0.958,0.753,0.718,0.761,100,0,160,True,False,0.0,none,0,0,0
8,49,federation,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.994,0.95,0.743,0.707,0.757,100,0,160,True,False,0.0,none,0,0,0
9,50,federation,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.999,0.955,0.751,0.718,0.769,100,0,160,True,False,0.0,none,0,0,0
10,51,federation,500,True,True,0.991,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.996,0.933,0.727,0.681,0.73,100,0,,False,True,0.0,none,0,0,0
