run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
84,125,scale-free,500,True,True,0.847,1.0,1.0,0,1,1.0,0.5,4,2,0.0,0.441,0.457,0.441,0.457,0.441,100,0,,False,True,0.0,none,0,0,0
85,126,scale-free,500,True,True,0.799,1.0,1.0,0,1,1.0,0.889,9,8,0.0,0.519,0.492,0.519,0.492,0.519,100,0,,False,True,0.0,none,0,0,0
86,127,scale-free,500,True,True,0.731,1.0,1.0,0,1,1.0,0.8,10,8,0.0,0.372,0.365,0.372,0.365,0.372,100,0,,False,True,0.0,none,0,0,0
87,128,scale-free,500,True,True,0.847,1.0,1.0,0,1,1.0,0.6,5,3,0.0,0.553,0.524,0.553,0.524,0.553,100,0,,False,True,0.0,none,0,0,0
88,129,scale-free,500,True,True,0.831,1.0,1.0,0,1,1.0,0.857,7,6,0.0,0.449,0.454,0.449,0.454,0.449,100,0,,False,True,0.0,none,0,0,0
89,130,scale-free,500,True,True,0.795,1.0,1.0,0,1,1.0,0.8,10,8,0.0,0.492,0.478,0.492,0.478,0.492,100,0,,False,True,0.0,none,0,0,0
90,131,scale-free,500,True,True,0.891,1.0,1.0,0,1,1.0,0.667,6,4,0.0,0.604,0.57,0.604,0.57,0.604,100,0,,False,True,0.0,none,0,0,0
91,132,scale-free,500,True,True,0.696,1.0,1.0,0,1,1.0,0.9,10,9,0.0,0.288,0.28,0.288,0.28,0.288,100,0,,False,True,0.0,none,0,0,0
92,133,scale-free,500,False,False,0.423,1.0,1.0,0,1,1.0,0.8,30,24,0.0,0.125,0.108,0.125,0.108,0.125,100,0,,False,True,0.0,none,0,0,0
93,134,scale-free,500,True,True,0.62,1.0,1.0,0,1,1.0,0.882,17,15,0.0,0.356,0.329,0.356,0.329,0.356,100,0,,False,True,0.0,none,0,0,0
94,135,scale-free,500,True,True,0.86,1.0,1.0,0,1,1.0,0.857,7,6,0.0,0.567,0.528,0.567,0.528,0.567,100,0,,False,True,0.0,none,0,0,0
95,136,scale-free,500,True,True,0.83,1.0,1.0,0,1,1.0,0.6,5,3,0.0,0.472,0.454,0.472,0.454,0.472,100,0,,False,True,0.0,none,0,0,0
96,137,scale-free,500,True,True,0.669,1.0,1.0,0,1,1.0,0.867,15,13,0.0,0.335,0.324,0.335,0.324,0.335,100,0,,False,True,0.0,none,0,0,0
97,138,scale-free,500,True,True,0.797,1.0,1.0,0,1,1.0,0.778,9,7,0.0,0.452,0.443,0.452,0.443,0.452,100,0,,False,True,0.0,none,0,0,0
98,139,scale-free,500,False,False,0.388,1.0,1.0,0,1,1.0,0.774,31,24,0.0,0.113,0.1,0.113,0.1,0.113,100,0,,False,True,0.0,none,0,0,0
99,140,scale-free,500,True,True,0.664,1.0,1.0,0,1,1.0,0.909,11,10,0.0,0.301,0.281,0.301,0.281,0.301,100,0,,False,True,0.0,none,0,0,0
100,141,scale-free,500,True,True,0.647,1.0,1.0,0,1,1.0,0.895,19,17,0.0,0.335,0.307,0.335,0.307,0.335,100,0,,False,True,0.0,none,0,0,0
