run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,federation,500,True,True,0.995,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.965,0.831,0.731,0.676,0.731,100,0,,False,True,0.0,none,0,0,0
2,43,federation,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.975,0.832,0.715,0.661,0.734,100,0,,False,True,0.0,none,0,0,0
3,44,federation,500,True,True,0.99,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.97,0.83,0.721,0.671,0.725,100,0,,False,True,0.0,none,0,0,0
4,45,federation,500,True,True,0.995,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.954,0.821,0.739,0.682,0.739,100,0,,False,True,0.0,none,0,0,0
5,46,federation,500,True,True,0.986,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.974,0.831,0.724,0.673,0.724,100,0,,False,True,0.0,none,0,0,0
6,47,federation,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.97,0.84,0.737,0.683,0.737,100,0,,False,True,0.0,none,0,0,0
7,48,federation,500,True,True,0.994,1.0,1.0,0,2,0.984,0.0,1,0,0.05,0.984,0.871,0.751,0.699,0.752,100,0,190,True,False,0.0,none,0,0,0
8,49,federation,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.98,0.86,0.741,0.688,0.748,100,0,190,True,False,0.0,none,0,0,0
9,50,federation,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.987,0.858,0.75,0.698,0.76,100,0,200,True,False,0.0,none,0,0,0
10,51,federation,500,True,True,0.989,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.954,0.818,0.719,0.662,0.719,100,0,,False,True,0.0,none,0,0,0
11,52,federation,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.979,0.856,0.736,0.681,0.737,100,0,,False,True,0.0,none,0,0,0
12,53,federation,500,True,True,0.989,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.99,0.869,0.743,0.695,0.751,100,0,190,True,False,0.0,none,0,0,0
13,54,federation,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.98,0.855,0.76,0.705,0.765,100,0,180,True,False,0.0,none,0,0,0
14,55,federation,500,True,True,0.994,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.964,0.823,0.72,0.659,0.725,100,0,,False,True,0.0,none,0,0,0
15,56,federation,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.98,0.865,0.759,0.706,0.759,100,0,180,True,False,0.0,none,0,0,0
16,57,federation,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.986,0.875,0.758,0.7,0.77,100,0,160,True,False,0.0,none,0,0,0
17,58,federation,500,True,True,0.98,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.975,0.826,0.727,0.666,0.727,100,0,,False,True,0.0,none,0,0,0
18,59,federation,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.979,0.862,0.753,0.699,0.774,100,0,190,True,False,0.0,none,0,0,0
19,60,federation,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.983,0.86,0.741,0.687,0.756,100,0,180,True,False,0.0,none,0,0,0
20,61,federation,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.982,0.851,0.746,0.686,0.746,100,0,,False,True,0.0,none,0,0,0
21,62,federation,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,2,0,0.05,0.96,0.821,0.718,0.66,0.718,100,0,,False,True,0.0,none,0,0,0
22,63,federation,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.993,0.864,0.747,0.695,0.759,100,0,200,True,False,0.0,none,0,0,0
23,64,federation,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.984,0.843,0.726,0.668,0.726,100,0,,False,True,0.0,none,0,0,0
24,65,federation,500,True,True,0.996,1.0,1.0,0,2,0.984,0.0,0,0,0.05,0.986,0.856,0.734,0.681,0.75,100,0,190,True,False,0.0,none,0,0,0
