run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
34,75,small-world,500,True,True,0.611,1.0,1.0,0,1,1.0,0.684,19,13,0.1,0.356,0.297,6,0,0.0,,0,0.341,0.288,0.341,100,0,,False,True,0.0,none,0,0,0
35,76,small-world,500,True,True,0.611,1.0,1.0,0,1,1.0,0.737,19,14,0.1,0.391,0.339,6,0,0.0,,0,0.39,0.326,0.39,100,0,,False,True,0.0,none,0,0,0
36,77,small-world,500,True,True,0.547,1.0,1.0,0,1,1.0,0.68,25,17,0.1,0.291,0.241,6,0,0.0,,0,0.291,0.241,0.291,100,0,,False,True,0.0,none,0,0,0
37,78,small-world,500,True,True,0.671,1.0,1.0,0,1,1.0,0.643,14,9,0.1,0.41,0.334,6,0,0.0,,0,0.41,0.332,0.41,100,0,,False,True,0.0,none,0,0,0
38,79,small-world,500,True,True,0.628,1.0,1.0,0,1,1.0,0.842,19,16,0.1,0.358,0.291,6,0,0.0,,0,0.358,0.291,0.358,100,0,,False,True,0.0,none,0,0,0
39,80,small-world,500,True,True,0.574,1.0,1.0,0,1,1.0,0.7,20,14,0.1,0.297,0.251,6,0,0.0,,0,0.297,0.251,0.297,100,0,,False,True,0.0,none,0,0,0
40,81,small-world,500,True,True,0.591,1.0,1.0,0,1,1.0,0.76,25,19,0.1,0.358,0.296,6,0,0.0,,0,0.328,0.264,0.328,100,0,,False,True,0.0,none,0,0,0
41,82,small-world,500,True,True,0.618,1.0,1.0,0,1,1.0,0.737,19,14,0.1,0.342,0.28,6,0,0.0,,0,0.341,0.277,0.341,100,0,,False,True,0.0,none,0,0,0
42,83,small-world,500,True,True,0.562,1.0,1.0,0,1,1.0,0.76,25,19,0.1,0.323,0.272,6,0,0.0,,0,0.321,0.27,0.321,100,0,,False,True,0.0,none,0,0,0
43,84,small-world,500,False,False,0.485,1.0,1.0,0,1,1.0,0.724,29,21,0.1,0.217,0.185,6,0,0.0,,0,0.217,0.185,0.217,100,0,,False,True,0.0,none,0,0,0
