run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
77,118,random,500,False,False,0.233,1.0,1.0,0,1,1.0,0.872,47,41,0.1,0.027,0.021,6,0,0.0,,0,0.021,0.013,0.021,100,0,,False,True,0.0,none,0,0,0
78,119,random,500,False,False,0.306,1.0,1.0,0,1,1.0,0.8,40,32,0.1,0.056,0.037,6,0,0.0,,0,0.056,0.037,0.056,100,0,,False,True,0.0,none,0,0,0
79,120,random,500,False,False,0.379,1.0,1.0,0,1,1.0,0.867,30,26,0.1,0.114,0.093,6,0,0.0,,0,0.114,0.093,0.114,100,0,,False,True,0.0,none,0,0,0
80,121,random,500,False,False,0.095,1.0,1.0,0,1,1.0,0.897,58,52,0.1,0.006,0.001,6,0,0.0,,0,0.003,0.001,0.003,100,0,,False,True,0.0,none,0,0,0
81,122,random,500,False,False,0.268,1.0,1.0,0,1,1.0,0.884,43,38,0.1,0.038,0.024,6,0,0.0,,0,0.038,0.024,0.038,100,0,,False,True,0.0,none,0,0,0
82,123,random,500,False,False,0.209,1.0,1.0,0,1,1.0,0.894,47,42,0.1,0.02,0.008,6,0,0.0,,0,0.02,0.008,0.02,100,0,,False,True,0.0,none,0,0,0
83,124,random,500,False,False,0.384,1.0,1.0,0,1,1.0,0.871,31,27,0.1,0.095,0.066,6,0,0.0,,0,0.095,0.066,0.095,100,0,,False,True,0.0,none,0,0,0
84,125,random,500,False,False,0.315,1.0,1.0,0,1,1.0,0.895,38,34,0.1,0.062,0.043,6,0,0.0,,0,0.062,0.043,0.062,100,0,,False,True,0.0,none,0,0,0
85,126,random,500,False,False,0.18,1.0,1.0,0,1,1.0,0.88,50,44,0.1,0.012,0.009,6,0,0.0,,0,0.012,0.009,0.012,100,0,,False,True,0.0,none,0,0,0
86,127,random,500,False,False,0.123,1.0,1.0,0,1,1.0,0.839,56,47,0.1,0.006,0.002,6,0,0.0,,0,0.006,0.002,0.006,100,0,,False,True,0.0,none,0,0,0
87,128,random,500,False,False,0.14,1.0,1.0,0,1,1.0,0.904,52,47,0.1,0.006,0.002,6,0,0.0,,0,0.006,0.002,0.006,100,0,,False,True,0.0,none,0,0,0
88,129,random,500,False,False,0.272,1.0,1.0,0,1,1.0,0.833,42,35,0.1,0.035,0.021,6,0,0.0,,0,0.035,0.021,0.035,100,0,,False,True,0.0,none,0,0,0
89,130,random,500,False,False,0.155,1.0,1.0,0,1,1.0,0.879,58,51,0.1,0.001,0.001,6,0,0.0,,0,0.001,0.001,0.001,100,0,,False,True,0.0,none,0,0,0
90,131,random,500,False,False,0.247,1.0,1.0,0,1,1.0,0.93,43,40,0.1,0.024,0.012,6,0,0.0,,0,0.024,0.012,0.024,100,0,,False,True,0.0,none,0,0,0
91,132,random,500,False,False,0.282,1.0,1.0,0,1,1.0,0.902,41,37,0.1,0.054,0.042,6,0,0.0,,0,0.054,0.042,0.054,100,0,,False,True,0.0,none,0,0,0
92,133,random,500,False,False,0.22,1.0,1.0,0,1,1.0,0.896,48,43,0.1,0.031,0.02,6,0,0.0,,0,0.031,0.02,0.031,100,0,,False,True,0.0,none,0,0,0
93,134,random,500,False,False,0.292,1.0,1.0,1,2,0.97,0.895,38,34,0.1,0.066,0.049,6,0,0.0,,0,0.066,0.049,0.066,100,0,,False,True,0.0,none,0,0,0
94,135,random,500,False,False,0.259,1.0,1.0,0,1,1.0,0.886,44,39,0.1,0.054,0.041,6,0,0.0,,0,0.054,0.041,0.054,100,0,,False,True,0.0,none,0,0,0
95,136,random,500,False,False,0.282,1.0,1.0,0,1,1.0,0.878,41,36,0.1,0.06,0.044,6,0,0.0,,0,0.06,0.044,0.06,100,0,,False,True,0.0,none,0,0,0
96,137,random,500,False,False,0.272,1.0,1.0,0,1,1.0,0.905,42,38,0.1,0.053,0.038,6,0,0.0,,0,0.053,0.038,0.053,100,0,,False,True,0.0,none,0,0,0
97,138,random,500,False,False,0.193,1.0,1.0,0,2,0.985,0.92,50,46,0.1,0.015,0.009,6,0,0.0,,0,0.015,0.009,0.015,100,0,,False,True,0.0,none,0,0,0
98,139,random,500,False,False,0.139,1.0,1.0,0,1,1.0,0.836,55,46,0.1,0.004,0.002,6,0,0.0,,0,0.004,0.002,0.004,100,0,,False,True,0.0,none,0,0,0
99,140,random,500,False,False,0.131,1.0,1.0,0,1,1.0,0.911,56,51,0.1,0.002,0.0,6,0,0.0,,0,0.002,0.0,0.002,100,0,,False,True,0.0,none,0,0,0
100,141,random,500,False,False,0.261,1.0,1.0,0,2,0.955,0.85,40,34,0.1,0.054,0.043,6,0,0.0,,0,0.054,0.043,0.054,100,0,,False,True,0.0,none,0,0,0
