run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
48,89,scale-free,500,False,False,0.147,1.0,1.0,0,1,1.0,0.849,53,45,0.1,0.018,0.013,6,0,0.0,,0,0.018,0.013,0.018,100,0,,False,True,0.0,none,0,0,0
49,90,scale-free,500,False,False,0.35,1.0,1.0,0,1,1.0,0.842,38,32,0.1,0.138,0.114,6,0,0.0,,0,0.138,0.114,0.138,100,0,,False,True,0.0,none,0,0,0
50,91,scale-free,500,False,False,0.134,1.0,1.0,0,1,1.0,0.833,54,45,0.1,0.009,0.006,6,0,0.0,,0,0.008,0.006,0.008,100,0,,False,True,0.0,none,0,0,0
51,92,scale-free,500,False,False,0.3,1.0,1.0,0,1,1.0,0.872,39,34,0.1,0.067,0.05,6,0,0.0,,0,0.067,0.05,0.067,100,0,,False,True,0.0,none,0,0,0
52,93,scale-free,500,False,False,0.251,1.0,1.0,0,1,1.0,0.786,42,33,0.1,0.064,0.051,6,0,0.0,,0,0.064,0.051,0.064,100,0,,False,True,0.0,none,0,0,0
53,94,scale-free,500,False,False,0.441,1.0,1.0,0,1,1.0,0.759,29,22,0.1,0.161,0.135,6,0,0.0,,0,0.161,0.135,0.161,100,0,,False,True,0.0,none,0,0,0
54,95,scale-free,500,False,False,0.279,1.0,1.0,0,1,1.0,0.735,34,25,0.1,0.055,0.034,6,0,0.0,,0,0.055,0.034,0.055,100,0,,False,True,0.0,none,0,0,0
55,96,scale-free,500,False,False,0.237,1.0,1.0,0,1,1.0,0.86,43,37,0.1,0.055,0.039,6,0,0.0,,0,0.055,0.039,0.055,100,0,,False,True,0.0,none,0,0,0
56,97,scale-free,500,False,False,0.151,1.0,1.0,0,1,1.0,0.759,54,41,0.1,0.03,0.023,6,0,0.0,,0,0.03,0.023,0.03,100,0,,False,True,0.0,none,0,0,0
57,98,scale-free,500,False,False,0.202,1.0,1.0,0,1,1.0,0.816,49,40,0.1,0.047,0.033,6,0,0.0,,0,0.047,0.033,0.047,100,0,,False,True,0.0,none,0,0,0
58,99,scale-free,500,False,False,0.169,1.0,1.0,0,1,1.0,0.82,50,41,0.1,0.04,0.03,6,0,0.0,,0,0.023,0.018,0.023,100,0,,False,True,0.0,none,0,0,0
59,100,scale-free,500,False,False,0.281,1.0,1.0,0,1,1.0,0.75,40,30,0.1,0.068,0.055,6,0,0.0,,0,0.065,0.055,0.065,100,0,,False,True,0.0,none,0,0,0
60,101,scale-free,500,False,False,0.314,1.0,1.0,0,1,1.0,0.872,39,34,0.1,0.095,0.071,6,0,0.0,,0,0.095,0.071,0.095,100,0,,False,True,0.0,none,0,0,0
