run_index,seed,topology,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,contagion_containment,contagion_initial_failures,contagion_secondary_failures,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,federation,True,True,0.929,1.0,1.0,0,2,0.0,11,0,0.0,none,0,0,0
2,43,federation,True,True,0.96,1.0,1.0,0,1,0.0,11,0,0.0,none,0,0,0
3,44,federation,True,True,0.929,1.0,1.0,0,1,0.385,13,5,0.0,none,0,0,0
4,45,federation,True,True,0.979,1.0,1.0,0,2,0.0,10,0,0.0,none,0,0,0
5,46,federation,True,True,0.966,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
6,47,federation,True,True,0.932,1.0,1.0,0,1,0.2,15,3,0.0,none,0,0,0
7,48,federation,True,True,0.948,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
8,49,federation,True,True,0.931,1.0,1.0,0,1,0.182,11,2,0.0,none,0,0,0
9,50,federation,True,True,0.93,1.0,1.0,0,1,0.091,11,1,0.0,none,0,0,0
10,51,federation,True,True,0.973,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
11,52,federation,True,True,0.988,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
12,53,federation,True,True,0.986,1.0,1.0,0,1,0.1,10,1,0.0,none,0,0,0
13,54,federation,True,True,0.964,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
14,55,federation,True,True,0.976,1.0,1.0,0,1,0.0,11,0,0.0,none,0,0,0
15,56,federation,True,True,0.981,1.0,1.0,0,2,0.0,10,0,0.0,none,0,0,0
16,57,federation,True,True,0.958,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
17,58,federation,True,True,0.98,1.0,1.0,0,2,0.0,10,0,0.0,none,0,0,0
18,59,federation,True,True,1.0,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
19,60,federation,True,True,0.909,1.0,1.0,0,1,0.167,12,2,0.0,none,0,0,0
20,61,federation,True,True,0.966,1.0,1.0,0,1,0.0,11,0,0.0,none,0,0,0
21,62,federation,True,True,0.988,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
22,63,federation,True,True,0.957,1.0,1.0,0,1,0.0,12,0,0.0,none,0,0,0
23,64,federation,True,True,0.979,1.0,1.0,0,2,0.0,11,0,0.0,none,0,0,0
24,65,federation,True,True,0.985,1.0,1.0,0,2,0.0,10,0,0.0,none,0,0,0
25,66,federation,True,True,0.979,1.0,1.0,0,2,0.0,10,0,0.0,none,0,0,0
26,67,federation,True,True,0.977,1.0,1.0,0,1,0.091,11,1,0.0,none,0,0,0
27,68,federation,True,True,0.974,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
28,69,federation,True,True,0.935,1.0,1.0,0,1,0.083,12,1,0.0,none,0,0,0
29,70,federation,True,True,0.95,1.0,1.0,0,2,0.182,11,2,0.0,none,0,0,0
30,71,federation,True,True,0.978,1.0,1.0,0,1,0.0,11,0,0.0,none,0,0,0
31,72,federation,True,True,0.987,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
32,73,federation,True,True,0.995,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
33,74,federation,True,True,0.988,1.0,1.0,0,1,0.091,11,1,0.0,none,0,0,0
34,75,federation,True,True,0.959,1.0,1.0,0,1,0.182,11,2,0.0,none,0,0,0
35,76,federation,True,True,0.981,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
36,77,federation,True,True,0.93,1.0,1.0,0,1,0.091,11,1,0.0,none,0,0,0
37,78,federation,True,True,0.979,1.0,1.0,0,1,0.0,11,0,0.0,none,0,0,0
38,79,federation,True,True,0.896,1.0,1.0,0,1,0.385,13,5,0.0,none,0,0,0
39,80,federation,True,True,0.989,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
40,81,federation,True,True,0.988,1.0,1.0,0,1,0.091,11,1,0.0,none,0,0,0
41,82,federation,True,True,0.982,1.0,1.0,0,1,0.091,11,1,0.0,none,0,0,0
42,83,federation,True,True,0.973,1.0,1.0,0,2,0.0,10,0,0.0,none,0,0,0
43,84,federation,True,True,0.925,1.0,1.0,0,1,0.0,11,0,0.0,none,0,0,0
44,85,federation,True,True,0.983,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
45,86,federation,True,True,0.99,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
46,87,federation,True,True,0.988,1.0,1.0,0,1,0.091,11,1,0.0,none,0,0,0
47,88,federation,True,True,0.988,1.0,1.0,0,1,0.0,11,0,0.0,none,0,0,0
48,89,federation,True,True,0.969,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
49,90,federation,True,True,0.985,1.0,1.0,0,2,0.0,11,0,0.0,none,0,0,0
50,91,federation,True,True,0.973,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
51,92,federation,True,True,0.976,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
52,93,federation,True,True,0.842,1.0,1.0,0,1,0.286,14,4,0.0,none,0,0,0
53,94,federation,True,True,0.958,1.0,1.0,0,1,0.182,11,2,0.0,none,0,0,0
54,95,federation,True,True,0.994,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
55,96,federation,True,True,0.889,1.0,1.0,0,1,0.357,14,5,0.0,none,0,0,0
56,97,federation,True,True,0.961,1.0,1.0,0,1,0.154,13,2,0.0,none,0,0,0
57,98,federation,True,True,0.962,1.0,1.0,0,1,0.0,11,0,0.0,none,0,0,0
58,99,federation,True,True,0.922,1.0,1.0,0,1,0.0,11,0,0.0,none,0,0,0
59,100,federation,True,True,0.973,1.0,1.0,0,2,0.167,12,2,0.0,none,0,0,0
60,101,federation,True,True,0.993,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
61,102,federation,True,True,0.976,1.0,1.0,0,2,0.0,10,0,0.0,none,0,0,0
62,103,federation,True,True,0.969,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
63,104,federation,True,True,0.991,1.0,1.0,0,1,0.0,12,0,0.0,none,0,0,0
64,105,federation,True,True,0.99,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
65,106,federation,True,True,0.96,1.0,1.0,0,1,0.083,12,1,0.0,none,0,0,0
66,107,federation,True,True,0.974,1.0,1.0,0,2,0.154,13,2,0.0,none,0,0,0
67,108,federation,True,True,0.953,1.0,1.0,0,1,0.0,12,0,0.0,none,0,0,0
68,109,federation,True,True,0.953,1.0,1.0,0,1,0.0,11,0,0.0,none,0,0,0
69,110,federation,True,True,0.953,1.0,1.0,0,1,0.0,12,0,0.0,none,0,0,0
70,111,federation,True,True,0.949,1.0,1.0,0,1,0.182,11,2,0.0,none,0,0,0
71,112,federation,True,True,0.991,1.0,1.0,0,1,0.091,11,1,0.0,none,0,0,0
72,113,federation,True,True,0.957,1.0,1.0,0,1,0.143,14,2,0.0,none,0,0,0
73,114,federation,True,True,0.973,1.0,1.0,0,1,0.0,11,0,0.0,none,0,0,0
74,115,federation,True,True,0.958,1.0,1.0,0,1,0.091,11,1,0.0,none,0,0,0
75,116,federation,True,True,0.942,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
76,117,federation,True,True,0.998,1.0,1.0,0,3,0.0,10,0,0.0,none,0,0,0
77,118,federation,True,True,0.958,1.0,1.0,0,1,0.091,11,1,0.0,none,0,0,0
78,119,federation,True,True,0.974,1.0,1.0,0,2,0.182,11,2,0.0,none,0,0,0
79,120,federation,True,True,0.992,1.0,1.0,0,1,0.091,11,1,0.0,none,0,0,0
80,121,federation,True,True,0.965,1.0,1.0,0,1,0.0,13,0,0.0,none,0,0,0
81,122,federation,True,True,0.971,1.0,1.0,0,2,0.1,10,1,0.0,none,0,0,0
82,123,federation,True,True,0.983,1.0,1.0,0,1,0.0,11,0,0.0,none,0,0,0
83,124,federation,True,True,0.994,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
84,125,federation,True,True,0.914,1.0,1.0,0,1,0.231,13,3,0.0,none,0,0,0
85,126,federation,True,True,0.993,1.0,1.0,0,1,0.0,11,0,0.0,none,0,0,0
86,127,federation,True,True,0.948,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
87,128,federation,True,True,0.986,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
88,129,federation,True,True,0.962,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
89,130,federation,True,True,0.972,1.0,1.0,0,1,0.0,11,0,0.0,none,0,0,0
90,131,federation,True,True,0.969,1.0,1.0,0,1,0.308,13,4,0.0,none,0,0,0
91,132,federation,True,True,0.978,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
92,133,federation,True,True,0.967,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
93,134,federation,True,True,0.975,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
94,135,federation,True,True,0.978,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
95,136,federation,True,True,0.956,1.0,1.0,0,1,0.091,11,1,0.0,none,0,0,0
96,137,federation,True,True,0.994,1.0,1.0,0,2,0.0,10,0,0.0,none,0,0,0
97,138,federation,True,True,0.985,1.0,1.0,0,2,0.0,10,0,0.0,none,0,0,0
98,139,federation,True,True,0.911,1.0,1.0,0,4,0.0,11,0,0.0,none,0,0,0
99,140,federation,True,True,0.972,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
100,141,federation,True,True,0.975,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
