run_index,seed,topology,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,contagion_containment,contagion_initial_failures,contagion_secondary_failures,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,random,True,True,0.972,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
2,43,random,True,True,0.982,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
3,44,random,True,True,0.952,1.0,1.0,0,1,0.231,13,3,0.0,none,0,0,0
4,45,random,True,True,0.979,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
5,46,random,True,True,0.97,1.0,1.0,0,1,0.182,11,2,0.0,none,0,0,0
6,47,random,True,True,0.953,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
7,48,random,True,True,0.978,1.0,1.0,0,1,0.182,11,2,0.0,none,0,0,0
8,49,random,True,True,0.967,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
9,50,random,True,True,0.981,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
10,51,random,True,True,0.99,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
11,52,random,True,True,0.967,1.0,1.0,0,1,0.182,11,2,0.0,none,0,0,0
12,53,random,True,True,0.986,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
13,54,random,True,True,0.978,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
14,55,random,True,True,0.977,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
15,56,random,True,True,0.985,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
16,57,random,True,True,0.973,1.0,1.0,0,1,0.273,11,3,0.0,none,0,0,0
17,58,random,True,True,0.972,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
18,59,random,True,True,0.995,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
19,60,random,True,True,0.949,1.0,1.0,0,1,0.182,11,2,0.0,none,0,0,0
20,61,random,True,True,0.928,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
21,62,random,True,True,0.984,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
22,63,random,True,True,0.974,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
23,64,random,True,True,0.98,1.0,1.0,0,2,0.0,11,0,0.0,none,0,0,0
24,65,random,True,True,0.976,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
25,66,random,True,True,0.957,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
26,67,random,True,True,0.926,1.0,1.0,0,1,0.167,12,2,0.0,none,0,0,0
27,68,random,True,True,0.961,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
28,69,random,True,True,0.958,1.0,1.0,0,1,0.273,11,3,0.0,none,0,0,0
29,70,random,True,True,0.976,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
30,71,random,True,True,0.953,1.0,1.0,0,1,0.091,11,1,0.0,none,0,0,0
31,72,random,True,True,0.979,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
32,73,random,True,True,0.974,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
33,74,random,True,True,0.977,1.0,1.0,0,1,0.083,12,1,0.0,none,0,0,0
34,75,random,True,True,0.962,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
35,76,random,True,True,0.982,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
36,77,random,True,True,0.96,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
37,78,random,True,True,0.992,1.0,1.0,0,1,0.091,11,1,0.0,none,0,0,0
38,79,random,True,True,0.96,1.0,1.0,0,1,0.091,11,1,0.0,none,0,0,0
39,80,random,True,True,0.975,1.0,1.0,0,1,0.182,11,2,0.0,none,0,0,0
40,81,random,True,True,0.978,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
41,82,random,True,True,0.995,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
42,83,random,True,True,0.982,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
43,84,random,True,True,0.943,1.0,1.0,0,2,0.25,12,3,0.0,none,0,0,0
44,85,random,True,True,0.99,1.0,1.0,0,1,0.0,11,0,0.0,none,0,0,0
45,86,random,True,True,0.974,1.0,1.0,0,1,0.083,12,1,0.0,none,0,0,0
46,87,random,True,True,0.98,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
47,88,random,True,True,0.997,1.0,1.0,0,1,0.0,12,0,0.0,none,0,0,0
48,89,random,True,True,0.965,1.0,1.0,0,1,0.182,11,2,0.0,none,0,0,0
49,90,random,True,True,0.979,1.0,1.0,0,2,0.0,10,0,0.0,none,0,0,0
50,91,random,True,True,0.942,1.0,1.0,0,1,0.333,12,4,0.0,none,0,0,0
51,92,random,True,True,0.964,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
52,93,random,True,True,0.879,1.0,1.0,0,1,0.286,14,4,0.0,none,0,0,0
53,94,random,True,True,0.973,1.0,1.0,0,1,0.091,11,1,0.0,none,0,0,0
54,95,random,True,True,0.943,1.0,1.0,0,1,0.182,11,2,0.0,none,0,0,0
55,96,random,True,True,0.928,1.0,1.0,0,1,0.091,11,1,0.0,none,0,0,0
56,97,random,True,True,0.945,1.0,1.0,0,1,0.308,13,4,0.0,none,0,0,0
57,98,random,True,True,0.95,1.0,1.0,0,1,0.182,11,2,0.0,none,0,0,0
58,99,random,True,True,0.965,1.0,1.0,0,1,0.0,11,0,0.0,none,0,0,0
59,100,random,True,True,0.971,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
