label,node_a_final_stability,node_b_final_stability,node_a_stability_rate,node_b_stability_rate,node_a_failure,node_b_failure,node_a_recovered,node_b_recovered,propagated_breach,propagated_failure,synchronization_correlation,avg_stability_gap,simultaneous_breach,node_a_final_trust,node_b_final_trust
trust_coupling_off,0.998901792759457,0.9199343107166797,1.0,0.923,0.0,0.1,0.0,0.45,0.5,0.1,0.024607445446838593,0.0850205159816714,0.0,0.9629383698078327,0.8011265308994426
trust_coupling_on,0.9996620460623594,0.9955677174147552,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8444692368010035,0.0060328950079694636,0.0,0.9985331001779498,0.9972951299252231
unequal_coupling_ab_dominant,0.9984715043295352,0.7042018710699598,1.0,0.25,0.0,0.8,0.0,0.55,1.0,0.8,-0.46683784609909756,0.27391648482372,0.0,0.95693690811196,0.5046517904013911
unequal_coupling_ba_dominant,0.9765117152824153,0.9097457577703814,1.0,0.9045,0.0,0.15,0.0,0.5,0.55,0.15,0.13192665741787513,0.0824009811105168,0.0,0.8578987541568477,0.7822278292999025
time_delay_0,0.9310087416848978,0.5842219730996043,0.991,0.146,0.0,1.0,0.15,0.2,1.0,1.0,0.22280157707737444,0.30866755386563066,0.15,0.775006080715863,0.33646183015987974
time_delay_2,0.8643600315161933,0.3755214927050364,0.8905,0.1305,0.15,1.0,0.6,0.0,1.0,1.0,0.5879262985080496,0.3982276520609688,0.65,0.712155326176086,0.051381571958007355
