run_index,seed,topology,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,contagion_containment,contagion_initial_failures,contagion_secondary_failures,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,scale-free,True,True,0.999,1.0,1.0,0,1,0.0,2,0,0.0,none,0,0,0
2,43,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
3,44,scale-free,True,True,0.992,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
4,45,scale-free,True,True,0.999,1.0,1.0,0,1,0.5,2,1,0.0,none,0,0,0
5,46,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
6,47,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,4,0,0.0,none,0,0,0
7,48,scale-free,True,True,0.999,1.0,1.0,0,1,0.0,2,0,0.0,none,0,0,0
8,49,scale-free,True,True,0.996,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
9,50,scale-free,True,True,0.999,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
10,51,scale-free,True,True,0.98,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
11,52,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
12,53,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,4,0,0.0,none,0,0,0
13,54,scale-free,True,True,0.999,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
14,55,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,2,0,0.0,none,0,0,0
15,56,scale-free,True,True,0.999,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
16,57,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
17,58,scale-free,True,True,0.999,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
18,59,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
19,60,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
20,61,scale-free,True,True,0.993,1.0,1.0,0,1,0.333,3,1,0.0,none,0,0,0
21,62,scale-free,True,True,0.997,1.0,1.0,0,1,0.0,2,0,0.0,none,0,0,0
22,63,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,3,0,0.0,none,0,0,0
23,64,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
24,65,scale-free,True,True,0.998,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
25,66,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
26,67,scale-free,True,True,0.999,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
27,68,scale-free,True,True,0.999,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
28,69,scale-free,True,True,0.986,1.0,1.0,0,1,0.5,8,4,0.0,none,0,0,0
29,70,scale-free,True,True,0.997,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
30,71,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
31,72,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
32,73,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
33,74,scale-free,True,True,0.999,1.0,1.0,0,1,0.0,3,0,0.0,none,0,0,0
34,75,scale-free,True,True,0.979,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
35,76,scale-free,True,True,0.999,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
36,77,scale-free,True,True,0.999,1.0,1.0,0,1,0.25,4,1,0.0,none,0,0,0
37,78,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
38,79,scale-free,True,True,0.99,1.0,1.0,0,1,0.333,6,2,0.0,none,0,0,0
39,80,scale-free,True,True,0.994,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
40,81,scale-free,True,True,0.999,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
41,82,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
42,83,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
43,84,scale-free,True,True,0.997,1.0,1.0,0,1,0.0,2,0,0.0,none,0,0,0
44,85,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
45,86,scale-free,True,True,0.979,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
46,87,scale-free,True,True,0.995,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
47,88,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
48,89,scale-free,True,True,0.999,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
49,90,scale-free,True,True,0.995,1.0,1.0,0,1,0.5,2,1,0.0,none,0,0,0
50,91,scale-free,True,True,0.999,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
51,92,scale-free,True,True,0.996,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
52,93,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
53,94,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
54,95,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,2,0,0.0,none,0,0,0
55,96,scale-free,True,True,0.999,1.0,1.0,0,1,0.0,2,0,0.0,none,0,0,0
56,97,scale-free,True,True,0.999,1.0,1.0,0,1,0.0,2,0,0.0,none,0,0,0
57,98,scale-free,True,True,0.999,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
58,99,scale-free,True,True,0.99,1.0,1.0,0,1,0.0,2,0,0.0,none,0,0,0
59,100,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
60,101,scale-free,True,True,0.999,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
61,102,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
62,103,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
63,104,scale-free,True,True,0.999,1.0,1.0,0,1,0.0,2,0,0.0,none,0,0,0
64,105,scale-free,True,True,0.98,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
65,106,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,2,0,0.0,none,0,0,0
66,107,scale-free,True,True,0.999,1.0,1.0,1,2,0.333,3,1,0.0,none,0,0,0
67,108,scale-free,True,True,0.999,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
