config,hub_count,balanced,runs,sustained_ignition_rate,avg_peripheral_failure_rate,avg_hub_min_stability,avg_final_cooperation,pct_collapsed
A,1,1,30,1.0,0.9761280602636534,0.5585300218422503,0.25546760272396446,1.0
B,2,1,30,1.0,0.9370421455938697,0.6044381784189111,0.6260899505625177,1.0
C,3,1,30,0.0,0.47966471734892785,0.6170182828509889,0.7385372367228575,0.0
D,2,0,30,1.0,0.9371379310344828,0.6042677416467037,0.6263496285224571,1.0
E,3,0,30,0.0,0.4790448343079922,0.6155273888279852,0.7387440921229697,0.0
