step,avg_trust,avg_disturbance,avg_stability,avg_cognitive_distortion,avg_intervention_total,stability_share,avg_node_stability_variance
0,0.7633205259523943,0.20786642296510316,0.8660402573788434,0.20171028390407625,0.0,1.0,0.00010275478552230889
1,0.7182393444087389,0.2369631113733526,0.8652172538416564,0.24418515517583864,0.0,1.0,0.0002752096936023417
2,0.6686427251966706,0.25844413789757653,0.8971529219995188,0.28661069315604665,0.8,1.0,0.00042901208756767896
3,0.6498386762968495,0.2645445890271548,0.8987882735140797,0.30617245103662166,1.0,0.99,0.0009627875231254333
4,0.6508645584845095,0.23822613888535135,0.8881021430319607,0.30529531202518567,1.0,0.93,0.0015194890434966234
5,0.6654396752391328,0.22732175900775306,0.8769848157774088,0.29820277188409616,1.0,0.9,0.00193617556121384
6,0.6762787066880892,0.23441391978648404,0.8716655130504306,0.2791604736666348,1.0,0.9,0.0021821569146136185
7,0.6770876732016318,0.23840985170732526,0.8748722294839392,0.26305620881558933,1.0,0.9,0.0025456952626098876
8,0.6609593128552076,0.24365547927705541,0.8856344546007319,0.2519765736790368,0.9933999999999998,0.93,0.0027618647016291213
9,0.6466070444441191,0.2516782106100041,0.8886508057937215,0.25217407890702437,0.972852,0.95,0.0031714941661885624
10,0.6395222496054612,0.2509077043758603,0.8839905686601058,0.24898359566086362,0.95682456,0.88,0.0035406771489785555
11,0.6463679568230247,0.2369712663221154,0.8774692817084455,0.24675855194257146,0.9653410767999999,0.88,0.003507847096783421
12,0.6549895994982738,0.22933285305217166,0.8740954879199674,0.25058639580302133,0.9723630287039999,0.81,0.003171622862363905
13,0.6643986510028149,0.20369802204999674,0.8797422198556438,0.24748861011938655,0.9956,0.82,0.0031542655194930005
14,0.6604833246616323,0.23197670375290394,0.8857479030056418,0.24835018106684012,0.976768,0.84,0.003622756644336928
15,0.6510318449824068,0.24201194626642253,0.8898088491237259,0.2459021040356799,0.987768,0.85,0.004148955918520426
16,0.6477609084970948,0.22857819653653416,0.8904584588562262,0.24258290165455754,0.9661455199999999,0.82,0.004339614357022767
17,0.6432576843899411,0.23271463763114494,0.886151014636241,0.24088447370098848,0.9658055055999999,0.82,0.004441969331618437
18,0.643783018663721,0.24204317240073858,0.8819383866466963,0.2326165145048849,0.988971174368,0.82,0.0040950504941963594
19,0.6429981621197346,0.24817582886566109,0.8779480342979964,0.2331729728908043,0.96585199600704,0.82,0.003773488858779702
20,0.6503138746338183,0.23138661130452676,0.8771951007918262,0.2385074852056869,0.9814085568854912,0.88,0.003461074750119082
21,0.6542692562130837,0.23183625957892257,0.8779943828924821,0.23620238885630537,0.9903455199999999,0.89,0.0031051010682345047
22,0.6563168210733409,0.23580056966247878,0.8782934681329152,0.23555582838695988,0.9811679999999999,0.89,0.002978493075261573
