disturbance_level,coupling_delay,k_t_star,threshold_found,node_b_failure_rate,node_b_final_stability,node_b_final_trust,node_a_final_stability,node_a_final_trust
0.2,0,0.05,True,0.0,0.9899196502774593,0.9893052989590998,0.9994460197330983,0.9979918505116416
0.2,1,0.05,True,0.0,0.9878313785318726,0.9871684359512326,0.9993517305127817,0.9978115167978936
0.2,2,0.05,True,0.0,0.9879539982909362,0.9875165304586554,0.9993251177708485,0.9977531832996517
0.4,0,0.05,True,0.0,0.9899196502775064,0.9893052989592125,0.9994460197330982,0.9979918505116416
0.4,1,0.05,True,0.0,0.9878313785332218,0.9871684359540464,0.9993517305127815,0.9978115167978936
0.4,2,0.05,True,0.0,0.9879539982935123,0.9875165304633059,0.9993251177708483,0.9977531832996517
0.6,0,0.05,True,0.0,0.9899196502775176,0.9893052989592356,0.9994460197330982,0.9979918505116416
0.6,1,0.05,True,0.0,0.9878313785337823,0.9871684359553614,0.9993517305127815,0.9978115167978936
0.6,2,0.05,True,0.0,0.9879539982961806,0.9875165304685186,0.9993251177708482,0.9977531832996516
