run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,federation,300,True,True,0.904,1.0,1.0,3,5,0.92,1.0,2,2,0.0,none,0,0,0
2,43,federation,300,True,True,0.864,1.0,1.0,1,2,0.96,0.0,1,0,0.0,none,0,0,0
3,44,federation,300,True,True,0.861,1.0,1.0,1,2,0.98,0.25,4,1,0.0,none,0,0,0
4,45,federation,300,True,True,0.963,1.0,1.0,1,3,0.922,0.0,0,0,0.0,none,0,0,0
5,46,federation,300,True,True,0.916,1.0,1.0,0,1,1.0,0.5,2,1,0.0,none,0,0,0
6,47,federation,300,True,True,0.766,1.0,1.0,0,1,1.0,0.2,5,1,0.0,none,0,0,0
7,48,federation,300,True,True,0.974,1.0,1.0,1,2,0.98,0.0,1,0,0.0,none,0,0,0
8,49,federation,300,True,True,0.884,1.0,1.0,2,3,0.96,0.5,2,1,0.0,none,0,0,0
9,50,federation,300,True,True,0.927,1.0,1.0,1,2,0.981,1.0,1,1,0.0,none,0,0,0
10,51,federation,300,True,True,0.929,1.0,1.0,1,2,0.98,0.0,0,0,0.0,none,0,0,0
11,52,federation,300,True,True,0.957,1.0,1.0,1,2,0.98,0.0,0,0,0.0,none,0,0,0
12,53,federation,300,True,True,0.883,1.0,1.0,2,3,0.96,0.0,2,0,0.0,none,0,0,0
13,54,federation,300,True,True,0.971,1.0,1.0,0,1,1.0,0.0,0,0,0.0,none,0,0,0
14,55,federation,300,True,True,0.92,1.0,1.0,1,2,0.958,0.333,3,1,0.0,none,0,0,0
15,56,federation,300,True,True,0.894,1.0,1.0,1,3,0.962,0.0,0,0,0.0,none,0,0,0
16,57,federation,300,True,True,0.955,1.0,1.0,0,1,1.0,0.0,1,0,0.0,none,0,0,0
17,58,federation,300,True,True,0.975,1.0,1.0,4,6,0.898,0.0,0,0,0.0,none,0,0,0
18,59,federation,300,True,True,0.959,1.0,1.0,1,2,0.98,0.0,0,0,0.0,none,0,0,0
19,60,federation,300,True,True,0.853,1.0,1.0,1,2,0.98,0.75,4,3,0.0,none,0,0,0
20,61,federation,300,True,True,0.933,1.0,1.0,2,3,0.96,0.0,1,0,0.0,none,0,0,0
