run_index,seed,topology,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,small-world,True,True,0.713,1.0,1.0,0,1,1.0,0.286,14,4,0.0,none,0,0,0
2,43,small-world,True,True,0.83,1.0,1.0,0,1,1.0,0.091,11,1,0.0,none,0,0,0
3,44,small-world,True,True,0.798,1.0,1.0,0,1,1.0,0.333,12,4,0.0,none,0,0,0
4,45,small-world,True,True,0.746,1.0,1.0,0,1,1.0,0.286,14,4,0.0,none,0,0,0
5,46,small-world,True,True,0.773,1.0,1.0,0,1,1.0,0.5,12,6,0.0,none,0,0,0
6,47,small-world,True,True,0.731,1.0,1.0,0,1,1.0,0.083,12,1,0.0,none,0,0,0
7,48,small-world,True,True,0.811,1.0,1.0,0,1,1.0,0.091,11,1,0.0,none,0,0,0
8,49,small-world,True,True,0.81,1.0,1.0,0,1,1.0,0.091,11,1,0.0,none,0,0,0
9,50,small-world,True,True,0.825,1.0,1.0,0,1,1.0,0.0,10,0,0.0,none,0,0,0
10,51,small-world,True,True,0.736,1.0,1.0,0,1,1.0,0.154,13,2,0.0,none,0,0,0
11,52,small-world,True,True,0.786,1.0,1.0,0,1,1.0,0.0,11,0,0.0,none,0,0,0
12,53,small-world,True,True,0.819,1.0,1.0,0,1,1.0,0.273,11,3,0.0,none,0,0,0
13,54,small-world,True,True,0.797,1.0,1.0,0,1,1.0,0.0,10,0,0.0,none,0,0,0
14,55,small-world,True,True,0.68,1.0,1.0,0,1,1.0,0.286,14,4,0.0,none,0,0,0
15,56,small-world,True,True,0.8,1.0,1.0,0,1,1.0,0.0,10,0,0.0,none,0,0,0
16,57,small-world,True,True,0.791,1.0,1.0,0,1,1.0,0.0,12,0,0.0,none,0,0,0
17,58,small-world,True,True,0.807,1.0,1.0,0,1,1.0,0.0,10,0,0.0,none,0,0,0
18,59,small-world,True,True,0.844,1.0,1.0,0,1,1.0,0.0,10,0,0.0,none,0,0,0
19,60,small-world,True,True,0.829,1.0,1.0,0,1,1.0,0.167,12,2,0.0,none,0,0,0
20,61,small-world,True,True,0.799,1.0,1.0,0,1,1.0,0.0,11,0,0.0,none,0,0,0
