disturbance_level,coupling_delay,trust_coupling,node_a_final_stability,node_b_final_stability,node_a_stability_rate,node_b_stability_rate,node_a_failure,node_b_failure,node_a_recovered,node_b_recovered,propagated_breach,propagated_failure,synchronization_correlation,avg_stability_gap,simultaneous_breach,node_a_final_trust,node_b_final_trust
0.2,0,0.0,0.9805864249092178,0.7524245149948707,1.0,0.40449999999999997,0.0,0.55,0.0,0.7,1.0,0.55,-0.1312332934248453,0.21822926700569414,0.0,0.869903788911412,0.5693649081399487
0.2,0,0.01,0.992102761810116,0.8218485474855726,1.0,0.6214999999999999,0.0,0.35,0.0,0.9,0.9,0.35,-0.11106088259875066,0.16757784134474724,0.0,0.937549332240188,0.6792200543812864
0.2,0,0.02,0.9978728809136588,0.8893616010955464,1.0,0.843,0.0,0.15,0.0,0.75,0.75,0.15,-0.012840162740417205,0.11453942876642656,0.0,0.970469384494776,0.7945948175487053
0.2,0,0.05,0.999017976889862,0.9780189031853844,1.0,0.9890000000000001,0.0,0.0,0.0,0.15,0.15,0.0,0.4996717074849082,0.023802763131356063,0.0,0.9970648735787451,0.974067141192186
0.2,0,0.1,0.9991566017461746,0.99175314932739,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7565506176752338,0.009839366875097889,0.0,1.0,1.0
0.2,0,0.2,0.9991566017184368,0.9920280215992161,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7651495839047118,0.009339093053994657,0.0,1.0,1.0
0.2,1,0.0,0.9581618240671294,0.6464904242066087,0.998,0.211,0.0,0.85,0.05,0.35,1.0,0.85,-0.0020371085251878886,0.2823104444541177,0.05,0.8162560478495114,0.4245380314178756
0.2,1,0.01,0.9806326777652552,0.7269972244801588,0.9984999999999999,0.378,0.0,0.7,0.05,0.55,1.0,0.7,-0.08717032118653481,0.23180320718421296,0.05,0.8885111723473716,0.5537469837669579
0.2,1,0.02,0.9930358094448932,0.8138347128504156,1.0,0.5925,0.0,0.35,0.0,0.95,0.95,0.35,-0.11139331328759901,0.17221777272341482,0.0,0.9506724205467865,0.6912768577717859
0.2,1,0.05,0.9985003149265292,0.9607210390102132,1.0,0.9585000000000001,0.0,0.05,0.0,0.15,0.15,0.05,0.323692558342091,0.04061591196552959,0.0,0.9962988100077421,0.9535701023850953
0.2,1,0.1,0.9987322088125816,0.9863191654194571,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6680299555009093,0.015015252262979475,0.0,1.0,1.0
0.2,1,0.2,0.998732208437969,0.9868765100512403,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6840181347081525,0.014270244651216152,0.0,1.0,1.0
0.2,2,0.0,0.9585293253797594,0.6460798011077695,0.998,0.23349999999999999,0.0,0.85,0.05,0.4,1.0,0.85,-0.0018172745583951064,0.2784317289408205,0.05,0.8151678825470976,0.4241908895978102
0.2,2,0.01,0.9815898109176313,0.7267534215489866,0.999,0.3805,0.0,0.7,0.05,0.55,1.0,0.7,-0.10941245414212111,0.22800121533818302,0.05,0.8882846868727136,0.5535497833108433
0.2,2,0.02,0.9939802021545905,0.8141360690983938,1.0,0.6064999999999999,0.0,0.4,0.0,0.9,0.95,0.4,-0.13899830772544744,0.16913010181303081,0.0,0.9530333878154034,0.6920691587050671
0.2,2,0.05,0.9985141142632376,0.9619841045360182,1.0,0.962,0.0,0.05,0.0,0.1,0.15,0.05,0.33394745069398096,0.039590703028296044,0.0,0.9961924034922005,0.9554923614540322
0.2,2,0.1,0.9987293853974301,0.9867494850426922,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6822121914938782,0.014897424412660346,0.0,1.0,1.0
0.2,2,0.2,0.9987293849923311,0.9872210175969031,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6982760872850272,0.014225647115290618,0.0,1.0,1.0
0.4,0,0.0,0.9805862122329421,0.752426123518148,1.0,0.40449999999999997,0.0,0.55,0.0,0.7,1.0,0.55,-0.14104894525985387,0.21834642497192708,0.0,0.8699027878692197,0.5693669235131711
0.4,0,0.01,0.9921027541125895,0.8218482434785643,1.0,0.6214999999999999,0.0,0.35,0.0,0.9,0.9,0.35,-0.1169841625762323,0.16771751969562793,0.0,0.9375492967723391,0.6792197909286458
0.4,0,0.02,0.9978728808063604,0.8893615726789468,1.0,0.843,0.0,0.15,0.0,0.75,0.75,0.15,-0.013720707781481389,0.11473235519530331,0.0,0.9704693844806588,0.7945947662820321
0.4,0,0.05,0.9990179768898437,0.9780189031913539,1.0,0.9890000000000001,0.0,0.0,0.0,0.15,0.15,0.0,0.501449746050286,0.023949193265737922,0.0,0.9970648735787411,0.9740671412031006
0.4,0,0.1,0.9991566017461746,0.9917531493273902,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7569103950977255,0.010014940495696146,0.0,1.0,1.0
