# v1.3 Round Raw Data Pack
# Generated: 2026-04-26
# Sources:
# - v13_blocking_diagnostic_summary.csv
# - v13_blocking_diagnostic_runs.csv

## BEGIN v13_blocking_diagnostic_summary.csv
test_name,scenario,stable_run_rate,failure_rate,recovered_run_rate,avg_final_stability,avg_min_stability,avg_final_trust,avg_min_trust,avg_final_disturbance,avg_max_disturbance,avg_final_cognitive_distortion,avg_max_cognitive_distortion,trust_first_rate,disturbance_first_rate,cognition_first_rate,tie_first_rate,no_stressor_rate,note
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_060,0.06666666666666667,0.03333333333333333,0.9333333333333333,0.9523485913993714,0.7120351256358115,0.8710419244795599,0.4739494721427775,0.1747679888691107,0.8667530631793513,0.17467503994099579,0.36392277923185046,0.0,0.9333333333333333,0.0,0.06666666666666667,0.0,disturbance_high with disturbance_baseline(f_min)=0.05 and alpha(alpha_gov)=0.60.
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_080,0.1,0.03333333333333333,0.9,0.9516243007858425,0.7139887842524726,0.8668486525012278,0.48059550252200084,0.17656449509230032,0.8594585619613859,0.17549779711726204,0.36423444213255995,0.0,0.9333333333333333,0.0,0.06666666666666667,0.0,disturbance_high with disturbance_baseline(f_min)=0.05 and alpha(alpha_gov)=0.80.
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_100,0.1,0.03333333333333333,0.9,0.9505746564160588,0.7144531447227176,0.863392170417536,0.484120019365845,0.17840530768259144,0.8552578431825654,0.1760192741243541,0.3645434662165978,0.0,0.9333333333333333,0.0,0.06666666666666667,0.0,disturbance_high with disturbance_baseline(f_min)=0.05 and alpha(alpha_gov)=1.00.
blocking_diagnostic_v13,disturbance_high_fmin_010_agov_060,0.0,0.23333333333333334,1.0,0.8535588596370973,0.5847190482609987,0.7346677058091308,0.3308489617222797,0.2686766395918409,0.9473677426621009,0.21082392735415068,0.4022665249661596,0.0,0.5333333333333333,0.0,0.4666666666666667,0.0,disturbance_high with disturbance_baseline(f_min)=0.10 and alpha(alpha_gov)=0.60.
blocking_diagnostic_v13,disturbance_high_fmin_010_agov_080,0.0,0.23333333333333334,1.0,0.8508712585701288,0.5856519113089809,0.7307676881760133,0.3349142180146593,0.27069675898632145,0.9437710994574521,0.21109360230059016,0.4034885322612233,0.0,0.5666666666666667,0.0,0.43333333333333335,0.0,disturbance_high with disturbance_baseline(f_min)=0.10 and alpha(alpha_gov)=0.80.
blocking_diagnostic_v13,disturbance_high_fmin_010_agov_100,0.0,0.23333333333333334,1.0,0.8492053499559734,0.5860318597051355,0.7283713749041039,0.3374240969121349,0.27231112264729007,0.9413483145567593,0.21100640789728706,0.4040541976526505,0.0,0.5666666666666667,0.0,0.43333333333333335,0.0,disturbance_high with disturbance_baseline(f_min)=0.10 and alpha(alpha_gov)=1.00.
blocking_diagnostic_v13,disturbance_high_fmin_015_agov_060,0.0,0.8,0.9666666666666667,0.7170193684900492,0.4401780841758128,0.5795526447692914,0.15885134463288736,0.3687660723200919,0.9938826826120041,0.257283980973817,0.4499513095817575,0.0,0.0,0.0,1.0,0.0,disturbance_high with disturbance_baseline(f_min)=0.15 and alpha(alpha_gov)=0.60.
blocking_diagnostic_v13,disturbance_high_fmin_015_agov_080,0.0,0.8,0.9666666666666667,0.7164641351036884,0.4411532920599538,0.579048860039091,0.16248797465363857,0.37032055374464146,0.9933247108909911,0.2569407947576218,0.4504211423445254,0.0,0.0,0.0,1.0,0.0,disturbance_high with disturbance_baseline(f_min)=0.15 and alpha(alpha_gov)=0.80.
blocking_diagnostic_v13,disturbance_high_fmin_015_agov_100,0.0,0.8,0.9666666666666667,0.7155101886160323,0.44094336445134424,0.5780806678763054,0.16406562877351663,0.3720271465085744,0.9931276397476619,0.2567860532219061,0.4507119040245366,0.0,0.0,0.0,1.0,0.0,disturbance_high with disturbance_baseline(f_min)=0.15 and alpha(alpha_gov)=1.00.
blocking_diagnostic_v13,disturbance_high_fmin_020_agov_060,0.0,1.0,0.13333333333333333,0.5386945165941427,0.3092796174133688,0.3517244328722618,0.025050748675671263,0.4937331819588995,0.9992034011341534,0.32263255792446976,0.49119173389142606,0.43333333333333335,0.0,0.0,0.5666666666666667,0.0,disturbance_high with disturbance_baseline(f_min)=0.20 and alpha(alpha_gov)=0.60.
blocking_diagnostic_v13,disturbance_high_fmin_020_agov_080,0.0,1.0,0.13333333333333333,0.5382995197969904,0.3098259726691114,0.35154895117992324,0.026374426015453707,0.4952863021056332,0.9992231592331995,0.3225336627776563,0.490951332477826,0.4,0.0,0.0,0.6,0.0,disturbance_high with disturbance_baseline(f_min)=0.20 and alpha(alpha_gov)=0.80.
blocking_diagnostic_v13,disturbance_high_fmin_020_agov_100,0.0,1.0,0.13333333333333333,0.5373778041077947,0.3099184105564149,0.35060010065174313,0.027100140848244313,0.49707091066451525,0.9993453243137421,0.32265663179410614,0.4908074547314177,0.36666666666666664,0.0,0.0,0.6333333333333333,0.0,disturbance_high with disturbance_baseline(f_min)=0.20 and alpha(alpha_gov)=1.00.
blocking_diagnostic_v13,disturbance_high_fmin_025_agov_060,0.0,1.0,0.0,0.38725184650322986,0.2515291881920861,0.15252232181836614,0.00040214810260339834,0.6175630662723084,1.0,0.38231275860207925,0.5116650462929883,0.2,0.16666666666666666,0.0,0.6333333333333333,0.0,disturbance_high with disturbance_baseline(f_min)=0.25 and alpha(alpha_gov)=0.60.
blocking_diagnostic_v13,disturbance_high_fmin_025_agov_080,0.0,1.0,0.0,0.38691131413450164,0.25151482540751285,0.15223564684573346,0.00044311316601850225,0.6184981993923461,1.0,0.3824026700981662,0.5113232948836146,0.2,0.2,0.0,0.6,0.0,disturbance_high with disturbance_baseline(f_min)=0.25 and alpha(alpha_gov)=0.80.
blocking_diagnostic_v13,disturbance_high_fmin_025_agov_100,0.0,1.0,0.0,0.3866450682377155,0.2514787182427903,0.1519827684643483,0.00046448508630399324,0.6191513990230183,1.0,0.382488961541751,0.5110859267157736,0.13333333333333333,0.2,0.0,0.6666666666666666,0.0,disturbance_high with disturbance_baseline(f_min)=0.25 and alpha(alpha_gov)=1.00.
w_calibration_v13,capacity_050_w_060,0.9,0.0,0.1,0.9915285666661049,0.8515887635813706,0.9564064850303875,0.6977550058728812,0.15673632852435976,0.49348985930150335,0.19577489542801743,0.30546336526391005,0.16666666666666666,0.5666666666666667,0.0,0.03333333333333333,0.23333333333333334,Capacity fixed at 0.50 with activation_gain(W)=0.60.
w_calibration_v13,capacity_050_w_080,0.9,0.0,0.1,0.9920669766390343,0.8536265652001933,0.9577841560244171,0.7020654893668123,0.1561042175966615,0.4924766431572508,0.19408291541630873,0.304611710146542,0.16666666666666666,0.5666666666666667,0.0,0.03333333333333333,0.23333333333333334,Capacity fixed at 0.50 with activation_gain(W)=0.80.
w_calibration_v13,capacity_050_w_100,0.9333333333333333,0.0,0.06666666666666667,0.9920967505679351,0.8546747484271917,0.9577469366797258,0.7034443309719228,0.15608261208817462,0.4920877260727351,0.19401420802378996,0.30442516165732153,0.13333333333333333,0.5666666666666667,0.0,0.06666666666666667,0.23333333333333334,Capacity fixed at 0.50 with activation_gain(W)=1.00.
## END v13_blocking_diagnostic_summary.csv

## BEGIN v13_blocking_diagnostic_runs.csv
test_name,scenario,run_index,seed,final_stability,min_stability,max_stability,final_trust,final_disturbance,final_cognitive_distortion,stability_rate,first_breach_step,recovery_step,stable_run,recovered_run,failure_case,failure_reason,avg_intervention_utilization,first_stressor
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_060,0,42,0.9880856847806194,0.7638697015046734,0.9998589254074293,0.8314664224211552,0.18969693383317204,0.21064235067488035,0.9733333333333334,114,118,0,1,0,,0.8438225826828262,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_060,1,43,0.9449011990122486,0.5829033978801383,0.9997839451657,0.8727334248648726,0.19962810255116523,0.17894646411144766,0.8266666666666667,45,49,0,1,0,,0.8894109129092593,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_060,2,44,0.9476836041411723,0.7217913821061661,0.9995550065558801,0.9184640947018584,0.11444994584161744,0.12311019112889321,0.8866666666666667,42,44,0,1,0,,0.8807616040287158,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_060,3,45,0.9918796140080997,0.7223933273794602,0.9999239927336734,0.8644874576597882,0.14729477531229335,0.15816609830569586,0.8666666666666667,10,16,0,1,0,,0.8670538372456099,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_060,4,46,0.7944883148824808,0.6742328060569611,0.9999791460739139,0.7217270407345884,0.19385986236143335,0.21706837907820212,0.86,41,51,0,1,1,ended_below_threshold,0.8752176892025936,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_060,5,47,0.985152439906524,0.6431993241652652,0.9993515322924457,0.8578692604009922,0.15690908049033903,0.16266988374385283,0.8266666666666667,7,13,0,1,0,,0.9012040175566777,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_060,6,48,0.9965624807347543,0.7419831748981582,0.9999978512247483,0.8987395666285634,0.11822975745261072,0.19040612349274205,0.94,30,34,0,1,0,,0.8680145952101919,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_060,7,49,0.9598801036828258,0.717537510016699,0.9968547659526421,0.8652980367036673,0.16318558239207312,0.14931305609165124,0.8866666666666667,2,5,0,1,0,,0.885599244542726,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_060,8,50,0.9547686758426843,0.7009701643182733,0.9999011136972036,0.9287883775855456,0.129203760950811,0.13177784143765206,0.9466666666666667,32,38,0,1,0,,0.8607954890400347,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_060,9,51,0.9999986109222774,0.7093417989408723,0.9999986109222774,1.0,0.11603387882267215,0.20238048396678965,0.9533333333333334,49,56,0,1,0,,0.8621263576359142,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_060,10,52,0.8748424931243012,0.8297499086654321,0.9999984689996161,0.783352254666443,0.11735162511367717,0.16576501694635065,1.0,,,1,0,0,,0.8282777637150176,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_060,11,53,0.9210173228192756,0.7513297490562921,0.9990560314727363,0.8994288570561583,0.09417657068333608,0.1374942894162721,0.9266666666666666,71,75,0,1,0,,0.8664063216782485,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_060,12,54,0.9991920501785654,0.6459019877087689,0.9991920501785654,1.0,0.11865511805870681,0.18423336774442442,0.8666666666666667,11,21,0,1,0,,0.8857139736378837,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_060,13,55,0.9276575897261088,0.7154280274642563,0.9999660316328279,0.8337467420389055,0.11377225450605696,0.12649928339475078,0.8666666666666667,47,54,0,1,0,,0.8896641096582838,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_060,14,56,0.9676604110773933,0.7264058637151254,0.9987952672982087,0.8665788303780828,0.11532420095732784,0.1289065181386031,0.96,31,37,0,1,0,,0.8649342748122751,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_060,15,57,0.8320583969829307,0.7390301265171311,0.9969124982100176,0.7261222347927191,0.17234484347288537,0.21774820261512262,0.82,3,6,0,1,0,,0.891795010004411,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_060,16,58,0.9983372615007544,0.616784039377506,0.9999055654558127,0.9666369856525348,0.10326384734747654,0.14600650753355165,0.9466666666666667,65,73,0,1,0,,0.8367045888278855,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_060,17,59,0.999686353507161,0.7199165884769277,0.9998286644432972,1.0,0.1727271863626323,0.14062840967277773,0.92,29,31,0,1,0,,0.8507872002020107,tie
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_060,18,60,0.95045023509029,0.7387075357617642,0.9961501175128995,0.8617748145277404,0.19375412131588526,0.14912446311467462,0.9533333333333334,47,54,0,1,0,,0.8968858266172571,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_060,19,61,0.9516227946652341,0.7352057946208255,0.999986218806808,0.7748250807136066,0.26630516016838307,0.19894898754097656,0.94,34,37,0,1,0,,0.8528668955757924,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_060,20,62,0.9723820655357563,0.7915625851756741,0.9995159687388374,0.8845281847593256,0.12875282860654544,0.14565561201854488,0.9933333333333333,83,84,0,1,0,,0.8710081165517507,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_060,21,63,0.998652255536692,0.8061551751945153,0.9999971521263605,0.970775277991737,0.13264305149604852,0.1577405544908026,1.0,,,1,0,0,,0.8311321342818092,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_060,22,64,0.9712390844318322,0.6458705253444885,0.9993733464479955,0.8363563246030263,0.10347602013315262,0.19172106250102736,0.7533333333333333,7,18,0,1,0,,0.8965307253148314,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_060,23,65,0.966532046676892,0.798718954069091,0.9999972161416641,0.8556631669874573,0.6001779125224329,0.2394241429949541,0.9933333333333333,134,135,0,1,0,,0.8521624559425466,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_060,24,66,0.9876363488113714,0.7742987656134896,0.9999595923072357,0.9101768546259217,0.11398313090934731,0.18789150551010525,0.98,36,39,0,1,0,,0.8621562989959385,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_060,25,67,0.8648069096540147,0.6390468708288283,0.9998775692926117,0.6838517016751169,0.17465901711505644,0.22246363025637983,0.8866666666666667,3,5,0,1,0,,0.852136465023849,tie
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_060,26,68,0.9977189332489046,0.7625755518522952,0.99999978297988,1.0,0.09537056708346352,0.14496082339172153,0.96,91,93,0,1,0,,0.8441902833591243,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_060,27,69,0.8662324199176121,0.7579521690311226,0.9999042505673171,0.8213620683796287,0.13189017847885143,0.18436306376182024,0.94,132,134,0,1,0,,0.8556207181067242,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_060,28,70,0.9716142759446466,0.5855834479434605,0.9999689256135094,0.8524798517840101,0.6102278093983604,0.23402338816560916,0.8333333333333334,6,16,0,1,0,,0.862732364351753,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_060,29,71,0.9877177656377222,0.6026075153906856,0.9999701657121225,0.8440248220533474,0.15569254233550767,0.2121714969895963,0.8866666666666667,12,16,0,1,0,,0.8441642820000931,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_080,0,42,0.9892634014154466,0.7694718296535746,0.9998285041377795,0.8374754485136657,0.19180925485742706,0.20704518235866176,0.9733333333333334,114,118,0,1,0,,0.8314617380121535,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_080,1,43,0.9373582161479364,0.5826193311298262,0.9997632434128103,0.8517927369642901,0.20181178052996696,0.18244838203802424,0.8266666666666667,45,49,0,1,0,,0.8737779988935583,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_080,2,44,0.944576683173275,0.719899435507194,0.9995556982522436,0.8957464663834315,0.11739631866825839,0.12603396969487643,0.8933333333333333,42,43,0,1,0,,0.8657945225906659,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_080,3,45,0.9917472191145206,0.7259415289406135,0.9999290511522998,0.8694988198726052,0.14539796799534574,0.15559196990853486,0.88,11,12,0,1,0,,0.8554548100867324,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_080,4,46,0.7962890683577671,0.6757949747201791,0.9999793866986845,0.7229249406566068,0.19231744694728997,0.21394770367859972,0.86,41,51,0,1,1,ended_below_threshold,0.8634754520140518,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_080,5,47,0.9813153258752916,0.6483414949341815,0.9992616976800408,0.8451493787074623,0.16010616056139684,0.161340553844721,0.8466666666666667,7,13,0,1,0,,0.8872425834533438,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_080,6,48,0.996396420322758,0.7407277600645918,0.9999975979399238,0.9031455483418737,0.11773705832899115,0.1897149488952567,0.94,30,34,0,1,0,,0.8545484887946266,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_080,7,49,0.9582080543522232,0.7185603725162123,0.9959469579885982,0.8561597834060282,0.16760730287666842,0.1513849747996594,0.9,3,4,0,1,0,,0.8671270371575311,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_080,8,50,0.95301446414768,0.7051407241739018,0.9998960438126242,0.9076822062878904,0.13179586015975883,0.13521534867267399,0.9466666666666667,32,38,0,1,0,,0.8475636237582116,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_080,9,51,0.9999985046121814,0.7079508014875284,0.9999985046121814,1.0,0.11500700253622254,0.2006110858764082,0.9533333333333334,49,56,0,1,0,,0.849665260828778,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_080,10,52,0.8803332829856949,0.8361856671167651,0.9999985673226885,0.7854872028665338,0.123151196046081,0.1669488642118208,1.0,,,1,0,0,,0.819139119849122,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_080,11,53,0.9214931146090545,0.7564466352432265,0.9990659564598774,0.884258003111864,0.09831863016666824,0.14047319806405384,0.9266666666666666,71,75,0,1,0,,0.8531702095149378,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_080,12,54,0.9992075489097427,0.6463237746507163,0.9992075489097427,1.0,0.1185736860754578,0.18378698222530987,0.8666666666666667,11,21,0,1,0,,0.8704033166396732,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_080,13,55,0.923516140827727,0.7134100365697498,0.9999625272159581,0.8276478695288454,0.11978955602995921,0.12984090619172411,0.88,47,51,0,1,0,,0.8754136580311308,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_080,14,56,0.9695918790110546,0.7311289782266774,0.9988080052417001,0.864484604742947,0.12090743017499578,0.13381352360911491,0.9666666666666667,31,36,0,1,0,,0.8492605928670152,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_080,15,57,0.8302429456754508,0.7405309754938364,0.9968877640554075,0.7175461083261966,0.1682593280283149,0.2186996331951802,0.84,4,5,0,1,0,,0.8773009973056444,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_080,16,58,0.9984422515965383,0.6175566733801577,0.9999008747173912,0.9652032935707201,0.103830852630049,0.14663691569127776,0.9466666666666667,65,73,0,1,0,,0.8257281337304095,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_080,17,59,0.9996848740726978,0.7194585752589554,0.9998340361114445,1.0,0.17173141959210458,0.14072389940373917,0.9333333333333333,35,43,0,1,0,,0.84094479280555,tie
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_080,18,60,0.9483228069565743,0.7441756260331661,0.9956617792489408,0.8479050071724464,0.19626304935742253,0.1516464707015315,0.9533333333333334,48,54,0,1,0,,0.8805009713671316,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_080,19,61,0.9500895057566363,0.7408317696268423,0.9999841950126467,0.774447827107881,0.2589796869898294,0.19862309674263715,0.94,34,37,0,1,0,,0.8403455328262762,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_080,20,62,0.9714499831518709,0.7877830649444494,0.9995153839281742,0.8797199444291732,0.13313971907058433,0.14892838682704687,0.98,82,85,0,1,0,,0.8560704468513421,disturbance
blocking_diagnostic_v13,disturbance_high_fmin_005_agov_080,21,63,0.998546128641364,0.8138963818632924,0.9999972403677237,0.9726399792389726,0.13487344558999292,0.1598204695117679,1.0,,,1,0,0,,0.8209307520098599,disturbance
