test_name,scenario,run_index,seed,final_stability,min_stability,max_stability,final_trust,final_disturbance,final_cognitive_distortion,stability_rate,first_breach_step,recovery_step,stable_run,recovered_run,failure_case,failure_reason,avg_intervention_utilization
baseline,threshold_queue_baseline,0,42,0.8340454943445083,0.8278006739169737,0.9648109600056494,0.3957072230675145,0.4137808924769698,0.19744476084523743,1.0,,,1,0,0,,0.998
baseline,threshold_queue_baseline,1,43,0.7643848879528361,0.7543395801567259,0.9649680963649293,0.39708175124979833,0.6246794050906507,0.24239025103009743,0.8,45,64,0,1,1,ended_below_threshold,0.9127394935878796
baseline,threshold_queue_baseline,2,44,0.7526821100556517,0.7037384103562414,0.9727187568865461,0.536770060575774,0.21484566264547827,0.1311369560486329,0.57,57,,0,0,1,never_recovered,0.9120940656000001
baseline,threshold_queue_baseline,3,45,0.8821191774571356,0.7727289566968264,0.9731787236802053,0.5881645108181202,0.16779735266811513,0.10956911690083371,0.91,80,89,0,1,0,,0.97439752
baseline,threshold_queue_baseline,4,46,0.8780697948776365,0.7236527125648683,0.9916237023260924,0.48781460029466384,0.19024023681341434,0.20222241424520662,0.76,42,66,0,1,0,,0.9380860799999999
baseline,threshold_queue_baseline,5,47,0.6948559795113385,0.6351078063362676,0.9222400000000001,0.4115559818083696,0.2628844130897633,0.07543529094660091,0.11,11,,0,0,1,never_recovered,0.7866699068234708
baseline,threshold_queue_baseline,6,48,0.7464856634085392,0.7146212034408383,0.9853585739661611,0.5329810001999528,0.21247551019677893,0.16274155468875673,0.3,30,,0,0,1,never_recovered,0.852892279968
baseline,threshold_queue_baseline,7,49,0.8076994467834359,0.7924208053128111,0.9786187812431136,0.4912935587068035,0.23723773676059096,0.13126223205191945,0.97,51,54,0,1,0,,0.991884
baseline,threshold_queue_baseline,8,50,0.9397271438116208,0.8075549205743004,0.9707688189270368,0.580455503022191,0.11354332758086802,0.1673962463337861,1.0,,,1,0,0,,0.998
baseline,threshold_queue_baseline,9,51,0.7349552682753647,0.7056629389882221,0.9519058768953959,0.49865159851547225,0.20394788124750918,0.16106417737140827,0.69,37,60,0,1,1,ended_below_threshold,0.95031104
baseline,threshold_queue_baseline,10,52,0.9407324029135385,0.7676494550797983,0.9763320636677507,0.5874470708572633,0.20324533422598748,0.15869653386362423,0.9,79,89,0,1,0,,0.977452
baseline,threshold_queue_baseline,11,53,0.6762390098584813,0.6713461897207404,0.973975049902185,0.4086632333311513,0.23666282799622557,0.089177393932965,0.83,83,,0,0,1,never_recovered,0.9699975200000001
baseline,threshold_queue_baseline,12,54,0.6798272796548064,0.6704322340567386,0.9621186805539074,0.44446714912317076,0.21993432681746564,0.16570080157836586,0.81,81,,0,0,1,never_recovered,0.9569110399999999
baseline,threshold_queue_baseline,13,55,0.8221184999164426,0.7596535467497952,0.9926190927638001,0.4134418518267114,0.26600518590405103,0.17237700228407896,0.88,48,60,0,1,0,,0.97219752
baseline,threshold_queue_baseline,14,56,0.7490579881149021,0.7068214702826124,0.9728379313966657,0.5131439109441679,0.24812163785914362,0.11450624096220179,0.56,56,,0,0,1,never_recovered,0.9073165456
baseline,threshold_queue_baseline,15,57,0.7182766482186396,0.7088016358269195,0.934177979528843,0.4692665096716438,0.24846353203802538,0.10184956037964933,0.63,5,16,0,1,1,ended_below_threshold,0.9086745968
baseline,threshold_queue_baseline,16,58,0.8734692979879194,0.8210719372073977,0.9874152749672124,0.538008727772009,0.20985259040764934,0.127476856852975,1.0,,,1,0,0,,0.998
baseline,threshold_queue_baseline,17,59,0.8903350966019453,0.733025119542905,0.964552443355829,0.555160258834692,0.18491097975350632,0.08404410532030845,0.55,35,68,0,1,0,,0.8152928515235952
baseline,threshold_queue_baseline,18,60,0.7317727090290979,0.7200547804936136,0.9747991018931106,0.503285198035358,0.20879381644621453,0.14278284974467703,0.31,31,,0,0,1,never_recovered,0.857003305568
baseline,threshold_queue_baseline,19,61,0.7614571794786421,0.6911341062782876,0.9842079116791168,0.5088515834686272,0.1649340779748471,0.06493575608490113,0.57,57,,0,0,1,never_recovered,0.9031186112
de_trust,no_trust_channel,0,42,0.42810851741129513,0.42084816261424846,0.7860354484453486,0.996181012787285,0.41405110477886625,0.1464234204008031,0.0,0,,0,0,1,never_recovered,0.8058721456000001
de_trust,no_trust_channel,1,43,0.39347683716419135,0.39347683716419135,0.765498845740676,0.945870127487857,0.5587845050335104,0.19779717262251262,0.0,0,,0,0,1,never_recovered,0.792494359968
de_trust,no_trust_channel,2,44,0.43187242834864703,0.41053322742309917,0.781146087857846,1.0,0.17128493950443255,0.11303135488940991,0.0,0,,0,0,1,never_recovered,0.7840448620083472
de_trust,no_trust_channel,3,45,0.4385456737441668,0.414685243756948,0.7833471451344174,1.0,0.18033958911535294,0.06636433226535204,0.0,0,,0,0,1,never_recovered,0.814267881568
de_trust,no_trust_channel,4,46,0.440259643025807,0.3961366960382778,0.7827527937657806,1.0,0.20755176316837992,0.1484610116188942,0.0,0,,0,0,1,never_recovered,0.7667007276403471
de_trust,no_trust_channel,5,47,0.4347115267307704,0.4045496825009634,0.7828652764400533,1.0,0.2622748066390622,0.07528976583333209,0.0,0,,0,0,1,never_recovered,0.7568090811914707
de_trust,no_trust_channel,6,48,0.438065558102234,0.4044579617177471,0.7842833384867609,1.0,0.2133614064920371,0.1115108293042247,0.0,0,,0,0,1,never_recovered,0.7880710255360001
de_trust,no_trust_channel,7,49,0.4374250901915771,0.40733235446455085,0.7837874016220968,1.0,0.25303078885712466,0.08831643580540087,0.0,0,,0,0,1,never_recovered,0.7692959995594708
de_trust,no_trust_channel,8,50,0.4551371238833642,0.4137812945722718,0.7835463050550464,1.0,0.11391131820681984,0.11374697349904297,0.0,0,,0,0,1,never_recovered,0.769507422368
de_trust,no_trust_channel,9,51,0.4302822363867199,0.4049590536846589,0.7830626005128322,1.0,0.20776715147917668,0.10439546012810155,0.0,0,,0,0,1,never_recovered,0.7852548840605312
de_trust,no_trust_channel,10,52,0.45088902427338023,0.4213230121190131,0.784775257867711,1.0,0.2116581394742224,0.11562278844438788,0.0,0,,0,0,1,never_recovered,0.7953191568
de_trust,no_trust_channel,11,53,0.43925254720001905,0.4171063208939987,0.7797368640707434,1.0,0.18135525974092967,0.07863925456218547,0.0,0,,0,0,1,never_recovered,0.7650708362183073
de_trust,no_trust_channel,12,54,0.434428347381354,0.41135650289025905,0.784611102624966,1.0,0.07446024658000486,0.15558890742342002,0.0,0,,0,0,1,never_recovered,0.774519688
de_trust,no_trust_channel,13,55,0.43930037652462933,0.4077704818092267,0.7800471983539484,1.0,0.24912389084547865,0.11507916773300694,0.0,0,,0,0,1,never_recovered,0.7919702112
de_trust,no_trust_channel,14,56,0.42503793095504805,0.41693939078431874,0.7819388187794352,1.0,0.2769575141347045,0.10909898650791117,0.0,0,,0,0,1,never_recovered,0.7530086076083472
de_trust,no_trust_channel,15,57,0.4283965336448196,0.4009507722135652,0.7665150514955453,1.0,0.2392670871175218,0.093688414394251,0.0,0,,0,0,1,never_recovered,0.753001473568
de_trust,no_trust_channel,16,58,0.43522713651627215,0.4137643194633322,0.783945868521212,1.0,0.25072033752953177,0.08425283325765806,0.0,0,,0,0,1,never_recovered,0.7216200137466544
de_trust,no_trust_channel,17,59,0.4491145009093512,0.40358469337444014,0.778297665210759,1.0,0.1896699182917452,0.06580235487318363,0.0,0,,0,0,1,never_recovered,0.7413796171906851
de_trust,no_trust_channel,18,60,0.42939938144361706,0.4189584676377126,0.782304621076734,1.0,0.2203750530651804,0.10789519830181077,0.0,0,,0,0,1,never_recovered,0.7996126768
de_trust,no_trust_channel,19,61,0.4505037258568638,0.41366671352144585,0.7811691773282187,1.0,0.16339682507755438,0.0644603481302747,0.0,0,,0,0,1,never_recovered,0.776842891168
remove_thresholds,continuous_controller,0,42,0.959234223579429,0.8572082812896203,0.9903065927614002,0.6841034716756068,0.3329095136478873,0.1878410779111321,1.0,,,1,0,0,,0.9861276130808365
remove_thresholds,continuous_controller,1,43,0.8534253231772391,0.8084516327967255,0.9891874501962801,0.5635123151377025,0.5344877033215327,0.25662272162507305,1.0,,,1,0,0,,0.9915639948795252
remove_thresholds,continuous_controller,2,44,0.8740753077517903,0.8383260194291452,0.968653839576675,0.6443291013427433,0.1437808424758752,0.1731497744878192,1.0,,,1,0,0,,0.9870817810943414
remove_thresholds,continuous_controller,3,45,0.9352328762283755,0.8673387458876961,0.972435980980633,0.7163361636483859,0.09708535966306013,0.13324125823106106,1.0,,,1,0,0,,0.9846826724665084
remove_thresholds,continuous_controller,4,46,0.9464983138757779,0.7811787953304208,0.9992901618585925,0.7091151932832129,0.1382390422249656,0.17582617594187233,0.96,44,48,0,1,0,,0.9872855973249035
remove_thresholds,continuous_controller,5,47,0.9332767813961126,0.8016702630463729,0.9826095022305928,0.6889732816048736,0.17780062523554457,0.13283815508080735,1.0,,,1,0,0,,0.9874128173421736
remove_thresholds,continuous_controller,6,48,0.8914816285124375,0.8106737556807139,0.9937681747384732,0.6696848004113171,0.1666060997626881,0.1736399389602295,1.0,,,1,0,0,,0.9873192148794107
remove_thresholds,continuous_controller,7,49,0.9354991947065049,0.8403470022406676,0.9887980111119924,0.6904594190395978,0.17501414077778238,0.16955797249885707,1.0,,,1,0,0,,0.9867732698206272
remove_thresholds,continuous_controller,8,50,0.9781468776085694,0.8475175695665904,0.9842943558551374,0.7578412698973298,0.06639779805943208,0.13550850916239837,1.0,,,1,0,0,,0.9874923512504159
remove_thresholds,continuous_controller,9,51,0.8564954648428199,0.7874157879105451,0.9772425944952935,0.678220009049824,0.11434504483481607,0.15317674366353556,0.95,50,55,0,1,0,,0.9870150888909636
remove_thresholds,continuous_controller,10,52,0.991657983595625,0.8737000856341569,0.9978946640963362,0.7209261889360558,0.16537586279626781,0.16043644266251617,1.0,,,1,0,0,,0.9872581553532582
remove_thresholds,continuous_controller,11,53,0.8797418067982864,0.8529460811646633,0.9878493368549115,0.660711586875406,0.1405476223538364,0.15680768743169007,1.0,,,1,0,0,,0.9890133418076273
remove_thresholds,continuous_controller,12,54,0.8449674994297068,0.807956611788224,0.9988643912802178,0.6024463612342945,0.14122565859626007,0.21996750000371673,1.0,,,1,0,0,,0.9872586681066012
remove_thresholds,continuous_controller,13,55,0.9163149140095262,0.8256212425213015,0.998845244646662,0.6964612210703887,0.1809183842662432,0.16717452125894214,1.0,,,1,0,0,,0.9888022436018349
remove_thresholds,continuous_controller,14,56,0.8750797226590049,0.8660207164114327,0.9863165155935085,0.6667688013550688,0.18218801495060896,0.18585290318015096,1.0,,,1,0,0,,0.9883086891208989
remove_thresholds,continuous_controller,15,57,0.8526702784576129,0.8076409325789873,0.9945726627241029,0.681209796190624,0.1578391232779354,0.15198161451027675,1.0,,,1,0,0,,0.9913948846870277
remove_thresholds,continuous_controller,16,58,0.9617205450605584,0.8578334530029763,0.9945526129781455,0.6886222979875605,0.15713683290896746,0.15281811869172535,1.0,,,1,0,0,,0.9860325214337684
remove_thresholds,continuous_controller,17,59,0.9923771263652682,0.7940870860541966,0.9931445207127976,0.7278724512950423,0.12407344211487911,0.12760184947650835,0.98,37,39,0,1,0,,0.9898252894828405
remove_thresholds,continuous_controller,18,60,0.8649239477076825,0.8323035117321267,0.9807716919475523,0.6524166185204614,0.1430255027241109,0.13729377602123508,1.0,,,1,0,0,,0.9874654141696065
remove_thresholds,continuous_controller,19,61,0.9771853977965698,0.8490565396534114,0.9843204156312982,0.7292328708933491,0.10003084934434822,0.10478880866444494,1.0,,,1,0,0,,0.9881177877291359
delay_vs_damping,delay_2_baseline,0,42,0.9116139155432392,0.8408674236685015,0.9824181011876203,0.5591378395702021,0.38234411874651936,0.19311310192651546,1.0,,,1,0,0,,0.978
delay_vs_damping,delay_2_baseline,1,43,0.7945972062460198,0.755576334070928,0.9823515425820613,0.5448147838124332,0.6219077896298079,0.25771966344180575,0.83,45,61,0,1,1,ended_below_threshold,0.9408267528605312
delay_vs_damping,delay_2_baseline,2,44,0.848769504331758,0.7285856767151138,0.975534523600274,0.5159052347195546,0.23799840343292783,0.2629875573417373,0.82,58,76,0,1,0,,0.9316562728605312
delay_vs_damping,delay_2_baseline,3,45,0.8796430995557251,0.8232512039265981,0.9764876327456972,0.7112251209534077,0.1638454040316964,0.13141352165434023,1.0,,,1,0,0,,0.978
delay_vs_damping,delay_2_baseline,4,46,0.9278377653181721,0.7341638079229831,0.9950959305962118,0.6767776540783749,0.1881051114130991,0.2226379576132328,0.87,43,56,0,1,0,,0.9520150256
delay_vs_damping,delay_2_baseline,5,47,0.9068166564127298,0.7129549056862464,0.9781425373219399,0.6721993549159159,0.23334445954770044,0.12118611964868434,0.69,10,41,0,1,0,,0.9277460512000001
delay_vs_damping,delay_2_baseline,6,48,0.8694540017078499,0.6958993189440653,0.9903650052619963,0.6688287255370846,0.2813471224528668,0.27830246339130293,0.66,31,65,0,1,0,,0.9070627455679999
delay_vs_damping,delay_2_baseline,7,49,0.8833329545407075,0.7595334226546134,0.9744144442740693,0.6528704180722747,0.26509306402680755,0.11530100224076427,0.95,50,55,0,1,0,,0.971884
delay_vs_damping,delay_2_baseline,8,50,0.9467731052626864,0.8018224092693934,0.9747252701907464,0.7286230010399717,0.10689829523148166,0.1321397909268958,1.0,,,1,0,0,,0.978
delay_vs_damping,delay_2_baseline,9,51,0.7719425611011459,0.7184612213003396,0.9801452577337632,0.6465614192458056,0.2363308320513554,0.23279383631825404,0.66,17,24,0,1,1,ended_below_threshold,0.94951352
delay_vs_damping,delay_2_baseline,10,52,0.979873734972299,0.8348472654215094,0.993326240848641,0.6890318496938248,0.18998454472482376,0.23698684706901957,1.0,,,1,0,0,,0.978
delay_vs_damping,delay_2_baseline,11,53,0.8705375398120226,0.8371996752457699,0.9847408097078569,0.659347095428639,0.1908921637022123,0.32316411903301717,1.0,,,1,0,0,,0.978
delay_vs_damping,delay_2_baseline,12,54,0.7729068919468657,0.7230257442155408,0.9898863922283282,0.5578760144758106,0.2921631510624271,0.30618059699254596,0.89,13,22,0,1,1,ended_below_threshold,0.9559310255999999
delay_vs_damping,delay_2_baseline,13,55,0.917430969126875,0.7460354025055579,0.993372766213976,0.6105235259684743,0.25165611047448133,0.23728315610575507,0.81,50,69,0,1,0,,0.936586199968
delay_vs_damping,delay_2_baseline,14,56,0.8158953971693779,0.8081557650734429,0.9806087884220993,0.6604055484312822,0.2749796256986717,0.1820688884547248,1.0,,,1,0,0,,0.978
delay_vs_damping,delay_2_baseline,15,57,0.745760062030552,0.657186092763681,0.9460187935809877,0.5733529918249824,0.25559388396342336,0.14734496950160553,0.39,4,18,0,1,1,ended_below_threshold,0.858631276768
delay_vs_damping,delay_2_baseline,16,58,0.935490554889866,0.8178403391382975,0.9894204584164785,0.6312624899313278,0.21700352232927017,0.22551991502929486,1.0,,,1,0,0,,0.978
delay_vs_damping,delay_2_baseline,17,59,0.9684317535837977,0.7451680026879683,0.9747656178467415,0.6686565238598378,0.163177484121935,0.15750095780922124,0.73,26,31,0,1,0,,0.9246915711999999
delay_vs_damping,delay_2_baseline,18,60,0.8272330938799048,0.7602470000502143,0.9738492343219797,0.6242856286900924,0.25235782041880567,0.16378332134357554,0.95,32,37,0,1,0,,0.969684
delay_vs_damping,delay_2_baseline,19,61,0.7842294049011106,0.7621024947126874,0.98150491653087,0.5404429835414379,0.16509865007607558,0.048166364916223746,0.79,79,,0,0,1,never_recovered,0.9270663872312143
delay_vs_damping,damping_proxy_a0.80_d0.65_g1.00,0,42,0.9319680376645795,0.7631638585933187,0.9804435008601082,0.5501762104792509,0.3743338767494243,0.23979077263163964,0.93,76,83,0,1,0,,0.9804999999999999
delay_vs_damping,damping_proxy_a0.80_d0.65_g1.00,1,43,0.8019780120279792,0.7556482403616731,0.973474988245824,0.565762010461263,0.6188102250042583,0.2238387943174409,0.66,45,79,0,1,0,,0.8567075
delay_vs_damping,damping_proxy_a0.80_d0.65_g1.00,2,44,0.8608363828755276,0.8023850319719977,0.9701077085552154,0.5999563524365068,0.23694659425755557,0.2773982942476308,1.0,,,1,0,0,,1.0
delay_vs_damping,damping_proxy_a0.80_d0.65_g1.00,3,45,0.9150552656458705,0.8410740565070621,0.9751357193098088,0.7069770920825611,0.17244244045890644,0.1868559865621572,1.0,,,1,0,0,,1.0
delay_vs_damping,damping_proxy_a0.80_d0.65_g1.00,4,46,0.9179673559594186,0.7410914403703199,0.9860051529908874,0.7089834572051484,0.21461384281210844,0.1644901945173977,0.86,42,56,0,1,0,,0.9740000000000001
delay_vs_damping,damping_proxy_a0.80_d0.65_g1.00,5,47,0.9217311295866778,0.756018173028334,0.9569778470043826,0.6826515192406131,0.22556452834177818,0.19444775916607937,0.71,11,40,0,1,0,,0.945725
delay_vs_damping,damping_proxy_a0.80_d0.65_g1.00,6,48,0.8984588518509046,0.7752152845753328,0.9766792040955972,0.6410532227678742,0.24266912762030488,0.20552706094599651,0.9,30,40,0,1,0,,0.971725
delay_vs_damping,damping_proxy_a0.80_d0.65_g1.00,7,49,0.8715943947210854,0.8166806911974908,0.9719990930085978,0.6158349541763776,0.22080126986739038,0.1076765109575741,1.0,,,1,0,0,,1.0
delay_vs_damping,damping_proxy_a0.80_d0.65_g1.00,8,50,0.9676345542142841,0.8034005031519387,0.9676345542142841,0.6741559377176475,0.11390632397694588,0.18996411742466793,1.0,,,1,0,0,,1.0
delay_vs_damping,damping_proxy_a0.80_d0.65_g1.00,9,51,0.7843459016876555,0.7441148161941483,0.9551876916098013,0.5830543776468069,0.14234302142687022,0.16839382560438923,0.73,38,57,0,1,1,ended_below_threshold,0.952225
delay_vs_damping,damping_proxy_a0.80_d0.65_g1.00,10,52,0.9714566340086562,0.8456323184985429,0.9862331219744435,0.5706260074593942,0.20328437112023817,0.18976210116627296,1.0,,,1,0,0,,1.0
delay_vs_damping,damping_proxy_a0.80_d0.65_g1.00,11,53,0.858854760917887,0.8402236491515345,0.9736225709985872,0.6300037856630794,0.2573641007445543,0.22082543724018036,1.0,,,1,0,0,,1.0
delay_vs_damping,damping_proxy_a0.80_d0.65_g1.00,12,54,0.8055692110896284,0.8055692110896284,0.9840233546502595,0.5431998619460199,0.1312879768212982,0.18221025380159286,1.0,,,1,0,0,,1.0
delay_vs_damping,damping_proxy_a0.80_d0.65_g1.00,13,55,0.8919284232412129,0.7567529897426813,0.9836505041781327,0.652655083051733,0.2787942847224289,0.20372773318420548,0.8,48,68,0,1,0,,0.945725
delay_vs_damping,damping_proxy_a0.80_d0.65_g1.00,14,56,0.8730966669005499,0.8229542036693194,0.9756822375898315,0.5937871869864636,0.2786220146229992,0.21010275617268304,1.0,,,1,0,0,,1.0
delay_vs_damping,damping_proxy_a0.80_d0.65_g1.00,15,57,0.7684203701326635,0.7590594009796641,0.9658724141490616,0.6405692124795055,0.29580986265101267,0.28273791632230466,0.86,6,7,0,1,1,ended_below_threshold,0.9652249999999999
delay_vs_damping,damping_proxy_a0.80_d0.65_g1.00,16,58,0.9158175136944016,0.8334827501521631,0.9872424568213617,0.6393467162844716,0.186118541643018,0.14872156080828758,1.0,,,1,0,0,,1.0
delay_vs_damping,damping_proxy_a0.80_d0.65_g1.00,17,59,0.9105953007457523,0.8054035235556575,0.9683407303154793,0.525502455356491,0.1879765152648131,0.10264855084121147,1.0,,,1,0,0,,1.0
