run_index,seed,topology,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,scale-free,True,True,0.685,1.0,1.0,0,1,1.0,0.333,12,4,0.0,none,0,0,0
2,43,scale-free,True,True,0.712,1.0,1.0,0,1,1.0,0.167,12,2,0.0,none,0,0,0
3,44,scale-free,True,True,0.781,1.0,1.0,0,1,1.0,0.0,10,0,0.0,none,0,0,0
4,45,scale-free,True,True,0.779,1.0,1.0,0,1,1.0,0.273,11,3,0.0,none,0,0,0
5,46,scale-free,True,True,0.748,1.0,1.0,0,1,1.0,0.091,11,1,0.0,none,0,0,0
6,47,scale-free,True,True,0.62,1.0,1.0,0,1,1.0,0.25,16,4,0.0,none,0,0,0
7,48,scale-free,True,True,0.736,1.0,1.0,0,1,1.0,0.333,12,4,0.0,none,0,0,0
8,49,scale-free,True,True,0.802,1.0,1.0,0,1,1.0,0.0,10,0,0.0,none,0,0,0
9,50,scale-free,True,True,0.756,1.0,1.0,0,1,1.0,0.091,11,1,0.0,none,0,0,0
10,51,scale-free,True,True,0.753,1.0,1.0,0,1,1.0,0.167,12,2,0.0,none,0,0,0
11,52,scale-free,True,True,0.801,1.0,1.0,0,1,1.0,0.0,10,0,0.0,none,0,0,0
12,53,scale-free,True,True,0.703,1.0,1.0,0,1,1.0,0.286,14,4,0.0,none,0,0,0
13,54,scale-free,True,True,0.803,1.0,1.0,0,1,1.0,0.0,10,0,0.0,none,0,0,0
14,55,scale-free,True,True,0.694,1.0,1.0,0,1,1.0,0.214,14,3,0.0,none,0,0,0
15,56,scale-free,True,True,0.748,1.0,1.0,0,1,1.0,0.143,14,2,0.0,none,0,0,0
16,57,scale-free,True,True,0.824,1.0,1.0,0,1,1.0,0.0,11,0,0.0,none,0,0,0
17,58,scale-free,True,True,0.82,1.0,1.0,0,1,1.0,0.0,10,0,0.0,none,0,0,0
18,59,scale-free,True,True,0.793,1.0,1.0,0,1,1.0,0.091,11,1,0.0,none,0,0,0
19,60,scale-free,True,True,0.796,1.0,1.0,0,1,1.0,0.0,11,0,0.0,none,0,0,0
20,61,scale-free,True,True,0.772,1.0,1.0,0,1,1.0,0.231,13,3,0.0,none,0,0,0
