D_hub_cap,runs,sustained_ignition_rate,avg_peripheral_failure_rate,avg_peripheral_failure_peak,avg_ignition_onset_step,avg_hub_min_stability,avg_final_cooperation,pct_collapsed
0.8,30,0.43333333333333335,0.5849303201506592,0.7621468926553673,8.0,0.48352489750270483,0.5314797308812288,0.43333333333333335
0.6,30,0.4666666666666667,0.599924670433145,0.7548022598870056,8.5,0.5391592614964922,0.498256119271212,0.4666666666666667
0.4,30,0.5,0.6040790960451977,0.7553672316384183,9.8,0.5983895445182095,0.4780699649155584,0.5
0.3,30,0.6666666666666666,0.6988625235404896,0.8135593220338984,10.4,0.7114072372791825,0.3600326895465473,0.6666666666666666
0.2,30,0.7333333333333333,0.7416723163841809,0.843502824858757,11.0,0.7559877273344268,0.323040523999968,0.7333333333333333
0.1,30,0.8333333333333334,0.8071224105461395,0.8915254237288136,14.44,0.8110213535666936,0.27570243654301874,0.8333333333333334
