scenario,run_index,seed,final_trust,final_stability,min_stability,max_stability,final_disturbance,final_cognitive_distortion,stability_rate,first_breach_step,recovery_step,stable_run,recovered_run,failure_case,failure_reason,avg_intervention_utilization
baseline_high_control_no_cap,0,42,1.0,0.999999999999999,0.8878789266035814,0.999999999999999,0.34272557204201876,0.20174689953454392,1.0,,,1,0,0,,0.7577700753076005
baseline_high_control_no_cap,1,43,0.9533445618340921,0.9999999999999986,0.8579519083910059,0.9999999999999986,0.5202930344945053,0.2559963318950765,1.0,,,1,0,0,,0.7953042377134006
baseline_high_control_no_cap,2,44,1.0,0.999999999999999,0.8806476328857886,0.999999999999999,0.13662083044940226,0.17221978447379313,1.0,,,1,0,0,,0.7994615418379835
baseline_high_control_no_cap,3,45,1.0,0.9999999999999991,0.8839916387610588,0.9999999999999991,0.1059658392539149,0.14800959598485064,1.0,,,1,0,0,,0.7818229551973025
baseline_high_control_no_cap,4,46,1.0,0.999999999999999,0.8830377673229683,0.999999999999999,0.1471570230376023,0.1919796984984091,1.0,,,1,0,0,,0.7781677653037913
baseline_high_control_no_cap,5,47,1.0,0.999999999999999,0.8832250016617499,0.999999999999999,0.18258395992288076,0.1437504175958158,1.0,,,1,0,0,,0.8413243404193609
baseline_high_control_no_cap,6,48,1.0,0.9999999999999991,0.8852487081839596,0.9999999999999991,0.17314686691537307,0.18039522350979403,1.0,,,1,0,0,,0.807910021387777
baseline_high_control_no_cap,7,49,1.0,0.999999999999999,0.8846287665709024,0.999999999999999,0.18275204469094763,0.1813281580074442,1.0,,,1,0,0,,0.7968920685038099
baseline_high_control_no_cap,8,50,1.0,0.9999999999999991,0.8841865981293437,0.9999999999999991,0.07427952316300537,0.15662156873522876,1.0,,,1,0,0,,0.7892050340765249
baseline_high_control_no_cap,9,51,1.0,0.9999999999999991,0.8835629126654165,0.9999999999999991,0.12289536508235005,0.16263484231066463,1.0,,,1,0,0,,0.8592682533042083
baseline_high_control_no_cap,10,52,1.0,0.9999999999999991,0.8859636726498368,0.9999999999999991,0.1720390628137421,0.17492610578795678,1.0,,,1,0,0,,0.7594438199900019
baseline_high_control_no_cap,11,53,1.0,0.9999999999999987,0.8786621979205553,0.9999999999999987,0.14394668371462427,0.15880690356418503,1.0,,,1,0,0,,0.783972892236394
baseline_high_control_no_cap,12,54,1.0,0.9999999999999991,0.8857534264817775,0.9999999999999991,0.12833847526612893,0.2098000954712041,1.0,,,1,0,0,,0.7954352923624597
baseline_high_control_no_cap,13,55,1.0,0.999999999999999,0.8791674582341845,0.999999999999999,0.19147832263216671,0.18342052281043225,1.0,,,1,0,0,,0.8077981427123027
baseline_high_control_no_cap,14,56,1.0,0.999999999999999,0.8818704644853927,0.999999999999999,0.1904021662641647,0.1958072337273016,1.0,,,1,0,0,,0.7918896304752293
baseline_high_control_no_cap,15,57,1.0,0.9999999999999973,0.8594553121338343,0.9999999999999973,0.1709938733726692,0.1670525604184802,1.0,,,1,0,0,,0.8140793022706495
baseline_high_control_no_cap,16,58,1.0,0.9999999999999991,0.8847685179743793,0.9999999999999991,0.16036407924500753,0.16057626827968383,1.0,,,1,0,0,,0.7609862217477467
