run_index,seed,topology,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,random,True,True,0.714,1.0,1.0,0,1,1.0,0.077,13,1,0.0,none,0,0,0
2,43,random,True,True,0.671,1.0,1.0,0,1,1.0,0.091,11,1,0.0,none,0,0,0
3,44,random,True,True,0.634,1.0,1.0,0,1,1.0,0.357,14,5,0.0,none,0,0,0
4,45,random,True,True,0.783,1.0,1.0,0,1,1.0,0.0,10,0,0.0,none,0,0,0
5,46,random,True,True,0.711,1.0,1.0,0,1,1.0,0.333,12,4,0.0,none,0,0,0
6,47,random,True,True,0.703,1.0,1.0,0,1,1.0,0.154,13,2,0.0,none,0,0,0
7,48,random,True,True,0.741,1.0,1.0,0,1,1.0,0.154,13,2,0.0,none,0,0,0
8,49,random,True,True,0.729,1.0,1.0,0,1,1.0,0.0,10,0,0.0,none,0,0,0
9,50,random,True,True,0.684,1.0,1.0,0,1,1.0,0.462,13,6,0.0,none,0,0,0
10,51,random,True,True,0.738,1.0,1.0,0,1,1.0,0.0,10,0,0.0,none,0,0,0
11,52,random,True,True,0.729,1.0,1.0,0,1,1.0,0.182,11,2,0.0,none,0,0,0
12,53,random,True,True,0.763,1.0,1.0,0,1,1.0,0.0,10,0,0.0,none,0,0,0
13,54,random,True,True,0.78,1.0,1.0,0,1,1.0,0.0,10,0,0.0,none,0,0,0
14,55,random,True,True,0.743,1.0,1.0,0,1,1.0,0.091,11,1,0.0,none,0,0,0
15,56,random,True,True,0.693,1.0,1.0,0,1,1.0,0.091,11,1,0.0,none,0,0,0
16,57,random,True,True,0.751,1.0,1.0,0,1,1.0,0.333,12,4,0.0,none,0,0,0
17,58,random,True,True,0.753,1.0,1.0,0,1,1.0,0.0,10,0,0.0,none,0,0,0
18,59,random,True,True,0.783,1.0,1.0,0,1,1.0,0.0,10,0,0.0,none,0,0,0
19,60,random,True,True,0.724,1.0,1.0,0,1,1.0,0.167,12,2,0.0,none,0,0,0
20,61,random,True,True,0.797,1.0,1.0,0,1,1.0,0.0,10,0,0.0,none,0,0,0
