topology,node_count,k_D,k_C,k_T,runs,steps,avg_edge_count,propagation_share,avg_failure_rate,avg_time_to_first_propagation,avg_largest_survival_cluster,max_last_affected_node,cascade_depth_distribution,last_affected_distribution,spatial_distribution_counts,spatial_behavior
chain,50,0.02,0.02,0.0,20,200,49.0,1.0,0.041999999999999996,4.45,2.65,49,49|48|49|49|49|48|47|46|49|49|48|49|49|49|49|49|49|49|49|48,49|48|49|49|49|48|47|46|49|49|48|49|49|49|49|49|49|49|49|48,network_wide:20,expands_far
chain,50,0.02,0.03,0.0,20,200,49.0,1.0,0.048,4.45,2.65,49,49|48|49|49|49|48|47|46|49|49|48|49|49|49|49|49|49|49|49|48,49|48|49|49|49|48|47|46|49|49|48|49|49|49|49|49|49|49|49|48,network_wide:20,expands_far
star,50,0.02,0.02,0.0,20,200,49.0,1.0,0.053000000000000005,4.45,2.45,49,49|48|49|49|49|48|47|48|49|49|48|49|49|49|49|49|48|49|49|48,49|48|49|49|49|48|47|48|49|49|48|49|49|49|49|49|48|49|49|48,hub_localized:20,expands_far
star,50,0.02,0.03,0.0,20,200,49.0,1.0,0.067,4.45,2.25,49,49|48|49|49|49|48|47|48|49|49|48|49|49|49|49|49|49|49|49|48,49|48|49|49|49|48|47|48|49|49|48|49|49|49|49|49|49|49|49|48,hub_localized:20,expands_far
random-sparse,50,0.02,0.02,0.0,20,200,117.9,1.0,0.043,4.45,2.65,49,49|48|49|49|49|48|47|46|49|49|48|49|49|49|48|49|49|49|49|48,49|48|49|49|49|48|47|46|49|49|48|49|49|49|48|49|49|49|49|48,network_wide:20,expands_far
random-sparse,50,0.02,0.03,0.0,20,200,117.9,1.0,0.052000000000000005,4.45,2.45,49,49|48|49|49|49|48|49|46|49|49|48|49|49|49|49|49|49|49|49|48,49|48|49|49|49|48|49|46|49|49|48|49|49|49|49|49|49|49|49|48,network_wide:20,expands_far
fully-connected,50,0.02,0.02,0.0,20,200,1225.0,1.0,0.043,4.45,2.65,49,49|48|49|49|49|48|47|46|49|49|48|49|49|49|48|49|49|49|49|48,49|48|49|49|49|48|47|46|49|49|48|49|49|49|48|49|49|49|49|48,hub_localized:20,expands_far
fully-connected,50,0.02,0.03,0.0,20,200,1225.0,1.0,0.065,4.45,2.0,49,49|48|49|49|49|48|49|48|49|49|48|49|49|49|49|49|49|49|49|48,49|48|49|49|49|48|49|48|49|49|48|49|49|49|49|49|49|49|49|48,hub_localized:20,expands_far
