disturbance_level,coupling_delay,trust_coupling,node_a_final_stability,node_b_final_stability,node_a_stability_rate,node_b_stability_rate,node_a_failure,node_b_failure,node_a_recovered,node_b_recovered,propagated_breach,propagated_failure,synchronization_correlation,avg_stability_gap,simultaneous_breach,node_a_final_trust,node_b_final_trust
0.2,0,0.0,0.9962162536047086,0.8389593927198126,1.0,0.6985,0.0,0.25,0.0,0.9,0.9,0.25,-0.1847610604783415,0.15446846510112316,0.0,0.9408012269568775,0.6808470868230014
0.2,0,0.01,0.9988808416143214,0.8987617238719319,1.0,0.8779999999999999,0.0,0.15,0.0,0.7,0.7,0.15,-0.03210597018002788,0.1066636426191833,0.0,0.9701761344673144,0.7851640581146682
0.2,0,0.02,0.999171692197635,0.9460873356132138,1.0,0.9445,0.0,0.1,0.0,0.2,0.3,0.1,0.2026480493947779,0.06039655055397919,0.0,0.9895920539193443,0.8929642601079115
0.2,0,0.05,0.9994762550287908,0.9885651215278601,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6848162974830679,0.012453128624301599,0.0,0.9980441794623518,0.9874460158104276
0.2,0,0.1,0.9995243638456074,0.9954468813483229,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8517484684356983,0.006216233104367355,0.0,1.0,1.0
0.2,0,0.2,0.9995243638454048,0.9955244392672673,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8555684392327958,0.005931242765929409,0.0,1.0,1.0
0.2,1,0.0,0.9940298631016263,0.8016456403726657,1.0,0.5535,0.0,0.45,0.0,0.95,0.95,0.45,-0.2594014356133735,0.185144044581891,0.0,0.9281161847992646,0.6341289823477942
0.2,1,0.01,0.9983951494183106,0.8659074424550937,1.0,0.7715,0.0,0.15,0.0,0.85,0.85,0.15,-0.1488104338120672,0.1343542537380396,0.0,0.9648857357445986,0.737804327156942
0.2,1,0.02,0.9989878879879756,0.9241000810429277,1.0,0.9215,0.0,0.15,0.0,0.3,0.35,0.15,0.0710373163434301,0.0828243163186445,0.0,0.9867920223414485,0.8522735206603693
0.2,1,0.05,0.9993502520950308,0.9844308510300482,1.0,0.9984999999999999,0.0,0.0,0.0,0.05,0.05,0.0,0.6158167580627275,0.01684120658941759,0.0,0.9977918039702368,0.9828999694586074
0.2,1,0.1,0.9994265850264819,0.9938722614353331,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8242218292853816,0.007962147309406467,0.0,1.0,1.0
0.2,1,0.2,0.9994265850262991,0.9939821255909458,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8315856804484557,0.007606585043501496,0.0,1.0,1.0
0.2,2,0.0,0.9943910293444027,0.8019887629765398,1.0,0.5599999999999999,0.0,0.45,0.0,0.95,0.95,0.45,-0.27387032200990197,0.18308642820354,0.0,0.9285334016026747,0.6348180386248043
0.2,2,0.01,0.9984251826596292,0.8665018022392413,1.0,0.7815000000000001,0.0,0.15,0.0,0.85,0.85,0.15,-0.16513722505278644,0.13283927605273077,0.0,0.9663661632279472,0.7388948780998912
0.2,2,0.02,0.9989336727850493,0.9240789210097781,1.0,0.9244999999999999,0.0,0.15,0.0,0.3,0.35,0.15,0.06308351149446947,0.0819681757619172,0.0,0.987811302256862,0.8523242879462474
0.2,2,0.05,0.9993161999232948,0.9845830366225552,1.0,0.9984999999999999,0.0,0.0,0.0,0.05,0.05,0.0,0.6279190078819977,0.016739018027849835,0.0,0.9977235414664243,0.9831242451308511
0.2,2,0.1,0.9993960810784905,0.9939162945051061,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8313425789442956,0.008123555892664721,0.0,1.0,1.0
0.2,2,0.2,0.9993960810776319,0.9940301416211961,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8388256351571048,0.007817201392386936,0.0,1.0,1.0
0.4,0,0.0,0.9962162530843081,0.8389593737455463,1.0,0.6985,0.0,0.25,0.0,0.9,0.9,0.25,-0.1869949919280132,0.15457901026058357,0.0,0.940801228793225,0.6808470757268783
0.4,0,0.01,0.9988808415630237,0.8987617228271085,1.0,0.8779999999999999,0.0,0.15,0.0,0.7,0.7,0.15,-0.03133066540294911,0.10682149060240456,0.0,0.9701761338383624,0.7851640503185717
0.4,0,0.02,0.9991716922143665,0.9460873643101444,1.0,0.9445,0.0,0.1,0.0,0.2,0.3,0.1,0.20354354113801804,0.060588043373558574,0.0,0.9895920588391618,0.8929642972663471
0.4,0,0.05,0.9994762550287908,0.9885651215283495,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6861849400894428,0.012614239724830187,0.0,0.9980441794623518,0.9874460158114223
0.4,0,0.1,0.9995243638456074,0.9954468813483229,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8520044038241842,0.00639032040992351,0.0,1.0,1.0
0.4,0,0.2,0.9995243638454048,0.9955244392672673,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8557007140757265,0.006085102882137031,0.0,1.0,1.0
0.4,1,0.0,0.9940298497694313,0.8016450124173877,1.0,0.553,0.0,0.45,0.0,0.95,0.95,0.45,-0.26564733278918473,0.18531411476420862,0.0,0.9281161748152892,0.6341283525059498
0.4,1,0.01,0.9983951495985043,0.8659073611732296,1.0,0.771,0.0,0.15,0.0,0.85,0.85,0.15,-0.15031927272394843,0.1345902903414639,0.0,0.9648857378891107,0.7378042381868772
0.4,1,0.02,0.9989878879718536,0.9240999046060135,1.0,0.9215,0.0,0.15,0.0,0.3,0.35,0.15,0.07044400807702159,0.08307896582265242,0.0,0.986791977127034,0.8522734005066945
0.4,1,0.05,0.9993502520950305,0.9844308510335498,1.0,0.9984999999999999,0.0,0.0,0.0,0.05,0.05,0.0,0.6162201640072638,0.017020610501124335,0.0,0.9977918039702367,0.9828999694648592
0.4,1,0.1,0.9994265850264817,0.9938722614353332,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8241066728646466,0.008150291463726783,0.0,1.0,1.0
