disturbance_level,coupling_delay,k_t_star,threshold_found,node_b_failure_rate,node_b_final_stability,node_b_final_trust,node_a_final_stability,node_a_final_trust
0.2,0,0.05,True,0.0,0.9910801405579008,0.9909589714833892,0.999418394685333,0.9979542404179949
0.2,1,0.05,True,0.0,0.9888398696841254,0.9883918172035802,0.9993177087139082,0.9977565650678317
0.2,2,0.05,True,0.0,0.9889864362197752,0.9886978731636015,0.9993036512780027,0.9977253097609082
0.4,0,0.05,True,0.0,0.9910801405579015,0.9909589714834033,0.9994183946853328,0.9979542404179949
0.4,1,0.05,True,0.0,0.9888398696841255,0.9883918172038071,0.9993177087139079,0.9977565650678317
0.4,2,0.05,True,0.0,0.9889864362201589,0.9886978731644712,0.9993036512780025,0.9977253097609082
0.6,0,0.05,True,0.0,0.9910801405579015,0.9909589714834063,0.9994183946853328,0.9979542404179949
0.6,1,0.05,True,0.0,0.9888398696841276,0.9883918172039632,0.9993177087139081,0.9977565650678317
0.6,2,0.05,True,0.0,0.9889864362203387,0.9886978731652917,0.9993036512780022,0.9977253097609082
