run_index,seed,final_stability,min_stability,max_stability,final_trust,final_disturbance,final_cognitive_distortion,stability_rate,first_breach_step,recovery_step,stable_run,recovered_run,failure_case,failure_reason,avg_intervention_utilization
0,42,0.6788402036163966,0.6770593277365473,0.9682097321228781,0.38162970465029816,0.4134623531240488,0.18711793808389343,0.73,73,,0,0,1,never_recovered,0.8686618186743027
1,43,0.6068421742761798,0.6068421742761798,0.9808643915779908,0.29701165030769516,0.6368970820473953,0.23879687653587112,0.44,44,,0,0,1,never_recovered,0.7395671963792099
2,44,0.6812155733372305,0.6656238844414447,0.9824926060878968,0.44834522960644185,0.22032392283912433,0.15569810890637692,0.57,57,,0,0,1,never_recovered,0.8204542612986276
3,45,0.7391680307430513,0.6999003607368287,0.9812823539189172,0.4994270709750495,0.1450122230374559,0.16258415429761458,0.79,79,,0,0,1,never_recovered,0.9070332671672143
4,46,0.766528005454186,0.6751781912793979,0.9970880752703218,0.5176344393389044,0.19487602054670075,0.1477347097011772,0.41,41,,0,0,1,never_recovered,0.7054986468156286
5,47,0.8875600997837773,0.7270681560318251,0.9583558432650591,0.5658509585382895,0.2598841243460389,0.18357859116460795,0.58,11,41,0,1,0,,0.8747731327992143
6,48,0.8329534779454393,0.7353947670977199,0.9897081391601322,0.5289261576757338,0.2604123204865602,0.21749711846753894,0.58,29,71,0,1,0,,0.8367465046097781
7,49,0.8650611263993375,0.6818773145689536,0.9745956027307745,0.5204872344398828,0.2630123017800405,0.24095762128780185,0.68,38,70,0,1,0,,0.8507501940674134
8,50,0.9179965313358865,0.8029339875286828,0.9789535496274665,0.47332158824258963,0.11390511445538676,0.24132574645696714,1.0,,,1,0,0,,0.998
9,51,0.7111327427800959,0.6746204697443844,0.9536778984122241,0.48467988042935833,0.17358736079441242,0.19704764598774432,0.28,16,25,0,1,1,ended_below_threshold,0.7183961102826207
10,52,0.7635005236868633,0.674021300095459,0.9860947850242385,0.510015886920154,0.21166433414548802,0.10577672638938912,0.56,56,,0,0,1,never_recovered,0.8082851125587963
11,53,0.8295061776025182,0.7581228348944461,0.9890922303402068,0.49163354848548835,0.25736000386202124,0.20949958447050093,0.86,45,59,0,1,0,,0.9152642142583027
12,54,0.6426635969311432,0.6285779437308313,0.9753503653767106,0.4337801153066068,0.2888260531449334,0.1894149412896522,0.56,15,21,0,1,1,ended_below_threshold,0.8635109967360001
13,55,0.7047588422450197,0.7047588422450197,0.9947781682803305,0.42902167128554486,0.2646466470368392,0.1337245287154864,0.43,43,,0,0,1,never_recovered,0.8177236004688784
14,56,0.681346191337164,0.6454057332921128,0.9769677648516015,0.4334716405833065,0.2393000187028272,0.15089380021026225,0.87,87,,0,0,1,never_recovered,0.9555492255679999
15,57,0.6728179519051212,0.6728179519051212,0.9652348215376829,0.3990331801185228,0.26432304854643335,0.11868001967274622,0.53,43,73,0,1,1,ended_below_threshold,0.8069542417695369
16,58,0.9173147086688872,0.6951502061896163,0.9940625038149479,0.5350303906467025,0.21073489715017088,0.20624022389203076,0.8,67,87,0,1,0,,0.9138581531326291
17,59,0.9393691381676827,0.71429914503217,0.9698581113153659,0.5279285693326027,0.18471473465063576,0.14031647530712016,0.49,27,68,0,1,0,,0.8070429958300528
18,60,0.6966035710866498,0.6711727532435569,0.9898237315960929,0.4657953272956103,0.2122491058243115,0.12042445344934241,0.31,31,,0,0,1,never_recovered,0.7329277805900049
19,61,0.7535483179316458,0.6715325708308079,0.9857565136070963,0.4977410762352716,0.16373766574419193,0.06673062382571629,0.54,54,,0,0,1,never_recovered,0.8271201659134939
