step,avg_cooperation_level,avg_average_trust,avg_ai_capability,avg_governance_capacity,avg_disturbance,avg_effective_info,coop_above_080_share
0,0.8359083844749999,0.7760116499999999,0.50895934375,0.510457929,0.15,0.5279125,0.95
1,0.8253782303118411,0.7407143103307025,0.5177598885095815,0.5263869972315351,0.14500000000000002,0.5281487500000001,0.75
2,0.8113240477505578,0.7287020243892017,0.5263856178046271,0.5312136774994703,0.195,0.52578625,0.75
3,0.8058325634928167,0.7190800093056949,0.5348805569822301,0.5409723292788489,0.125,0.52909375,0.7
4,0.797692684154683,0.6621285117324884,0.5432280735795136,0.5564604262053549,0.11000000000000001,0.5298025000000001,0.5
5,0.797288557580138,0.6664622443461683,0.5514257762967547,0.5714905455265232,0.11000000000000001,0.5298025000000001,0.5
6,0.791236491493324,0.627350283508464,0.5594763547914181,0.5888675818034289,0.11000000000000001,0.5298025000000001,0.45
7,0.7808546966380688,0.5967742166746134,0.5673855713829487,0.5938754706991951,0.1,0.530275,0.45
8,0.7732075129725203,0.578281258378006,0.5751466521370691,0.6009418446247301,0.12000000000000002,0.5293300000000001,0.3
9,0.7680437022580923,0.5725103769581166,0.5827715108098275,0.6081070702737307,0.11000000000000001,0.5298025000000001,0.25
10,0.7591351101387736,0.5530447757613534,0.5902417824962602,0.6131375105241123,0.17,0.5269675,0.25
11,0.7522364105870785,0.5467716984677,0.5975855647658304,0.6157402739168332,0.14500000000000002,0.5281487500000001,0.25
12,0.7474315517116501,0.5414093093353958,0.6048048589546935,0.6190678228474638,0.12000000000000002,0.5293300000000001,0.2
13,0.7433943985257484,0.5124721269835265,0.6118974405868294,0.6255285087298529,0.11000000000000001,0.5298025000000001,0.2
14,0.7383946837264075,0.5101737195234949,0.6188476042027882,0.630107484713362,0.165,0.5272037500000001,0.25
15,0.7402958846852068,0.5179446004244016,0.6256881599293125,0.6362765743428389,0.11000000000000001,0.5298025000000001,0.25
16,0.734652887365934,0.4758540394717432,0.6323913549613394,0.6463500856659328,0.165,0.5272037500000001,0.25
17,0.7197314324486441,0.40199480260234566,0.6389849335235385,0.6483175191607033,0.125,0.52909375,0.2
18,0.7107983708526839,0.3986724483715943,0.6454512919300839,0.6491425155332531,0.16,0.52744,0.1
19,0.7097745385502902,0.40865820734322006,0.6518118787325939,0.654181794401426,0.12000000000000002,0.5293300000000001,0.15
20,0.7059411292653724,0.3960435828097006,0.6580608248300818,0.6563937656770895,0.11000000000000001,0.5298025000000001,0.1
21,0.6973027056439278,0.3791088927702309,0.6641794422299416,0.6592419194852481,0.185,0.52625875,0.15
22,0.6954017523175822,0.38636710958111586,0.670204045077328,0.6610135946421076,0.12000000000000002,0.5293300000000001,0.1
23,0.6941239009778656,0.3838725259320108,0.6761147258971407,0.6619381417911235,0.14500000000000002,0.5281487500000001,0.1
24,0.6927161298322861,0.382035506306367,0.6819240657603355,0.6634528950363769,0.125,0.52909375,0.1
25,0.6880593507826858,0.3647559279775594,0.6876246971443648,0.6672746024061694,0.14500000000000002,0.5281487500000001,0.1
26,0.6889389981507857,0.3750451010375262,0.6932253726121268,0.6682858494382755,0.135,0.52862125,0.1
27,0.6810645261541527,0.3459242881493329,0.6987223716851894,0.6687957371945392,0.15000000000000002,0.5279125,0.1
28,0.6819637578670894,0.34540054665357317,0.7041294140881436,0.670528390098277,0.11000000000000001,0.5298025000000001,0.1
29,0.6830703003098951,0.35357662902044623,0.7094299778561132,0.6768321393217818,0.155,0.5276762500000001,0.15
30,0.6862437704584684,0.363341481867392,0.7146345499618225,0.6827853634397059,0.16,0.52744,0.15
31,0.6793376528317938,0.31142142914828336,0.7197529796731685,0.6865599620728517,0.125,0.52909375,0.1
32,0.6720743917718823,0.28510274756681503,0.7247825830693094,0.6876533432210322,0.11000000000000001,0.5298025000000001,0.1
33,0.6605623689087743,0.2528814670747736,0.7297102137661666,0.6898650731442068,0.17,0.5269675,0.1
34,0.6590467636276457,0.2470229562813812,0.7345630303744322,0.6911161625435979,0.1,0.530275,0.1
35,0.659551180554601,0.25803751070725245,0.7393221373091773,0.6942674468785469,0.135,0.52862125,0.0
36,0.6568445367855763,0.25193563898983296,0.7439986837854426,0.6947839513368759,0.12000000000000002,0.5293300000000001,0.0
37,0.6544138517630562,0.26030014905287924,0.7485849831939204,0.6942177887223195,0.155,0.5276762500000001,0.0
38,0.6548520386418406,0.24956470485183951,0.7530962470154084,0.6948756073673443,0.11500000000000002,0.52956625,0.0
39,0.6522150253158571,0.2487498346263315,0.7575178164409488,0.6939630408656388,0.165,0.5272037500000001,0.0
40,0.6538769246382011,0.2615046822585966,0.7618644994891755,0.6938393947267497,0.14,0.528385,0.0
41,0.657627960936319,0.2739682876337383,0.766133262355234,0.6967196580454035,0.14,0.528385,0.0
42,0.6552933112615278,0.25449122694318127,0.7703255026254368,0.6994901894805026,0.14,0.528385,0.0
43,0.6528623516137764,0.2483408224040554,0.7744434119767251,0.6993335616012735,0.135,0.52862125,0.0
44,0.6531496193724149,0.24941270089922107,0.7784882876190522,0.6993123017091466,0.13,0.5288575000000001,0.0
45,0.6502548521374141,0.24471024853841988,0.7824606286875709,0.6992567918310962,0.13,0.5288575000000001,0.0
46,0.6577827818949737,0.2587839510150846,0.7863663577525357,0.7061132976670709,0.1,0.530275,0.05
47,0.6591388742280386,0.2565584926518184,0.7901981761685404,0.7089864813492633,0.125,0.52909375,0.1
48,0.6558302665805268,0.23313195437501494,0.7939590342139095,0.7112477020370775,0.14,0.528385,0.05
49,0.6557249882800178,0.23516034798500196,0.7976568589216781,0.7113486170161734,0.11000000000000001,0.5298025000000001,0.05
50,0.6576362816579773,0.23854166363704082,0.8012868857697569,0.7141117170035253,0.12000000000000002,0.5293300000000001,0.05
51,0.6565801258720061,0.2163001363667012,0.8048524939181172,0.7199287786997088,0.11500000000000002,0.52956625,0.1
52,0.6530149097314655,0.21229482002368322,0.8083548146503252,0.7197037458391946,0.11000000000000001,0.5298025000000001,0.1
53,0.6514657308690495,0.21580678087214755,0.8117922404895861,0.7189978861699563,0.125,0.52909375,0.1
54,0.6464051716788604,0.21259061034243523,0.8151620090770377,0.7168569876859057,0.17,0.5269675,0.05
55,0.6421496503429944,0.1972674533370687,0.818479302703538,0.7165935682775275,0.11000000000000001,0.5298025000000001,0.05
56,0.6325869401212174,0.17275782730278105,0.8217293428829722,0.7143628774884225,0.17,0.5269675,0.0
57,0.6321930929595264,0.1756892801302572,0.8249268785638642,0.7135390744101001,0.125,0.52909375,0.0
58,0.6255658455169506,0.1328117025261833,0.8280658195321434,0.7123778474299494,0.135,0.52862125,0.0
59,0.6234726785730704,0.1383988253028553,0.8311484817255635,0.7111956043382006,0.135,0.52862125,0.0
60,0.6209340111536357,0.13895979288586144,0.834172881267712,0.7091748241770457,0.16,0.52744,0.0
61,0.6189863669675437,0.13317579670541435,0.8371460479242033,0.707904399975717,0.135,0.52862125,0.05
62,0.6222581210394206,0.13529166427160616,0.8400699481365163,0.7107044100581892,0.1,0.530275,0.05
63,0.6208865784565605,0.14788863398207588,0.8429345473673433,0.7085223046136043,0.16,0.52744,0.05
64,0.6189102007581458,0.14788703867231992,0.8457495115106648,0.7067835328826806,0.14500000000000002,0.5281487500000001,0.05
65,0.6159894579933055,0.1268082179995765,0.8485156640860207,0.7084936055194642,0.13,0.5288575000000001,0.05
66,0.6145401549215854,0.13122599783822023,0.8512316743113834,0.7069337846682945,0.135,0.52862125,0.05
