topology,chain_length,k_D,k_C,k_T,run_index,seed,failure_rate,affected_share,cascade_depth,sustained_failure_steps,time_to_collapse,propagated,last_affected_node,survival_cluster_sizes,spatial_distribution,edge_count
chain,50,0.01,0.02,0.0,18,60,0.04,0.6530612244897959,49,29,10,1,49,1|2|1|1|1|1|2|1|3|1|1|1|1,network_wide,49
chain,50,0.01,0.02,0.0,19,61,0.04,0.6326530612244898,48,30,6,1,48,1|2|1|1|1|1|2|1|1|3|1|1|1|1,network_wide,49
chain,50,0.01,0.03,0.0,0,42,0.02,0.7142857142857143,49,38,4,1,49,1|1|1|1|1|1|2|1|1|1|1|2,network_wide,49
chain,50,0.01,0.03,0.0,1,43,0.02,0.6938775510204082,48,38,4,1,48,1|1|1|1|1|1|2|1|1|1|1|2|1,network_wide,49
chain,50,0.01,0.03,0.0,2,44,0.02,0.7142857142857143,49,29,4,1,49,2|1|1|1|1|2|1|1|1|1|2|1,network_wide,49
chain,50,0.01,0.03,0.0,3,45,0.02,0.7142857142857143,49,29,4,1,49,1|1|1|1|1|1|2|1|1|1|1|2|1,network_wide,49
chain,50,0.01,0.03,0.0,4,46,0.02,0.7142857142857143,49,38,4,1,49,1|1|1|1|1|2|1|1|1|1|2|1,network_wide,49
chain,50,0.01,0.03,0.0,5,47,0.02,0.6938775510204082,48,29,4,1,48,1|1|1|1|1|2|1|1|1|1|2|1|1,network_wide,49
chain,50,0.01,0.03,0.0,6,48,0.02,0.673469387755102,47,38,4,1,47,1|1|1|1|1|2|1|1|1|1|2|1|2,network_wide,49
chain,50,0.01,0.03,0.0,7,49,0.04,0.673469387755102,46,29,4,1,46,1|1|1|1|2|1|1|1|1|2|1|3,network_wide,49
chain,50,0.01,0.03,0.0,8,50,0.02,0.6938775510204082,49,38,4,1,49,1|1|1|1|1|1|1|1|1|2|1|3,network_wide,49
chain,50,0.01,0.03,0.0,9,51,0.02,0.6938775510204082,49,29,4,1,49,1|1|1|1|1|1|1|1|1|2|1|3,network_wide,49
chain,50,0.01,0.03,0.0,10,52,0.02,0.6938775510204082,48,29,4,1,48,1|1|1|1|2|1|1|1|1|2|3|1,network_wide,49
chain,50,0.01,0.03,0.0,11,53,0.02,0.6938775510204082,49,29,4,1,49,1|1|1|1|1|1|1|1|2|1|3|1,network_wide,49
chain,50,0.01,0.03,0.0,12,54,0.02,0.6938775510204082,49,29,4,1,49,1|1|1|2|1|1|1|1|2|3|1,network_wide,49
chain,50,0.01,0.03,0.0,13,55,0.02,0.673469387755102,49,30,4,1,49,1|1|1|2|1|1|1|1|2|1|3|1,network_wide,49
chain,50,0.01,0.03,0.0,14,56,0.02,0.673469387755102,48,29,4,1,48,1|1|1|1|1|1|1|1|2|1|3|1|1|1,network_wide,49
chain,50,0.01,0.03,0.0,15,57,0.02,0.673469387755102,49,30,5,1,49,1|1|2|1|1|1|1|2|1|3|1|1,network_wide,49
chain,50,0.01,0.03,0.0,16,58,0.02,0.6530612244897959,48,30,4,1,48,1|1|2|1|1|1|1|2|1|3|1|1|1|1,network_wide,49
chain,50,0.01,0.03,0.0,17,59,0.02,0.6938775510204082,49,29,7,1,49,1|2|1|1|1|1|2|1|3|1|1,network_wide,49
chain,50,0.01,0.03,0.0,18,60,0.04,0.6938775510204082,49,29,7,1,49,1|1|1|1|1|1|2|1|3|1|1|1,network_wide,49
chain,50,0.01,0.03,0.0,19,61,0.04,0.673469387755102,48,30,6,1,48,1|2|1|1|1|1|2|1|3|1|1|1,network_wide,49
star,50,0.01,0.02,0.0,0,42,0.04,0.6530612244897959,49,29,4,1,49,2|2|1|1|1|1|1|2|1|1|1|1|2,hub_localized,49
star,50,0.01,0.02,0.0,1,43,0.02,0.6938775510204082,48,29,4,1,48,1|1|1|1|1|1|2|1|1|1|1|1|1|1,hub_localized,49
star,50,0.01,0.02,0.0,2,44,0.02,0.6938775510204082,49,29,4,1,49,2|1|1|1|1|1|2|1|1|1|1|2|1,hub_localized,49
star,50,0.01,0.02,0.0,3,45,0.02,0.6938775510204082,49,29,4,1,49,1|1|1|1|1|1|2|1|1|1|1|2|1|1,hub_localized,49
star,50,0.01,0.02,0.0,4,46,0.02,0.673469387755102,49,29,4,1,49,2|1|1|1|1|2|1|1|1|1|2|1|1,hub_localized,49
star,50,0.01,0.02,0.0,5,47,0.04,0.6938775510204082,48,38,4,1,48,1|1|1|1|2|1|1|1|1|2|1|1|1,hub_localized,49
star,50,0.01,0.02,0.0,6,48,0.04,0.7142857142857143,47,29,4,1,47,1|1|1|2|1|1|1|1|2|1|2,hub_localized,49
star,50,0.01,0.02,0.0,7,49,0.06,0.6530612244897959,46,29,4,1,46,1|1|1|1|1|2|1|1|1|1|2|1|1|3,hub_localized,49
star,50,0.01,0.02,0.0,8,50,0.04,0.6326530612244898,49,29,4,1,49,1|1|1|1|1|2|1|1|1|1|2|1|1|3,hub_localized,49
star,50,0.01,0.02,0.0,9,51,0.04,0.6326530612244898,49,29,4,1,49,1|1|1|2|1|2|1|1|1|1|2|1|3,hub_localized,49
star,50,0.01,0.02,0.0,10,52,0.02,0.6530612244897959,48,29,4,1,48,1|1|1|1|2|1|1|1|1|2|1|1|3|1,hub_localized,49
star,50,0.01,0.02,0.0,11,53,0.04,0.6530612244897959,49,29,4,1,49,1|1|1|2|1|1|1|1|2|1|1|3|1,hub_localized,49
star,50,0.01,0.02,0.0,12,54,0.04,0.673469387755102,48,21,4,1,48,1|1|1|2|1|1|1|1|2|3|1|1,hub_localized,49
star,50,0.01,0.02,0.0,13,55,0.04,0.6530612244897959,49,30,4,1,49,1|1|2|1|1|1|1|2|1|3|3,hub_localized,49
star,50,0.01,0.02,0.0,14,56,0.06,0.6122448979591837,48,29,4,1,48,1|1|1|2|1|1|1|1|2|1|1|3|3|1,hub_localized,49
star,50,0.01,0.02,0.0,15,57,0.02,0.6326530612244898,49,30,5,1,49,1|1|1|2|1|1|1|1|2|1|1|3|1|1,hub_localized,49
star,50,0.01,0.02,0.0,16,58,0.02,0.6530612244897959,48,30,4,1,48,1|1|2|1|1|1|1|2|1|3|1|1|1|1,hub_localized,49
star,50,0.01,0.02,0.0,17,59,0.04,0.673469387755102,49,29,7,1,49,1|2|1|1|1|1|2|1|3|1|1|1,hub_localized,49
star,50,0.01,0.02,0.0,18,60,0.04,0.673469387755102,49,29,10,1,49,1|2|1|1|1|1|2|1|3|1|1|1,hub_localized,49
star,50,0.01,0.02,0.0,19,61,0.06,0.6122448979591837,48,30,6,1,48,1|2|1|1|1|1|2|1|1|3|3|1|1,hub_localized,49
star,50,0.01,0.03,0.0,0,42,0.04,0.673469387755102,49,29,4,1,49,2|1|1|1|1|1|1|2|1|1|1|1|2,hub_localized,49
star,50,0.01,0.03,0.0,1,43,0.02,0.7755102040816326,48,29,4,1,48,1|1|1|2|1|1|1|1|1|1,hub_localized,49
star,50,0.01,0.03,0.0,2,44,0.04,0.6938775510204082,49,29,4,1,49,1|1|1|1|1|1|2|1|1|1|1|2|1,hub_localized,49
star,50,0.01,0.03,0.0,3,45,0.06,0.7142857142857143,49,29,4,1,49,1|1|1|1|1|1|2|1|1|1|1|2|1,hub_localized,49
star,50,0.01,0.03,0.0,4,46,0.06,0.7142857142857143,49,29,4,1,49,1|1|1|1|2|1|1|1|1|2|1|1,hub_localized,49
star,50,0.01,0.03,0.0,5,47,0.06,0.7142857142857143,48,29,4,1,48,1|1|1|2|1|1|1|1|2|1|1|1,hub_localized,49
star,50,0.01,0.03,0.0,6,48,0.04,0.7346938775510204,47,29,4,1,47,1|1|1|2|1|1|1|1|1|1|2,hub_localized,49
star,50,0.01,0.03,0.0,7,49,0.02,0.673469387755102,46,29,4,1,46,1|1|1|1|1|2|1|1|1|1|1|1|1|3,hub_localized,49
star,50,0.01,0.03,0.0,8,50,0.04,0.6938775510204082,49,29,4,1,49,1|1|1|2|1|1|1|1|1|1|1|3,hub_localized,49
star,50,0.01,0.03,0.0,9,51,0.04,0.6938775510204082,49,30,4,1,49,1|1|1|1|2|1|1|1|1|1|1|3,hub_localized,49
star,50,0.01,0.03,0.0,10,52,0.04,0.6938775510204082,48,29,4,1,48,1|1|1|2|1|1|1|1|2|1|3|1,hub_localized,49
star,50,0.01,0.03,0.0,11,53,0.04,0.7346938775510204,49,29,4,1,49,1|2|1|1|1|1|1|1|3|1,hub_localized,49
star,50,0.01,0.03,0.0,12,54,0.06,0.6938775510204082,49,30,4,1,49,1|1|1|2|1|1|1|1|2|3|1,hub_localized,49
star,50,0.01,0.03,0.0,13,55,0.04,0.673469387755102,49,30,4,1,49,1|1|1|2|1|1|1|1|1|1|3|2,hub_localized,49
star,50,0.01,0.03,0.0,14,56,0.06,0.673469387755102,48,29,4,1,48,1|1|2|1|1|1|1|2|1|3|1|1|1,hub_localized,49
star,50,0.01,0.03,0.0,15,57,0.04,0.6530612244897959,49,30,5,1,49,1|1|1|2|1|1|1|1|2|1|3|1|1,hub_localized,49
star,50,0.01,0.03,0.0,16,58,0.02,0.6938775510204082,48,30,4,1,48,1|2|1|1|1|1|2|1|3|1|1|1,hub_localized,49
star,50,0.01,0.03,0.0,17,59,0.06,0.6938775510204082,49,30,7,1,49,2|1|1|1|1|2|1|3|1|1|1,hub_localized,49
star,50,0.01,0.03,0.0,18,60,0.04,0.673469387755102,49,30,7,1,49,2|1|1|1|1|1|1|1|3|2|1|1,hub_localized,49
star,50,0.01,0.03,0.0,19,61,0.06,0.673469387755102,48,30,6,1,48,1|2|1|1|1|1|2|1|3|1|1|1,hub_localized,49
random-sparse,50,0.01,0.02,0.0,0,42,0.04,0.673469387755102,49,29,4,1,49,1|2|1|1|1|1|2|1|1|1|1|2|1,network_wide,111
random-sparse,50,0.01,0.02,0.0,1,43,0.02,0.6938775510204082,48,29,4,1,48,1|1|1|1|1|1|2|1|1|1|1|2|1,network_wide,125
random-sparse,50,0.01,0.02,0.0,2,44,0.02,0.6938775510204082,49,29,4,1,49,2|1|1|1|1|1|2|1|1|1|1|2|1,network_wide,133
random-sparse,50,0.01,0.02,0.0,3,45,0.04,0.6938775510204082,49,29,4,1,49,1|2|1|1|1|1|2|1|1|1|1|2|1,network_wide,120
random-sparse,50,0.01,0.02,0.0,4,46,0.02,0.673469387755102,49,29,4,1,49,2|1|1|1|1|2|1|1|1|1|2|1|1,network_wide,123
random-sparse,50,0.01,0.02,0.0,5,47,0.02,0.6530612244897959,48,29,4,1,48,1|1|1|1|1|1|2|1|1|1|1|2|1|1|1,network_wide,125
random-sparse,50,0.01,0.02,0.0,6,48,0.02,0.6938775510204082,47,29,4,1,47,1|1|1|1|2|1|1|1|1|2|1|2,network_wide,111
random-sparse,50,0.01,0.02,0.0,7,49,0.04,0.673469387755102,46,29,4,1,46,1|1|1|1|1|2|1|1|1|1|2|1|3,network_wide,116
random-sparse,50,0.01,0.02,0.0,8,50,0.02,0.6530612244897959,49,29,4,1,49,1|1|1|1|1|2|1|1|1|1|2|1|3,network_wide,110
random-sparse,50,0.01,0.02,0.0,9,51,0.04,0.6326530612244898,49,29,4,1,49,1|1|1|1|1|2|1|1|1|1|2|1|1|3,network_wide,132
random-sparse,50,0.01,0.02,0.0,10,52,0.04,0.673469387755102,48,29,4,1,48,1|1|1|2|1|1|1|1|2|1|1|3|1,network_wide,127
random-sparse,50,0.01,0.02,0.0,11,53,0.04,0.673469387755102,49,29,4,1,49,1|1|1|2|1|1|1|1|2|1|3|1,network_wide,114
random-sparse,50,0.01,0.02,0.0,12,54,0.02,0.6326530612244898,48,29,4,1,48,2|1|1|1|2|1|1|1|1|2|3|1|1,network_wide,128
random-sparse,50,0.01,0.02,0.0,13,55,0.02,0.6326530612244898,49,30,4,1,49,1|1|1|2|1|1|1|1|2|1|1|3|1|1,network_wide,116
random-sparse,50,0.01,0.02,0.0,14,56,0.04,0.6530612244897959,48,29,4,1,48,1|1|1|2|1|1|1|1|2|1|3|1|1|1,network_wide,114
random-sparse,50,0.01,0.02,0.0,15,57,0.02,0.6530612244897959,49,30,5,1,49,1|1|2|1|1|1|1|2|1|3|1|1|1,network_wide,119
random-sparse,50,0.01,0.02,0.0,16,58,0.02,0.673469387755102,48,30,4,1,48,1|2|1|1|1|1|2|1|3|1|1|1|1,network_wide,98
random-sparse,50,0.01,0.02,0.0,17,59,0.04,0.673469387755102,49,29,10,1,49,1|2|1|1|1|1|2|1|3|1|1|1,network_wide,120
random-sparse,50,0.01,0.02,0.0,18,60,0.04,0.6530612244897959,49,29,10,1,49,1|2|1|1|1|1|2|1|3|1|1|1|1,network_wide,106
random-sparse,50,0.01,0.02,0.0,19,61,0.04,0.673469387755102,48,30,6,1,48,1|2|1|1|1|1|2|1|3|1|1|1,network_wide,110
random-sparse,50,0.01,0.03,0.0,0,42,0.02,0.7346938775510204,49,38,4,1,49,1|1|1|1|1|2|1|1|1|1|2,network_wide,111
random-sparse,50,0.01,0.03,0.0,1,43,0.02,0.6938775510204082,48,29,4,1,48,1|1|1|1|1|1|2|1|1|1|1|2|1,network_wide,125
random-sparse,50,0.01,0.03,0.0,2,44,0.02,0.7142857142857143,49,29,4,1,49,1|1|1|1|1|2|1|1|1|1|2|1,network_wide,133
random-sparse,50,0.01,0.03,0.0,3,45,0.02,0.7142857142857143,49,29,4,1,49,1|2|1|1|1|2|1|1|1|1|2|1,network_wide,120
random-sparse,50,0.01,0.03,0.0,4,46,0.04,0.7142857142857143,49,29,4,1,49,1|1|1|1|1|2|1|1|1|1|2|1,network_wide,123
random-sparse,50,0.01,0.03,0.0,5,47,0.04,0.6938775510204082,48,29,4,1,48,1|1|1|1|1|2|1|1|1|1|2|1|1,network_wide,125
random-sparse,50,0.01,0.03,0.0,6,48,0.04,0.6938775510204082,47,29,4,1,47,1|1|1|1|2|1|1|1|1|2|1|2,network_wide,111
random-sparse,50,0.01,0.03,0.0,7,49,0.06,0.6938775510204082,46,29,4,1,46,1|1|1|2|1|1|1|1|2|1|3,network_wide,116
random-sparse,50,0.01,0.03,0.0,8,50,0.02,0.6938775510204082,49,29,4,1,49,1|1|1|2|1|1|1|1|2|1|3,network_wide,110
random-sparse,50,0.01,0.03,0.0,9,51,0.02,0.7142857142857143,49,29,4,1,49,1|1|1|1|1|1|1|1|2|1|3,network_wide,132
random-sparse,50,0.01,0.03,0.0,10,52,0.02,0.6938775510204082,48,29,4,1,48,1|1|1|2|1|1|1|1|2|1|3|1,network_wide,127
random-sparse,50,0.01,0.03,0.0,11,53,0.04,0.6938775510204082,49,29,4,1,49,1|1|1|1|1|1|1|1|2|1|3|1,network_wide,114
random-sparse,50,0.01,0.03,0.0,12,54,0.02,0.6938775510204082,49,29,4,1,49,1|1|1|2|1|1|1|1|2|3|1,network_wide,128
random-sparse,50,0.01,0.03,0.0,13,55,0.02,0.6938775510204082,49,30,4,1,49,1|1|2|1|1|1|1|2|1|3|1,network_wide,116
random-sparse,50,0.01,0.03,0.0,14,56,0.04,0.6530612244897959,48,29,4,1,48,1|1|1|2|1|1|1|1|2|1|3|1|1|1,network_wide,114
random-sparse,50,0.01,0.03,0.0,15,57,0.04,0.6938775510204082,49,30,5,1,49,1|1|2|1|1|1|1|2|1|3|1,network_wide,119
random-sparse,50,0.01,0.03,0.0,16,58,0.02,0.673469387755102,48,30,4,1,48,1|1|2|1|1|1|1|2|1|3|1|1|1,network_wide,98
random-sparse,50,0.01,0.03,0.0,17,59,0.04,0.7346938775510204,49,29,7,1,49,2|1|1|1|1|2|1|3|1,network_wide,120
random-sparse,50,0.01,0.03,0.0,18,60,0.04,0.6938775510204082,49,29,7,1,49,2|1|1|1|1|2|1|3|1|1|1,network_wide,106
random-sparse,50,0.01,0.03,0.0,19,61,0.04,0.673469387755102,48,30,6,1,48,1|2|1|1|1|1|2|1|3|1|1|1,network_wide,110
fully-connected,50,0.01,0.02,0.0,0,42,0.04,0.6938775510204082,49,29,4,1,49,1|2|1|1|1|1|2|1|1|1|1|2,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,1,43,0.02,0.6938775510204082,48,29,4,1,48,1|1|1|1|1|1|2|1|1|1|1|2|1,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,2,44,0.02,0.673469387755102,49,29,4,1,49,2|1|1|2|1|1|2|1|1|1|1|2|1,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,3,45,0.04,0.6938775510204082,49,29,4,1,49,1|2|1|1|1|1|2|1|1|1|1|2|1,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,4,46,0.02,0.6938775510204082,49,29,4,1,49,2|1|1|1|1|2|1|1|1|1|2|1,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,5,47,0.02,0.673469387755102,48,29,4,1,48,1|1|1|1|1|1|2|1|1|1|1|2|1|1,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,6,48,0.02,0.673469387755102,47,29,4,1,47,1|1|1|1|1|2|1|1|1|1|2|1|2,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,7,49,0.02,0.673469387755102,46,29,4,1,46,1|1|1|1|1|2|1|1|1|1|2|1|3,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,8,50,0.02,0.673469387755102,49,29,4,1,49,1|1|1|1|2|1|1|1|1|2|1|3,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,9,51,0.02,0.6530612244897959,49,29,4,1,49,1|1|1|1|1|2|1|1|1|1|2|1|3,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,10,52,0.04,0.6938775510204082,48,29,4,1,48,1|1|1|2|1|1|1|1|2|1|3|1,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,11,53,0.04,0.6938775510204082,49,29,4,1,49,1|1|2|1|1|1|1|2|1|3|1,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,12,54,0.02,0.6938775510204082,49,29,4,1,49,1|1|1|2|1|1|1|1|2|3|1,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,13,55,0.04,0.6938775510204082,49,30,4,1,49,1|1|2|1|1|1|1|2|1|3|1,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,14,56,0.04,0.673469387755102,48,29,4,1,48,1|1|1|2|1|1|1|1|2|1|3|1|1,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,15,57,0.02,0.6938775510204082,49,30,5,1,49,1|2|1|1|1|1|2|1|3|1|1,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,16,58,0.02,0.6938775510204082,49,30,4,1,49,1|2|1|1|1|1|2|1|3|1|1|1,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,17,59,0.04,0.6938775510204082,49,29,10,1,49,2|1|1|1|1|2|1|3|1|1|1,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,18,60,0.04,0.7142857142857143,49,29,10,1,49,2|1|1|1|1|2|1|3|1|1,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,19,61,0.04,0.6530612244897959,48,30,6,1,48,2|1|1|1|1|2|1|3|1|1|1|1|1,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,0,42,0.04,0.7346938775510204,49,29,4,1,49,1|1|1|1|1|2|1|1|1|1|2,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,1,43,0.02,0.7142857142857143,48,29,4,1,48,1|1|1|1|1|2|1|1|1|1|2|1,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,2,44,0.02,0.7142857142857143,49,29,4,1,49,1|1|1|1|1|2|1|1|1|1|2|1,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,3,45,0.02,0.7346938775510204,49,29,4,1,49,1|1|1|1|1|2|1|1|1|1|2|1,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,4,46,0.02,0.7346938775510204,49,29,4,1,49,1|1|1|1|2|1|1|1|1|2|1,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,5,47,0.02,0.7142857142857143,48,29,4,1,48,1|1|1|1|2|1|1|1|1|2|1|1,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,6,48,0.02,0.6938775510204082,47,29,4,1,47,1|1|1|1|2|1|1|1|1|2|1|2,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,7,49,0.02,0.6938775510204082,46,29,4,1,46,1|1|1|1|2|1|1|1|1|2|1|3,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,8,50,0.02,0.6938775510204082,49,29,4,1,49,1|1|1|2|1|1|1|1|2|1|3,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,9,51,0.02,0.6938775510204082,49,29,4,1,49,1|1|1|2|1|1|1|1|2|1|3,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,10,52,0.02,0.6938775510204082,48,29,4,1,48,1|1|1|2|1|1|1|1|2|1|3|1,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,11,53,0.04,0.673469387755102,49,29,4,1,49,1|1|2|1|1|1|1|2|1|1|3|1,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,12,54,0.02,0.7142857142857143,49,29,4,1,49,1|1|2|1|1|1|1|2|3|1,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,13,55,0.04,0.6938775510204082,49,30,4,1,49,1|1|2|1|1|1|1|2|1|3|1,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,14,56,0.04,0.673469387755102,48,29,4,1,48,1|1|2|1|1|1|1|2|1|1|3|1|1,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,15,57,0.02,0.6938775510204082,49,30,5,1,49,1|2|1|1|1|1|2|1|3|1|1,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,16,58,0.02,0.7346938775510204,49,30,4,1,49,1|2|1|1|1|1|1|1|3|1|1,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,17,59,0.04,0.6938775510204082,49,29,7,1,49,2|1|1|1|1|2|1|1|3|1|1,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,18,60,0.04,0.7142857142857143,49,29,7,1,49,2|1|1|1|1|2|1|3|1|1,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,19,61,0.04,0.6938775510204082,48,30,6,1,48,2|1|1|1|1|2|1|3|1|1|1,hub_localized,1225
