disturbance_level,coupling_delay,trust_coupling,run_index,seed,node_a_final_stability,node_b_final_stability,node_a_stability_rate,node_b_stability_rate,node_a_failure,node_b_failure,node_a_recovered,node_b_recovered,node_a_final_trust,node_b_final_trust,propagated_breach,propagated_failure,synchronization_correlation,avg_stability_gap,simultaneous_breach
0.2,0,0.0,0,42,0.9999999999999947,0.8480022642191879,1.0,0.93,0,0,0,1,0.9611225121157274,0.6768196701236746,1,0,-0.37307301568497386,0.12537669492065795,0
0.2,0,0.0,1,43,0.9781792804863516,0.8165018172681191,1.0,0.85,0,0,0,1,0.8511742920742347,0.6772628414711971,1,0,-0.022711164865626018,0.1275425717414244,0
0.2,0,0.0,2,44,0.9986451901371378,0.9330604624718344,1.0,0.89,0,0,0,1,0.8890867558892014,0.7924284243448825,1,0,-0.10683752746160272,0.12441980435036959,0
0.2,0,0.0,3,45,0.9999991057257418,0.9959828019787554,1.0,0.66,0,0,0,1,1.0,0.8966000760734338,1,0,-0.12201416902550763,0.13213414551707964,0
0.2,0,0.0,4,46,0.9999999946812069,0.8309124301971669,1.0,0.9,0,0,0,1,1.0,0.7166657664294007,1,0,-0.1114271638925902,0.11224411618434442,0
0.2,0,0.0,5,47,0.9999997473665914,0.8179981170566362,1.0,0.77,0,0,0,1,1.0,0.6589082000113802,1,0,-0.6714025356590737,0.128817874240887,0
0.2,0,0.0,6,48,0.9999999692245745,0.9318467283488955,1.0,0.48,0,0,0,1,0.9566582247062574,0.7778082766690061,1,0,-0.21576154250711846,0.20205393863306978,0
0.2,0,0.0,7,49,0.9999999953139689,0.8543531985857207,1.0,0.88,0,0,0,1,0.9903140198420672,0.713277706479966,1,0,-0.08979692815101065,0.12707135613092363,0
0.2,0,0.0,8,50,0.9999999999372072,0.6048673200930328,1.0,0.52,0,1,0,1,1.0,0.3824015221614526,1,1,-0.3050756841696145,0.2335521152193955,0
0.2,0,0.0,9,51,0.9829887047590913,0.7530885090428112,1.0,0.42,0,1,0,1,0.8243438300261356,0.5491970605769387,1,1,0.49988070960162395,0.20077986815055696,0
0.2,0,0.0,10,52,0.9999999999999987,0.8626833427508002,1.0,0.81,0,0,0,1,0.9997261447843454,0.7085018680691417,1,0,-0.23264774104256167,0.1246987686701511,0
0.2,0,0.0,11,53,0.9999999999999961,0.9902991470103966,1.0,0.84,0,0,0,1,0.9406475265330332,0.879854153700004,1,0,-0.2132805147539037,0.11735505894666978,0
0.2,0,0.0,12,54,0.9953589714548704,0.9591330784889135,1.0,0.97,0,0,0,1,0.8624575961917358,0.8151226144746708,1,0,0.11912103452549148,0.0591689842793923,0
0.2,0,0.0,13,55,0.9999999585131747,0.9496006630134154,1.0,1.0,0,0,0,0,0.9919554998805129,0.8319313466441993,0,0,0.0025689191782999245,0.06964425200901857,0
0.2,0,0.0,14,56,0.9999999999999937,0.81048403576135,1.0,0.86,0,0,0,1,0.9167500780169656,0.6137309390777372,1,0,-0.09865528179383262,0.1217836370734877,0
0.2,0,0.0,15,57,0.9754969630445177,0.9368686400264851,1.0,1.0,0,0,0,0,0.8259521745727674,0.7955044618074989,0,0,-0.15552011844390032,0.06623881223327582,0
0.2,0,0.0,16,58,0.9999999904710707,0.9268702154551746,1.0,0.54,0,0,0,1,1.0,0.8170658447889518,1,0,-0.36614406391525184,0.17494507484690666,0
0.2,0,0.0,17,59,0.9999622498330956,0.9317197127471623,1.0,0.84,0,0,0,1,1.0,0.803139763019626,1,0,-0.05390242351305428,0.10686867743184755,0
0.2,0,0.0,18,60,0.9987221471224347,0.6666565131833174,1.0,0.64,0,1,0,1,0.8751059456183302,0.4365085462134839,1,1,-0.18205827102880673,0.13650150216840937,0
0.2,0,0.0,19,61,0.9999688292108012,0.8982345184308026,1.0,0.75,0,0,0,1,1.0,0.7449795586841681,1,0,-0.28039139616126163,0.13794910269971822,0
0.2,0,0.01,0,42,0.9999999999999961,0.9066440261894492,1.0,1.0,0,0,0,0,0.9686995199964161,0.7624767462677573,0,0,-0.04312657502226345,0.07881368487152499,0
0.2,0,0.01,1,43,0.9806966847404303,0.8816878161996078,1.0,0.95,0,0,0,1,0.8726027407963007,0.7668199251123637,1,0,0.12357368977591138,0.08340126431171548,0
0.2,0,0.01,2,44,0.9995948570208776,0.9950476879455039,1.0,1.0,0,0,0,0,0.9333921318820014,0.9096285891169946,0,0,0.03764021688334598,0.07865552397374415,0
0.2,0,0.01,3,45,0.999999999999999,0.9999456065304161,1.0,0.96,0,0,0,1,1.0,0.960428074119938,1,0,0.014176837981415719,0.08310630915177031,0
0.2,0,0.01,4,46,0.9999999982506587,0.8937179857035434,1.0,0.95,0,0,0,1,1.0,0.8077185928431112,1,0,0.015968524437749092,0.06397884661953408,0
0.2,0,0.01,5,47,0.9999999999757729,0.8702529479718867,1.0,1.0,0,0,0,0,1.0,0.7392850831973858,0,0,-0.4966632918732127,0.09243090843017282,0
0.2,0,0.01,6,48,0.999999999997649,0.9998632373130252,1.0,0.68,0,0,0,1,1.0,0.949344502917426,1,0,-0.1817482338373788,0.1491521524292952,0
0.2,0,0.01,7,49,0.9999999992432766,0.9017980362246517,1.0,0.98,0,0,0,1,1.0,0.7842391347165901,1,0,0.06035963786504489,0.07687097449776284,0
0.2,0,0.01,8,50,0.9999999999967816,0.6952620881860078,1.0,0.63,0,1,0,1,1.0,0.535283299919032,1,1,-0.22129851426721353,0.1795555922637429,0
0.2,0,0.01,9,51,0.999349525771245,0.8014220338809398,1.0,0.52,0,0,0,1,0.9159573868532723,0.6278370905619093,1,0,0.438786058337269,0.15469558262600258,0
