topology,chain_length,k_D,k_C,k_T,run_index,seed,failure_rate,cascade_depth,time_to_collapse,propagated,last_affected_node,survival_cluster_sizes,spatial_distribution,edge_count
chain,50,0.05,0.05,0.02,0,42,0.14,49,4,1,49,1|1|1|1|1,network_wide,49
chain,50,0.05,0.05,0.02,1,43,0.14,49,4,1,49,1|1|1|1,network_wide,49
chain,50,0.05,0.05,0.02,2,44,0.14,49,3,1,49,1|1|1|1,network_wide,49
chain,50,0.05,0.05,0.02,3,45,0.16,49,3,1,49,1|1|1|1,network_wide,49
chain,50,0.05,0.05,0.02,4,46,0.14,49,4,1,49,1|1|1,network_wide,49
chain,50,0.05,0.05,0.02,5,47,0.16,48,4,1,48,1|1|1|1|1,network_wide,49
chain,50,0.05,0.05,0.02,6,48,0.14,49,4,1,49,1|1|1|1|1,network_wide,49
chain,50,0.05,0.05,0.02,7,49,0.14,49,4,1,49,1|1|1|1|1,network_wide,49
chain,50,0.05,0.05,0.02,8,50,0.12,49,4,1,49,1|1|1|1,network_wide,49
chain,50,0.05,0.05,0.02,9,51,0.12,49,4,1,49,1|1|1|1|1|1,network_wide,49
chain,50,0.05,0.05,0.02,10,52,0.14,49,4,1,49,1|1|1,network_wide,49
chain,50,0.05,0.05,0.02,11,53,0.12,49,4,1,49,1|1|1|1|1,network_wide,49
chain,50,0.05,0.05,0.02,12,54,0.12,49,4,1,49,1|1|1,network_wide,49
chain,50,0.05,0.05,0.02,13,55,0.12,49,4,1,49,1|1|1|1,network_wide,49
chain,50,0.05,0.05,0.02,14,56,0.12,49,4,1,49,1|1|1|1,network_wide,49
chain,50,0.05,0.05,0.02,15,57,0.1,49,5,1,49,1|1,network_wide,49
chain,50,0.05,0.05,0.02,16,58,0.1,49,4,1,49,1|1,network_wide,49
chain,50,0.05,0.05,0.02,17,59,0.1,49,6,1,49,1|1|1,network_wide,49
chain,50,0.05,0.05,0.02,18,60,0.12,49,6,1,49,1|1|1,network_wide,49
chain,50,0.05,0.05,0.02,19,61,0.12,49,6,1,49,1|1|1,network_wide,49
chain,50,0.05,0.1,0.02,0,42,0.18,49,3,1,49,1|1|1,network_wide,49
chain,50,0.05,0.1,0.02,1,43,0.16,49,4,1,49,1|1,network_wide,49
chain,50,0.05,0.1,0.02,2,44,0.14,49,3,1,49,1|1|1,network_wide,49
chain,50,0.05,0.1,0.02,3,45,0.2,49,3,1,49,1|1|1,network_wide,49
chain,50,0.05,0.1,0.02,4,46,0.18,49,4,1,49,1,network_wide,49
chain,50,0.05,0.1,0.02,5,47,0.2,48,4,1,48,1|1|1|1|1|1,network_wide,49
chain,50,0.05,0.1,0.02,6,48,0.18,49,3,1,49,1|1,network_wide,49
chain,50,0.05,0.1,0.02,7,49,0.16,49,4,1,49,1|1|1,network_wide,49
chain,50,0.05,0.1,0.02,8,50,0.16,49,4,1,49,1|1|1|1,network_wide,49
chain,50,0.05,0.1,0.02,9,51,0.18,49,4,1,49,1|1|1|1,network_wide,49
chain,50,0.05,0.1,0.02,10,52,0.18,49,4,1,49,1|1,network_wide,49
chain,50,0.05,0.1,0.02,11,53,0.14,49,4,1,49,1|1,network_wide,49
chain,50,0.05,0.1,0.02,12,54,0.16,49,4,1,49,1|1,network_wide,49
chain,50,0.05,0.1,0.02,13,55,0.16,49,4,1,49,1|1|1,network_wide,49
chain,50,0.05,0.1,0.02,14,56,0.16,49,4,1,49,1|1|1,network_wide,49
