run_index,seed,topology,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,contagion_containment,contagion_initial_failures,contagion_secondary_failures,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,random,True,True,0.993,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
2,43,random,True,True,0.999,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
3,44,random,True,True,1.0,1.0,1.0,0,1,0.0,3,0,0.0,none,0,0,0
4,45,random,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
5,46,random,True,True,0.999,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
6,47,random,True,True,0.999,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
7,48,random,True,True,0.997,1.0,1.0,0,1,0.0,2,0,0.0,none,0,0,0
8,49,random,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
9,50,random,True,True,0.999,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
10,51,random,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
11,52,random,True,True,0.99,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
12,53,random,True,True,0.997,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
13,54,random,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
14,55,random,True,True,0.999,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
15,56,random,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
16,57,random,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
17,58,random,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
18,59,random,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
19,60,random,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
