topology,chain_length,k_D,k_C,k_T,run_index,seed,failure_rate,cascade_depth,time_to_collapse,propagated,last_affected_node,survival_cluster_sizes,spatial_distribution,edge_count
chain,50,0.02,0.02,0.02,0,42,0.04,49,4,1,49,1|1|1|1|1|1|1|1|1|1,network_wide,49
chain,50,0.02,0.02,0.02,1,43,0.04,48,4,1,48,1|1|1|1|1|1|1|1|1|1|1,network_wide,49
chain,50,0.02,0.02,0.02,2,44,0.04,49,4,1,49,1|1|1|1|1|1|1|1|1|1|1,network_wide,49
chain,50,0.02,0.02,0.02,3,45,0.04,49,4,1,49,1|1|1|1|1|1|1|1|1|1|1,network_wide,49
chain,50,0.02,0.02,0.02,4,46,0.04,49,4,1,49,1|1|1|1|1|1|1|1|1,network_wide,49
chain,50,0.02,0.02,0.02,5,47,0.04,48,4,1,48,1|1|1|1|1|1|1|1|1|1|1,network_wide,49
chain,50,0.02,0.02,0.02,6,48,0.04,47,4,1,47,1|1|1|1|1|1|1|1|1|1|2,network_wide,49
chain,50,0.02,0.02,0.02,7,49,0.04,46,4,1,46,1|1|1|1|1|1|1|1|3,network_wide,49
chain,50,0.02,0.02,0.02,8,50,0.02,49,4,1,49,1|1|1|1|1|1|1|1|1|1|1|3,network_wide,49
chain,50,0.02,0.02,0.02,9,51,0.02,49,4,1,49,1|1|1|1|1|1|1|1|1|1|3,network_wide,49
chain,50,0.02,0.02,0.02,10,52,0.02,48,4,1,48,1|1|1|1|1|1|1|1|1|1|3|1,network_wide,49
chain,50,0.02,0.02,0.02,11,53,0.02,49,4,1,49,1|1|1|1|1|1|1|1|1|3|1,network_wide,49
chain,50,0.02,0.02,0.02,12,54,0.02,49,4,1,49,1|1|1|1|1|1|1|1|3|1,network_wide,49
chain,50,0.02,0.02,0.02,13,55,0.02,49,4,1,49,1|1|1|1|1|1|1|1|1|3|1,network_wide,49
chain,50,0.02,0.02,0.02,14,56,0.02,49,4,1,49,1|1|1|1|1|1|1|1|3|1,network_wide,49
chain,50,0.02,0.02,0.02,15,57,0.02,49,5,1,49,1|1|1|1|1|1|1|1|1|2|1,network_wide,49
chain,50,0.02,0.02,0.02,16,58,0.02,49,4,1,49,1|1|1|1|1|1|1|1|1|3|1,network_wide,49
chain,50,0.02,0.02,0.02,17,59,0.04,49,7,1,49,1|1|1|1|1|1|1|1|3|1|1,network_wide,49
chain,50,0.02,0.02,0.02,18,60,0.04,49,7,1,49,1|1|1|1|1|1|1|1|3|1,network_wide,49
chain,50,0.02,0.02,0.02,19,61,0.02,48,6,1,48,1|1|1|1|1|1|1|3|1|1|1,network_wide,49
chain,50,0.02,0.03,0.02,0,42,0.1,49,4,1,49,1|1|1|1|1|1|1|1|1,network_wide,49
chain,50,0.02,0.03,0.02,1,43,0.1,48,4,1,48,1|1|1|1|1|1|1|1|1|1|1,network_wide,49
chain,50,0.02,0.03,0.02,2,44,0.1,49,4,1,49,1|1|1|1|1|1|1|1|2|1,network_wide,49
