test_name,scenario,run_index,seed,final_stability,min_stability,max_stability,final_trust,final_disturbance,final_cognitive_distortion,stability_rate,first_breach_step,recovery_step,stable_run,recovered_run,failure_case,failure_reason,avg_intervention_utilization,first_stressor
blocking_fine_sweep_v13,fine_fmin_026_agov_010,0,42,0.9962197445402926,0.8025614932215299,0.9999196580315326,0.8620858279821294,0.17374102483993503,0.20221474006722118,1.0,,,1,0,0,,0.8028870016404378,disturbance
blocking_fine_sweep_v13,fine_fmin_026_agov_010,1,43,0.9441948488583412,0.595961477022642,0.9998924647381606,0.8772350474358185,0.16528755763354425,0.17174888184964343,0.84,45,49,0,1,0,,0.8587751098877477,disturbance
blocking_fine_sweep_v13,fine_fmin_026_agov_010,2,44,0.9458697557744832,0.7056815568088893,0.9998754163232246,0.9244533648133233,0.08187546040733822,0.11522279382449094,0.8866666666666667,42,44,0,1,0,,0.8488525246138996,disturbance
blocking_fine_sweep_v13,fine_fmin_026_agov_010,3,45,0.9977745247760726,0.7269325846058903,0.9999358148336793,0.8967629853440026,0.13685669202084583,0.15098171864007,0.8866666666666667,11,12,0,1,0,,0.8295830479325532,disturbance
blocking_fine_sweep_v13,fine_fmin_026_agov_010,4,46,0.8039072980662725,0.6696275818222259,0.9999800089064358,0.7347452429105217,0.18872854669326705,0.21076742446061839,0.8733333333333333,42,51,0,1,0,,0.8413580226760056,disturbance
blocking_fine_sweep_v13,fine_fmin_026_agov_010,5,47,0.9924388903594195,0.6408777265069064,0.9997025112402357,0.8947852181800082,0.1472744995654418,0.15906696022904437,0.8733333333333333,7,13,0,1,0,,0.8750161260073467,disturbance
blocking_fine_sweep_v13,fine_fmin_026_agov_010,6,48,0.9986520482402842,0.744410853484161,0.9999981685730598,0.9290532708962453,0.09951037629618739,0.18196709200522387,0.94,30,34,0,1,0,,0.8286778961235444,disturbance
blocking_fine_sweep_v13,fine_fmin_026_agov_010,7,49,0.9630229865337965,0.7097610572332752,0.9985910171441287,0.8627533629610331,0.14285875385405655,0.1463291333416192,0.9,2,5,0,1,0,,0.8537539908787545,disturbance
blocking_fine_sweep_v13,fine_fmin_026_agov_010,8,50,0.9509024244571515,0.7036046782259822,0.9999659102056854,0.9285857652942258,0.09574568577603848,0.12411015895742092,0.94,32,38,0,1,0,,0.8183547518869607,disturbance
blocking_fine_sweep_v13,fine_fmin_026_agov_010,9,51,0.9999986487347631,0.697159268071566,0.9999986487347631,1.0,0.07509188821677718,0.18850847663627682,0.9533333333333334,49,56,0,1,0,,0.8227738018847837,disturbance
blocking_fine_sweep_v13,fine_fmin_026_agov_010,10,52,0.882186183310401,0.8357321689292728,0.9999988821987903,0.7890140252144682,0.1047080401703811,0.1638465167575678,1.0,,,1,0,0,,0.7803300936995834,disturbance
blocking_fine_sweep_v13,fine_fmin_026_agov_010,11,53,0.9254578319396282,0.7504253334145907,0.9995559957785135,0.9004918524619127,0.07260869573630659,0.1334209837317077,0.9266666666666666,71,75,0,1,0,,0.8309864764056623,disturbance
blocking_fine_sweep_v13,fine_fmin_026_agov_010,12,54,0.9994666612902111,0.6470068088032972,0.9994666612902111,1.0,0.0788987909206231,0.17064912937592697,0.8733333333333333,11,21,0,1,0,,0.8528751375251916,disturbance
blocking_fine_sweep_v13,fine_fmin_026_agov_010,13,55,0.9276407104127121,0.702306198311807,0.9999767368042193,0.8288592325805645,0.1103079716439328,0.12901644695042688,0.86,47,51,0,1,0,,0.8572294998841176,disturbance
blocking_fine_sweep_v13,fine_fmin_026_agov_010,14,56,0.9754248421931532,0.7195134780178835,0.9998656191010326,0.8798859418783462,0.09048031520533062,0.12601452441049749,0.96,31,37,0,1,0,,0.8295569141118442,disturbance
blocking_fine_sweep_v13,fine_fmin_026_agov_010,15,57,0.8352995509631213,0.7363542225718425,0.9968074632704598,0.7171925329156524,0.1821623273101165,0.22052752810235676,0.82,3,6,0,1,0,,0.8625525795481074,disturbance
blocking_fine_sweep_v13,fine_fmin_026_agov_010,16,58,0.9997743361114376,0.6204419450633591,0.9999139854508152,1.0,0.06399760027877768,0.13385178978741485,0.9466666666666667,65,73,0,1,0,,0.7899860986169639,disturbance
blocking_fine_sweep_v13,fine_fmin_026_agov_010,17,59,0.9997386981784775,0.7098141821618672,0.9999240092272583,1.0,0.13151379305842653,0.12650306029292774,0.9266666666666666,35,46,0,1,0,,0.8093132691734377,disturbance
blocking_fine_sweep_v13,fine_fmin_026_agov_010,18,60,0.9549838759997308,0.7423153772674168,0.9968364269595136,0.8676427762340004,0.16061436160513368,0.1419063916767287,0.96,48,54,0,1,0,,0.8683268658185237,disturbance
blocking_fine_sweep_v13,fine_fmin_026_agov_010,19,61,0.9741308881323026,0.7512091081298271,0.9999913101014452,0.8117403433965773,0.254446153585141,0.1929357564494667,0.9533333333333334,34,37,0,1,0,,0.8133489072824158,disturbance
blocking_fine_sweep_v13,fine_fmin_026_agov_010,20,62,0.9776480077486118,0.785343597016385,0.9997715317131204,0.8977819832484139,0.10421992433254959,0.1406543315579964,0.98,82,85,0,1,0,,0.834644317677972,disturbance
