run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_recovered_node_rate,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,signal_propagation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,small-world,500,True,True,0.945,1.0,1.0,6,7,0.915,0.0,0,0,0.2,0.91,0.985,0.915,6,6,1.0,0.0,1.0,100.0,18,0.744,0.744,0.752,120,,170,70,67,True,False,0.0,none,0,0,0
2,43,small-world,500,True,True,0.97,1.0,1.0,6,7,0.914,0.0,0,0,0.2,0.911,0.984,0.914,6,6,1.0,0.0,1.0,100.0,16,0.715,0.715,0.746,100,,160,60,66,True,False,0.0,none,0,0,0
3,44,small-world,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.2,0.91,1.0,0.91,6,6,1.0,0.0,1.0,100.0,18,0.735,0.735,0.748,100,,160,60,66,True,False,0.0,none,0,0,0
4,45,small-world,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.2,0.907,0.984,0.91,6,6,1.0,0.0,1.0,100.0,18,0.766,0.766,0.772,120,,140,40,65,True,False,0.0,none,0,0,0
5,46,small-world,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,2,0,0.2,0.909,1.0,0.909,6,6,1.0,0.0,1.0,100.0,18,0.736,0.736,0.747,100,,160,60,66,True,False,0.0,none,0,0,0
