s_threshold,run_index,seed,trigger_A_fired,sustained_ignition_observed,false_alarm,network_failure_rate,final_cooperation,final_trust
0.1,0,42,0,0,0,0.0,0.9027712715982543,0.9027712715982543
0.1,1,43,0,0,0,0.0,0.9057424383751338,0.9057424383751338
0.1,2,44,0,0,0,0.0,0.902752453406518,0.902752453406518
0.1,3,45,0,0,0,0.0,0.9030288670213305,0.9030288670213305
0.1,4,46,0,0,0,0.0,0.8989821572241513,0.8989821572241513
0.1,5,47,0,0,0,0.0,0.9019282378948595,0.9019282378948595
0.1,6,48,0,0,0,0.0,0.9011844018485304,0.9011844018485304
0.1,7,49,0,0,0,0.0,0.9028944107719874,0.9028944107719874
0.1,8,50,0,0,0,0.0,0.900918056769879,0.900918056769879
0.1,9,51,0,0,0,0.0,0.8996194240383287,0.8996194240383287
0.1,10,52,0,0,0,0.0,0.8997404622158004,0.8997404622158004
0.1,11,53,0,0,0,0.0,0.9030906131773109,0.9030906131773109
0.1,12,54,0,0,0,0.0,0.902611290041956,0.902611290041956
0.1,13,55,0,0,0,0.0,0.901135489072584,0.901135489072584
0.1,14,56,0,0,0,0.0,0.9002648575440021,0.9002648575440021
0.1,15,57,0,0,0,0.0,0.903251445521455,0.903251445521455
0.1,16,58,0,0,0,0.0,0.9006132424517618,0.9006132424517618
0.1,17,59,0,0,0,0.0,0.9012403602841691,0.9012403602841691
0.1,18,60,0,0,0,0.0,0.90308762253538,0.90308762253538
0.1,19,61,0,0,0,0.0,0.9015650210333602,0.9015650210333602
0.1,20,62,0,0,0,0.0,0.8976221913080022,0.8976221913080022
0.1,21,63,0,0,0,0.0,0.9023697328747426,0.9023697328747426
0.1,22,64,0,0,0,0.0,0.9054546653792577,0.9054546653792577
0.1,23,65,0,0,0,0.0,0.9030031734730887,0.9030031734730887
0.1,24,66,0,0,0,0.0,0.9033920155259484,0.9033920155259484
0.1,25,67,0,0,0,0.0,0.9020574729969262,0.9020574729969262
0.1,26,68,0,0,0,0.0,0.9027100046502938,0.9027100046502938
0.1,27,69,0,0,0,0.0,0.9011949261150858,0.9011949261150858
0.1,28,70,0,0,0,0.0,0.9011111093809822,0.9011111093809822
0.1,29,71,0,0,0,0.0,0.9018901265944901,0.9018901265944901
0.15,0,42,0,0,0,0.0,0.9027712715982543,0.9027712715982543
0.15,1,43,0,0,0,0.0,0.9057424383751338,0.9057424383751338
0.15,2,44,0,0,0,0.0,0.902752453406518,0.902752453406518
0.15,3,45,0,0,0,0.0,0.9030288670213305,0.9030288670213305
0.15,4,46,0,0,0,0.0,0.8989821572241513,0.8989821572241513
0.15,5,47,0,0,0,0.0,0.9019282378948595,0.9019282378948595
0.15,6,48,0,0,0,0.0,0.9011844018485304,0.9011844018485304
0.15,7,49,0,0,0,0.0,0.9028944107719874,0.9028944107719874
0.15,8,50,0,0,0,0.0,0.900918056769879,0.900918056769879
0.15,9,51,0,0,0,0.0,0.8996194240383287,0.8996194240383287
