test_group,label,run_index,seed,disturbance_coupling,cognition_coupling,node_a_injection,trust_coupling,node_a_final_stability,node_b_final_stability,node_a_stability_rate,node_b_stability_rate,node_a_failure,node_b_failure,node_a_recovered,node_b_recovered,node_a_final_trust,node_b_final_trust,propagated_breach,propagated_failure,synchronization_correlation,avg_stability_gap,simultaneous_breach,coupling_delay
test_a_t_coupling_threshold,threshold_t_0.00,0,42,0.05,0.05,0.48,0.0,0.9999999999999956,0.8900665328686999,1.0,1.0,0,0,0,0,0.9654907489933042,0.7216433581019391,0,0,-0.07479532672571045,0.08269177743634,0,
test_a_t_coupling_threshold,threshold_t_0.00,1,43,0.05,0.05,0.48,0.0,0.983966316959534,0.8740659050778137,1.0,0.96,0,0,0,1,0.8674586545824278,0.7447119369765642,1,0,0.044066996938206086,0.08494810727721026,0,
test_a_t_coupling_threshold,threshold_t_0.00,2,44,0.05,0.05,0.48,0.0,0.9999402715314328,0.9906039974578589,1.0,1.0,0,0,0,0,0.9137764114390147,0.8723199172411901,0,0,0.027574914139931725,0.07887811967609383,0,
test_a_t_coupling_threshold,threshold_t_0.00,3,45,0.05,0.05,0.48,0.0,0.9999999999999989,0.9999506351059796,1.0,0.96,0,0,0,1,1.0,0.9509722852044799,1,0,0.013019429305948136,0.08554702764805251,0,
test_a_t_coupling_threshold,threshold_t_0.00,4,46,0.05,0.05,0.48,0.0,0.9999999988311149,0.903756732285854,1.0,0.95,0,0,0,1,1.0,0.7988743451321346,1,0,0.008963306243048457,0.06794935028569843,0,
test_a_t_coupling_threshold,threshold_t_0.00,5,47,0.05,0.05,0.48,0.0,0.9999999999721563,0.8682365434688069,1.0,1.0,0,0,0,0,1.0,0.7181943765796442,0,0,-0.5109832913591517,0.08816788816257053,0,
test_a_t_coupling_threshold,threshold_t_0.00,6,48,0.05,0.05,0.48,0.0,0.9999999999983938,0.9995953023814628,1.0,0.7,0,0,0,1,0.9892780800152994,0.8974647503909903,1,0,-0.16107513144653848,0.14022290406134474,0,
test_a_t_coupling_threshold,threshold_t_0.00,7,49,0.05,0.05,0.48,0.0,0.9999999999999974,0.9038776355861917,1.0,0.98,0,0,0,1,0.9970779619424825,0.7658963442306771,1,0,0.038759803623686244,0.0780561972404262,0,
test_a_t_coupling_threshold,threshold_t_0.00,8,50,0.05,0.05,0.48,0.0,0.9999999999983206,0.7126952942021006,1.0,0.64,0,1,0,1,1.0,0.5400240833984364,1,1,-0.2067416083415969,0.17393039399922802,0,
test_a_t_coupling_threshold,threshold_t_0.00,9,51,0.05,0.05,0.48,0.0,0.9999999692569957,0.8107563574690198,1.0,0.63,0,0,0,1,0.9065597320327227,0.6246023371913644,1,0,0.34439847234397253,0.1410039942351304,0,
test_a_t_coupling_threshold,threshold_t_0.00,10,52,0.05,0.05,0.48,0.0,0.9999999999999987,0.9109878071066081,1.0,1.0,0,0,0,0,1.0,0.7575350783817544,0,0,-0.03051431472006554,0.07518470756047133,0,
test_a_t_coupling_threshold,threshold_t_0.00,11,53,0.05,0.05,0.48,0.0,0.9999999999999967,0.9990853576741459,1.0,0.9,0,0,0,1,0.9717677135023284,0.9844046734107879,1,0,-0.05252455725812985,0.07134740353853176,0,
test_a_t_coupling_threshold,threshold_t_0.00,12,54,0.05,0.05,0.48,0.0,0.999613572914664,0.9997953786395064,1.0,1.0,0,0,0,0,0.8919960129232736,0.9381744618929334,0,0,0.35628336270479477,0.02936360799517842,0,
test_a_t_coupling_threshold,threshold_t_0.00,13,55,0.05,0.05,0.48,0.0,0.9999999981438714,0.9975410452363821,1.0,1.0,0,0,0,0,1.0,0.9516638069322896,0,0,0.4727084761976032,0.026570316359872104,0,
test_a_t_coupling_threshold,threshold_t_0.00,14,56,0.05,0.05,0.48,0.0,0.9999999999999961,0.8846166798358909,1.0,1.0,0,0,0,0,0.9673177827858492,0.7008143445750799,0,0,0.1269783478596932,0.07399725894632866,0,
