run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,scale-free,300,True,True,0.895,1.0,1.0,6,7,0.863,0.0,2,0,0.0,none,0,0,0
2,43,scale-free,300,True,True,0.847,1.0,1.0,4,5,0.882,0.333,3,1,0.0,none,0,0,0
3,44,scale-free,300,True,True,0.946,1.0,1.0,9,10,0.7,0.0,0,0,0.0,none,0,0,0
4,45,scale-free,300,True,True,0.953,1.0,1.0,3,4,0.922,0.0,1,0,0.0,none,0,0,0
5,46,scale-free,300,True,True,0.901,1.0,1.0,6,7,0.846,1.0,1,1,0.0,none,0,0,0
6,47,scale-free,300,True,True,0.779,1.0,1.0,7,8,0.84,0.167,6,1,0.0,none,0,0,0
7,48,scale-free,300,True,True,0.915,1.0,1.0,8,9,0.824,0.0,2,0,0.0,none,0,0,0
8,49,scale-free,300,True,True,0.97,1.0,1.0,0,1,1.0,0.0,0,0,0.0,none,0,0,0
9,50,scale-free,300,True,True,0.95,1.0,1.0,4,5,0.882,0.0,0,0,0.0,none,0,0,0
10,51,scale-free,300,True,True,0.924,1.0,1.0,7,8,0.788,0.0,1,0,0.0,none,0,0,0
11,52,scale-free,300,True,True,0.985,1.0,1.0,4,5,0.824,0.0,0,0,0.0,none,0,0,0
12,53,scale-free,300,True,True,0.87,1.0,1.0,8,9,0.74,0.0,4,0,0.0,none,0,0,0
13,54,scale-free,300,True,True,0.982,1.0,1.0,5,6,0.84,0.0,0,0,0.0,none,0,0,0
14,55,scale-free,300,True,True,0.861,1.0,1.0,3,4,0.922,0.25,4,1,0.0,none,0,0,0
15,56,scale-free,300,True,True,0.898,1.0,1.0,3,4,0.898,0.0,1,0,0.0,none,0,0,0
16,57,scale-free,300,True,True,0.972,1.0,1.0,2,3,0.94,0.0,1,0,0.0,none,0,0,0
17,58,scale-free,300,True,True,0.986,1.0,1.0,5,6,0.88,0.0,0,0,0.0,none,0,0,0
18,59,scale-free,300,True,True,0.966,1.0,1.0,4,5,0.889,0.0,1,0,0.0,none,0,0,0
19,60,scale-free,300,True,True,0.969,1.0,1.0,2,3,0.96,0.0,1,0,0.0,none,0,0,0
20,61,scale-free,300,True,True,0.908,1.0,1.0,8,9,0.8,0.5,2,1,0.0,none,0,0,0
