step,avg_trust,avg_disturbance,avg_stability,avg_cognitive_distortion,avg_intervention_total,stability_share,avg_node_stability_variance
0,0.7633205259523943,0.19796802187152682,0.8660402573788434,0.1921050322895964,0.0,1.0,0.00010275478552230889
1,0.7205325842093402,0.21815636885778925,0.8664346979309941,0.2234773387468035,0.0,1.0,0.00027574725539567576
2,0.6753514828265201,0.23184414987633997,0.8989379558282954,0.2536952555488193,0.8,1.0,0.0003934303826507573
3,0.6644534175610193,0.23636338641906882,0.9045002141969904,0.2670879348940452,1.0,1.0,0.0009297920227585724
4,0.672344804627029,0.2117237106456784,0.8982171828209515,0.2636012759023407,1.0,0.95,0.00148025894241014
5,0.6923350054096775,0.20198157209673565,0.891323804654469,0.2567254644656711,0.9999999999999999,0.93,0.0019266395178052765
6,0.703096344535691,0.2075819484001639,0.8899427154297882,0.2383898513297201,1.0,0.93,0.0022773720950218955
7,0.697363195562741,0.20670030255373448,0.897730280219835,0.22855592204429068,1.0,0.93,0.002747681492095412
8,0.67832760496934,0.21008884106457126,0.909618472075934,0.2179105632251527,1.0,0.93,0.0028050907075230767
9,0.6611713801962871,0.2151607959257884,0.9142552832938005,0.2188166688581893,0.9845999999999999,0.95,0.003032332250049361
10,0.6578639658793513,0.21519550613548044,0.9101838611703793,0.213449790723418,0.9725879999999999,0.94,0.003156962169787521
11,0.6714130894547345,0.19957384184015964,0.90291895644619,0.21083866008805724,0.9737276,0.92,0.0030148200836290127
12,0.6844019876622898,0.19929751465636147,0.8990766484639678,0.20910907847122195,0.968507528,0.89,0.002970159930888341
13,0.6899172367961866,0.17530187920873563,0.9063458118402486,0.20168702762947027,1.0,0.93,0.003169442081017071
14,0.6827186699593472,0.20170082384587473,0.9108679552743609,0.197333756311029,0.9823999999999999,0.89,0.00363324204222581
15,0.6692993173027797,0.21095749150429022,0.912561663426335,0.1925965186048415,0.9804200000000001,0.9,0.004301892879820539
16,0.6611114198028594,0.19625003995146847,0.9152213336424495,0.19248635456829316,0.9837455199999999,0.91,0.004443953807532488
