label,run_index,seed,disturbance_coupling,cognition_coupling,node_a_final_stability,node_b_final_stability,node_a_stability_rate,node_b_stability_rate,node_a_failure,node_b_failure,node_a_recovered,node_b_recovered,node_a_final_trust,node_b_final_trust,propagated_breach,propagated_failure,synchronization_correlation,avg_stability_gap,simultaneous_breach
coupling_sweep_k_0.05,0,42,0.05,0.05,0.9999999999999956,0.8900665328686999,1.0,1.0,0,0,0,0,0.9654907489933042,0.7216433581019391,0,0,-0.07479532672571045,0.08269177743634,0
coupling_sweep_k_0.05,1,43,0.05,0.05,0.983966316959534,0.8740659050778137,1.0,0.96,0,0,0,1,0.8674586545824278,0.7447119369765642,1,0,0.044066996938206086,0.08494810727721026,0
coupling_sweep_k_0.05,2,44,0.05,0.05,0.9999402715314328,0.9906039974578589,1.0,1.0,0,0,0,0,0.9137764114390147,0.8723199172411901,0,0,0.027574914139931725,0.07887811967609383,0
coupling_sweep_k_0.05,3,45,0.05,0.05,0.9999999999999989,0.9999506351059796,1.0,0.96,0,0,0,1,1.0,0.9509722852044799,1,0,0.013019429305948136,0.08554702764805251,0
coupling_sweep_k_0.05,4,46,0.05,0.05,0.9999999988311149,0.903756732285854,1.0,0.95,0,0,0,1,1.0,0.7988743451321346,1,0,0.008963306243048457,0.06794935028569843,0
coupling_sweep_k_0.05,5,47,0.05,0.05,0.9999999999721563,0.8682365434688069,1.0,1.0,0,0,0,0,1.0,0.7181943765796442,0,0,-0.5109832913591517,0.08816788816257053,0
coupling_sweep_k_0.05,6,48,0.05,0.05,0.9999999999983938,0.9995953023814628,1.0,0.7,0,0,0,1,0.9892780800152994,0.8974647503909903,1,0,-0.16107513144653848,0.14022290406134474,0
coupling_sweep_k_0.05,7,49,0.05,0.05,0.9999999999999974,0.9038776355861917,1.0,0.98,0,0,0,1,0.9970779619424825,0.7658963442306771,1,0,0.038759803623686244,0.0780561972404262,0
coupling_sweep_k_0.05,8,50,0.05,0.05,0.9999999999983206,0.7126952942021006,1.0,0.64,0,1,0,1,1.0,0.5400240833984364,1,1,-0.2067416083415969,0.17393039399922802,0
coupling_sweep_k_0.05,9,51,0.05,0.05,0.9999999692569957,0.8107563574690198,1.0,0.63,0,0,0,1,0.9065597320327227,0.6246023371913644,1,0,0.34439847234397253,0.1410039942351304,0
coupling_sweep_k_0.05,10,52,0.05,0.05,0.9999999999999987,0.9109878071066081,1.0,1.0,0,0,0,0,1.0,0.7575350783817544,0,0,-0.03051431472006554,0.07518470756047133,0
coupling_sweep_k_0.05,11,53,0.05,0.05,0.9999999999999967,0.9990853576741459,1.0,0.9,0,0,0,1,0.9717677135023284,0.9844046734107879,1,0,-0.05252455725812985,0.07134740353853176,0
coupling_sweep_k_0.05,12,54,0.05,0.05,0.999613572914664,0.9997953786395064,1.0,1.0,0,0,0,0,0.8919960129232736,0.9381744618929334,0,0,0.35628336270479477,0.02936360799517842,0
coupling_sweep_k_0.05,13,55,0.05,0.05,0.9999999981438714,0.9975410452363821,1.0,1.0,0,0,0,0,1.0,0.9516638069322896,0,0,0.4727084761976032,0.026570316359872104,0
coupling_sweep_k_0.05,14,56,0.05,0.05,0.9999999999999961,0.8846166798358909,1.0,1.0,0,0,0,0,0.9673177827858492,0.7008143445750799,0,0,0.1269783478596932,0.07399725894632866,0
coupling_sweep_k_0.05,15,57,0.05,0.05,0.9945275410370205,0.9999998930163911,1.0,1.0,0,0,0,0,0.8535087032982467,0.9454945062149112,0,0,0.24984786524227964,0.03263302584671865,0
coupling_sweep_k_0.05,16,58,0.05,0.05,0.9999999999999989,0.9784449021948046,1.0,0.8,0,0,0,1,1.0,0.8851376143633444,1,0,-0.21993353552871303,0.1235306002690449,0
coupling_sweep_k_0.05,17,59,0.05,0.05,0.9999890550915588,0.9895994029014785,1.0,1.0,0,0,0,0,1.0,0.8800448249128087,0,0,0.27216585369706503,0.0636609559075928,0
coupling_sweep_k_0.05,18,60,0.05,0.05,0.9999999999993823,0.7306848255172709,1.0,0.94,0,1,0,0,0.9345355946417054,0.5346628886577784,1,1,-0.10468409137012219,0.09349886023742451,0
coupling_sweep_k_0.05,19,61,0.05,0.05,0.999999131454715,0.9543259863073279,1.0,1.0,0,0,0,0,1.0,0.8098946841997448,0,0,-0.10136606260942904,0.08922782295017008,0
coupling_sweep_k_0.20,0,42,0.2,0.2,0.9745419125294468,0.5910198215049435,1.0,0.11,0,1,0,0,0.7874436939059569,0.33433760942454616,1,1,-0.5396607492249311,0.3204353410583255,0
coupling_sweep_k_0.20,1,43,0.2,0.2,0.8557175744620962,0.5475902451848408,0.98,0.1,0,1,1,0,0.6130975571199541,0.27919495002076156,1,1,0.20319802221434052,0.31550357709975174,1
coupling_sweep_k_0.20,2,44,0.2,0.2,0.8976936392188847,0.6118723650308808,1.0,0.2,0,1,0,0,0.7335952778829876,0.38088199683132423,1,1,0.5090167550581582,0.31124978931728486,0
coupling_sweep_k_0.20,3,45,0.2,0.2,0.9840884147713899,0.7462837301402623,1.0,0.14,0,1,0,0,0.8265895543573842,0.560684564105854,1,1,0.5000789279420178,0.31606120129377563,0
coupling_sweep_k_0.20,4,46,0.2,0.2,0.9505514124749411,0.515719165141664,0.97,0.1,0,1,1,0,0.7986181052594583,0.2588686738027401,1,1,0.3397380869053255,0.27896435262966496,1
coupling_sweep_k_0.20,5,47,0.2,0.2,0.9331042196859678,0.49557248582186003,1.0,0.11,0,1,0,0,0.7631613121797015,0.20548340637401913,1,1,-0.24597579830259553,0.33230396526137235,0
coupling_sweep_k_0.20,6,48,0.2,0.2,0.9259214087034934,0.6652164774589666,1.0,0.11,0,1,0,0,0.7663598849705556,0.44484099009655803,1,1,0.5989159904618534,0.372246699984321,0
coupling_sweep_k_0.20,7,49,0.2,0.2,0.9440539609687066,0.5389851238642568,1.0,0.09,0,1,0,0,0.7727363878626861,0.2764026847706912,1,1,0.26997287669149334,0.297170287164301,0
coupling_sweep_k_0.20,8,50,0.2,0.2,0.9645686687590417,0.3637191690548535,1.0,0.11,0,1,0,0,0.8291559555672781,0.0307472094455917,1,1,0.5356296972241532,0.3849763295347519,0
coupling_sweep_k_0.20,9,51,0.2,0.2,0.8449638196537546,0.42224555429611277,0.87,0.08,0,1,1,0,0.7225705406914674,0.07752817699552819,1,1,0.6642373791243386,0.3720825104853872,1
coupling_sweep_k_0.20,10,52,0.2,0.2,0.9990031853385204,0.5558580566580551,1.0,0.21,0,1,0,1,0.8613258495189875,0.3000997867281335,1,1,0.12328544889334868,0.3052096202817787,0
coupling_sweep_k_0.20,11,53,0.2,0.2,0.9259541067181508,0.7278268596252296,1.0,0.18,0,1,0,0,0.77393649661015,0.550469578419496,1,1,0.06307317300916344,0.296983295528283,0
coupling_sweep_k_0.20,12,54,0.2,0.2,0.8842747391950563,0.7286735319975844,1.0,0.33,0,1,0,1,0.6960499827642525,0.5263180988228429,1,1,0.10937867018080098,0.21588345142863055,0
coupling_sweep_k_0.20,13,55,0.2,0.2,0.9494921570074236,0.720856477649221,1.0,0.17,0,1,0,1,0.7922161096788026,0.5474959378402721,1,1,0.3234111842109497,0.21400687856845704,0
coupling_sweep_k_0.20,14,56,0.2,0.2,0.8857531250341022,0.565303535648599,1.0,0.08,0,1,0,0,0.7265369000527706,0.27472125138145076,1,1,-0.05472626936241878,0.3051224905345569,0
coupling_sweep_k_0.20,15,57,0.2,0.2,0.883478375853579,0.6842615854881435,1.0,0.19,0,1,0,1,0.7687099502925482,0.47244889052769024,1,1,-0.13570142184061923,0.2106313382385222,0
coupling_sweep_k_0.20,16,58,0.2,0.2,0.9941362949143341,0.5962276113512724,1.0,0.14,0,1,0,0,0.8382455682462505,0.3830315508676072,1,1,0.3325567600904592,0.38088118845017654,0
coupling_sweep_k_0.20,17,59,0.2,0.2,0.9988367929619952,0.6468509404407017,1.0,0.06,0,1,0,0,0.8973197355845195,0.4461670465323016,1,1,0.0517772750512876,0.2897159016696753,0
coupling_sweep_k_0.20,18,60,0.2,0.2,0.826601138693389,0.3484001189335396,1.0,0.23,0,1,0,0,0.6770545198873197,0.0,1,1,0.37007125899586113,0.3188416779717264,0
coupling_sweep_k_0.20,19,61,0.2,0.2,0.9974398867536836,0.6119566067010991,1.0,0.18,0,1,0,0,0.8553982318842285,0.3795142002101866,1,1,0.43775427422450225,0.33508118081187066,0
coupling_sweep_k_0.50,0,42,0.5,0.5,0.24331764392517208,0.1965248300139175,0.05,0.05,1,1,0,0,0.0,0.0,1,1,0.9714049858761407,0.061421357975617825,1
coupling_sweep_k_0.50,1,43,0.5,0.5,0.22359455702430184,0.21288504633920008,0.05,0.04,1,1,0,0,0.0,0.0,1,1,0.9677239139102904,0.057905891241014536,1
coupling_sweep_k_0.50,2,44,0.5,0.5,0.2547824663459009,0.21378882303424002,0.09,0.05,1,1,0,0,0.0,0.0,1,1,0.9681846864921375,0.06333107715633063,1
coupling_sweep_k_0.50,3,45,0.5,0.5,0.2606947377643517,0.21112257234312773,0.09,0.05,1,1,0,0,0.0,0.0,1,1,0.9673411420495611,0.06661475255366345,1
coupling_sweep_k_0.50,4,46,0.5,0.5,0.2575473315839949,0.21206456355982514,0.08,0.05,1,1,0,0,0.0,0.0,1,1,0.9500625906213378,0.06933285782992848,1
coupling_sweep_k_0.50,5,47,0.5,0.5,0.2536603423747781,0.2089637030039225,0.06,0.05,1,1,0,0,0.0,0.0,1,1,0.9872406425956618,0.04801324185528131,1
coupling_sweep_k_0.50,6,48,0.5,0.5,0.2520606687535002,0.21216494493580298,0.08,0.05,1,1,0,0,0.0,0.0,1,1,0.9442009444988747,0.06839086156846205,1
coupling_sweep_k_0.50,7,49,0.5,0.5,0.25229521725847215,0.21063519055620603,0.06,0.04,1,1,0,0,0.0,0.0,1,1,0.9567717216903745,0.06263456182746087,1
coupling_sweep_k_0.50,8,50,0.5,0.5,0.26553594037368167,0.20938672460561406,0.08,0.04,1,1,0,0,0.0,0.0,1,1,0.954877006596001,0.07195894678619191,1
coupling_sweep_k_0.50,9,51,0.5,0.5,0.25465015785073614,0.20621973482576897,0.06,0.03,1,1,0,0,0.0,0.0,1,1,0.9734354686248806,0.05618123947000229,1
coupling_sweep_k_0.50,10,52,0.5,0.5,0.2587756503552505,0.20607100587731356,0.08,0.06,1,1,0,0,0.0,0.0,1,1,0.9723505428299584,0.06475099087748486,1
coupling_sweep_k_0.50,11,53,0.5,0.5,0.2537791630231382,0.21399311086429332,0.05,0.05,1,1,0,0,0.0,0.0,1,1,0.9511726231310591,0.06417130552122456,1
coupling_sweep_k_0.50,12,54,0.5,0.5,0.24926994187662746,0.2108392556698289,0.07,0.05,1,1,0,0,0.0,0.0,1,1,0.9801863283995671,0.054552968527267175,1
coupling_sweep_k_0.50,13,55,0.5,0.5,0.25321583831293487,0.220502735026321,0.07,0.05,1,1,0,0,0.0,0.0,1,1,0.9377263587535706,0.06758917498438338,1
coupling_sweep_k_0.50,14,56,0.5,0.5,0.24923365897257352,0.20688443185482172,0.06,0.05,1,1,0,0,0.0,0.0,1,1,0.9647835043991974,0.06026684837259568,1
coupling_sweep_k_0.50,15,57,0.5,0.5,0.2505271441173565,0.21616824260788092,0.03,0.04,1,1,0,0,0.0,0.0,1,1,0.9653697550666523,0.052076255178857,1
coupling_sweep_k_0.50,16,58,0.5,0.5,0.2558574694271353,0.21922483311878593,0.11,0.06,1,1,0,0,0.0,0.0,1,1,0.9480910518067023,0.07292807376431255,1
coupling_sweep_k_0.50,17,59,0.5,0.5,0.26143647834262324,0.2149478604439855,0.03,0.03,1,1,0,0,0.0,0.0,1,1,0.9534296827730208,0.057577320033587405,1
