step,avg_trust,avg_trust_filtered,avg_disturbance,avg_disturbance_filtered,avg_stability,avg_cognitive_distortion,avg_cognitive_distortion_filtered,avg_disturbance_damping,avg_cognitive_filtering,avg_trust_recovery,avg_reinforcement,avg_intervention_total,stability_share,shock_share
0,0.7597974009560763,0.7597974009560763,0.20755080994410635,0.20755080994410635,0.891910727518402,0.1916205787738902,0.1916205787738902,0.0,0.0,0.0,0.8,0.8,1.0,0.1
1,0.7203464165735006,0.7203464165735006,0.21163379811152097,0.21163379811152097,0.9158506360040064,0.20671487173538422,0.20671487173538422,0.11235955056179774,0.11235955056179774,0.0,0.5496808988764046,0.7744000000000001,1.0,0.05
2,0.6846616673000673,0.6846616673000673,0.20213354776624026,0.20213354776624026,0.9220531914384698,0.21429723587462385,0.21429723587462385,0.1584507896266829,0.1584507896266829,0.0,0.40078642074663423,0.7176880000000001,1.0,0.1
3,0.6492688613423161,0.6492688613423161,0.209991469352792,0.209991469352792,0.9133136394599075,0.2251769789774929,0.2251769789774929,0.1861772179932384,0.1861772179932384,0.0,0.30007596401352327,0.6724304,1.0,0.15
4,0.6219661301002468,0.6219661301002468,0.18552562506456566,0.18552562506456566,0.899096034268674,0.21397601936961136,0.21397601936961136,0.2656416096126325,0.2656416096126325,0.0,0.216771625574735,0.7480548448,1.0,0.05
5,0.6005621387092758,0.6005621387092758,0.17246313076875652,0.17246313076875652,0.8830811901219852,0.20043833383291929,0.20043833383291929,0.27433290441282354,0.27433290441282354,0.0,0.16161314464635293,0.710278953472,0.95,0.05
6,0.5845303323533887,0.5845303323533887,0.15995089028863418,0.15995089028863418,0.8670077858561905,0.18662244010802945,0.18662244010802945,0.2963558779562208,0.2963558779562208,0.0,0.11670729995571842,0.70941905586816,0.95,0.1
7,0.5722806096977868,0.5722806096977868,0.15238120864942342,0.15238120864942342,0.8524212328693718,0.17588585569519222,0.17588585569519222,0.27740385178564647,0.27740385178564647,0.0,0.0868115600058719,0.6416192635771648,0.9,0.05
8,0.5627670757836494,0.5627670757836494,0.1514715132563335,0.1514715132563335,0.8425752161988852,0.162463691810843,0.162463691810843,0.24485688439486064,0.3072949743972902,0.0,0.12749256695803773,0.6796444257501886,0.85,0.0
9,0.5524309122868611,0.5524309122868611,0.1627254234764967,0.1627254234764967,0.8364131237035031,0.16065608064880568,0.16065608064880568,0.2497634076352099,0.3743714471002746,0.0,0.17367754579446257,0.7978124005299471,0.8,0.1
10,0.5430780775974938,0.5430780775974938,0.16787307958013542,0.16787307958013542,0.832928044972487,0.15248890811330712,0.15248890811330712,0.2142215521430908,0.38000293595669904,0.0,0.21891948226790464,0.8131439703676945,0.7,0.1
11,0.5363409589775996,0.5363409589775996,0.16378188690449128,0.16378188690449128,0.8302979861962901,0.14238142089480096,0.14238142089480096,0.17352319589336188,0.40188585450729086,0.0,0.22169564648614903,0.7971046968868017,0.7,0.05
12,0.5299550392246748,0.5299550392246748,0.16067050343472472,0.16067050343472472,0.8306304703256092,0.14809468737634088,0.14809468737634088,0.1708902827893786,0.3509695200055746,0.0,0.2744832609367521,0.7963430637317053,0.65,0.0
13,0.5273875184633536,0.5273875184633536,0.14749045667004831,0.14749045667004831,0.8285681466381284,0.13810537130116216,0.13810537130116216,0.15430878343159626,0.39398788118175415,0.0,0.22477579709737974,0.7730724617107302,0.65,0.0
14,0.5219800256425885,0.5219800256425885,0.1739152655171316,0.1739152655171316,0.8248002278453953,0.12825040717463138,0.12825040717463138,0.13199612746157574,0.43121378587386816,0.0,0.22162395079892558,0.7848338641343695,0.65,0.1
15,0.5174405577112902,0.5174405577112902,0.17516149556661148,0.17516149556661148,0.8211702278219353,0.12296022157694489,0.12296022157694489,0.12650091359265644,0.46868886127275494,0.0,0.21622553112419682,0.8114153059896083,0.65,0.1
16,0.5161582396400819,0.5161582396400819,0.16066930538433377,0.16066930538433377,0.8200010354575344,0.11816653827343108,0.11816653827343108,0.11984958072676273,0.4936511060548369,0.0,0.22493608341043275,0.8384367701920323,0.55,0.0
17,0.5114511255180237,0.5114511255180237,0.17849789579913364,0.17849789579913364,0.8156765016885817,0.12378993019158516,0.12378993019158516,0.08949806621850785,0.4632123534855361,0.0,0.20643026104574128,0.7591406807497852,0.5,0.05
