run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,small-world,300,True,True,0.843,1.0,1.0,2,3,0.962,0.25,4,1,0.0,none,0,0,0
2,43,small-world,300,True,True,0.957,1.0,1.0,1,2,0.96,0.0,1,0,0.0,none,0,0,0
3,44,small-world,300,True,True,0.936,1.0,1.0,2,3,0.96,0.0,2,0,0.0,none,0,0,0
4,45,small-world,300,True,True,0.867,1.0,1.0,0,1,1.0,0.75,4,3,0.0,none,0,0,0
5,46,small-world,300,True,True,0.917,1.0,1.0,2,3,0.667,0.333,3,1,0.0,none,0,0,0
6,47,small-world,300,True,True,0.859,1.0,1.0,3,4,0.78,0.333,3,1,0.0,none,0,0,0
7,48,small-world,300,True,True,0.92,1.0,1.0,1,2,0.981,0.0,1,0,0.0,none,0,0,0
8,49,small-world,300,True,True,0.943,1.0,1.0,4,5,0.686,0.0,1,0,0.0,none,0,0,0
9,50,small-world,300,True,True,0.967,1.0,1.0,2,3,0.868,0.0,0,0,0.0,none,0,0,0
10,51,small-world,300,True,True,0.848,1.0,1.0,1,2,0.98,0.75,4,3,0.0,none,0,0,0
11,52,small-world,300,True,True,0.942,1.0,1.0,1,2,0.98,0.0,1,0,0.0,none,0,0,0
12,53,small-world,300,True,True,0.949,1.0,1.0,1,2,0.98,0.0,1,0,0.0,none,0,0,0
13,54,small-world,300,True,True,0.957,1.0,1.0,1,2,0.54,0.0,0,0,0.0,none,0,0,0
14,55,small-world,300,True,True,0.815,1.0,1.0,0,1,1.0,0.4,5,2,0.0,none,0,0,0
15,56,small-world,300,True,True,0.942,1.0,1.0,1,2,0.54,0.0,0,0,0.0,none,0,0,0
16,57,small-world,300,True,True,0.957,1.0,1.0,1,2,0.98,0.0,2,0,0.0,none,0,0,0
17,58,small-world,300,True,True,0.95,1.0,1.0,1,2,0.98,0.0,0,0,0.0,none,0,0,0
18,59,small-world,300,True,True,0.969,1.0,1.0,3,4,0.7,0.0,0,0,0.0,none,0,0,0
19,60,small-world,300,True,True,0.925,1.0,1.0,0,1,1.0,0.0,1,0,0.0,none,0,0,0
20,61,small-world,300,True,True,0.957,1.0,1.0,2,3,0.804,0.0,1,0,0.0,none,0,0,0
