disturbance_level,coupling_delay,trust_coupling,node_a_final_stability,node_b_final_stability,node_a_stability_rate,node_b_stability_rate,node_a_failure,node_b_failure,node_a_recovered,node_b_recovered,propagated_breach,propagated_failure,synchronization_correlation,avg_stability_gap,simultaneous_breach,node_a_final_trust,node_b_final_trust
0.2,0,0.0,0.9310089802056462,0.5842249427032292,0.991,0.146,0.0,1.0,0.15,0.2,1.0,1.0,0.23618462770253373,0.30844742154659066,0.15,0.7750062647635578,0.3364657703863
0.2,0,0.01,0.950455041079141,0.6619461847778939,0.9945,0.223,0.0,0.8,0.05,0.4,1.0,0.8,0.20784546012060862,0.2642774721837986,0.05,0.8159692931955487,0.4629879420044801
0.2,0,0.02,0.9766923523677867,0.7458987397946897,0.9955,0.41500000000000004,0.0,0.65,0.05,0.55,1.0,0.65,0.08718541070683532,0.21374683885030693,0.05,0.8992094247179455,0.5984160086235124
0.2,0,0.05,0.9975914601833882,0.9402324888823875,1.0,0.9365,0.0,0.1,0.0,0.25,0.35,0.1,0.2462205171361906,0.06070179854416956,0.0,0.9919919640640463,0.9254043495042129
0.2,0,0.1,0.9981842450053489,0.9795008069042487,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5756277097730431,0.019695120477711322,0.0,0.999681555411503,0.999738399583044
0.2,0,0.2,0.9981862644460705,0.9815946857573182,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.596321956620596,0.018361227484371044,0.0,1.0,1.0
0.2,1,0.0,0.8638586563592595,0.3781801972106206,0.874,0.1155,0.2,1.0,0.7,0.0,1.0,1.0,0.5524074662468557,0.40411992620840753,0.7,0.7100170695887551,0.05567173392445403
0.2,1,0.01,0.8690906381639447,0.4127502355946855,0.8960000000000001,0.1305,0.15,1.0,0.6,0.0,1.0,1.0,0.5975380270035026,0.3805009135742755,0.65,0.7173931059212157,0.1158959672357387
0.2,1,0.02,0.8803120726437095,0.46359163624613114,0.9305,0.1565,0.15,1.0,0.5,0.1,1.0,1.0,0.6039423892659272,0.34720119097301066,0.55,0.7333776912022233,0.20372355739129247
0.2,1,0.05,0.9805802192680263,0.7745495347046258,0.9855,0.534,0.0,0.5,0.05,0.75,0.95,0.5,0.03445286553845578,0.18218664419975256,0.05,0.9545026269297191,0.705261573459657
