step,avg_cooperation_level,avg_average_trust,avg_ai_capability,avg_governance_capacity,avg_disturbance,avg_effective_disturbance,avg_distortion_trust_damage,avg_effective_info,stable_share
0,0.85793114946766,0.7840096499200001,0.509818789,0.5219227264992,0.11000000000000001,0.06599999999999999,0.0021383999999999995,0.6425052000000001,1.0
1,0.8636356337403879,0.7570707840276352,0.5194447609734718,0.560746360415808,0.11000000000000001,0.06599999999999999,0.0021383999999999995,0.6425052000000001,1.0
2,0.8645826620337266,0.753278574502403,0.5288718929206823,0.5700002809287741,0.16999999999999998,0.10200000000000001,0.0033047999999999992,0.6411444000000001,1.0
3,0.8698377171591467,0.7527307566879035,0.5381282487193135,0.589524653732034,0.08,0.049,0.0015875999999999998,0.6431478,0.95
4,0.8680156664318123,0.7051947890498371,0.5472051003910237,0.626245924599175,0.065,0.039999999999999994,0.0012959999999999998,0.6434880000000001,0.95
5,0.8744130917682676,0.7198883335535087,0.5561035706361832,0.6586576240322188,0.065,0.039999999999999994,0.0012959999999999998,0.6434880000000001,0.95
6,0.87314213302647,0.6861265872698129,0.5648271653085407,0.6983462129294515,0.065,0.039999999999999994,0.0012959999999999998,0.6434880000000001,0.95
7,0.8692050006290669,0.6667437043836223,0.5733815417886191,0.7041275365494715,0.05,0.031,0.0010043999999999997,0.6438282000000001,0.95
8,0.8669336045851361,0.6589664169275395,0.5817631650940381,0.7180238962406306,0.08,0.05,0.00162,0.6431100000000001,0.9
9,0.8635404829329125,0.663836007338643,0.5899820147434064,0.7266433678999011,0.065,0.041999999999999996,0.0013608,0.6434124000000001,0.85
10,0.8598637265495223,0.6537218733467444,0.5980288922805317,0.7385695055628532,0.13999999999999999,0.087,0.0028187999999999998,0.6417114,0.85
11,0.8611942535528774,0.656521795387723,0.6059192126894113,0.7502822066077554,0.11000000000000001,0.08099999999999999,0.0026244,0.6419382,0.85
12,0.8661576599256315,0.6613724004216226,0.6136615798731598,0.7716356246111196,0.08,0.05,0.00162,0.6431100000000001,0.9
13,0.8638669540201951,0.6425855683604247,0.6212538068713801,0.7834499848707589,0.065,0.040999999999999995,0.0013283999999999998,0.6434502,0.9
14,0.8596258068601059,0.6456973099008892,0.6286875992787962,0.7874610165828656,0.125,0.08399999999999999,0.0027216,0.6418248,0.85
15,0.8631488776223077,0.663095953616329,0.6359843281526885,0.7987739124590869,0.065,0.041999999999999996,0.0013608,0.6434124000000001,0.85
16,0.8592361887920023,0.6288721183335831,0.6431277590218021,0.8111699373550693,0.125,0.09,0.0029159999999999993,0.641598,0.85
17,0.8465475134850685,0.5634871614462138,0.6501389006732836,0.8121009518647343,0.08,0.051000000000000004,0.0016523999999999996,0.6430722,0.85
18,0.8455917769977421,0.5712561009627611,0.6570067470122307,0.8240401634689688,0.125,0.079,0.0025595999999999995,0.6420138000000001,0.8
19,0.8512856216378282,0.5915106884201136,0.6637446378419404,0.8463583898797576,0.08,0.054000000000000006,0.0017495999999999998,0.6429588,0.7
20,0.8521094026873973,0.5874091783646935,0.6703518828802816,0.8552809843360156,0.065,0.045,0.0014579999999999999,0.6432990000000001,0.7
21,0.8506756045273542,0.5680103368403291,0.6768186438572529,0.8783152168372554,0.13999999999999999,0.10200000000000001,0.0033047999999999992,0.6411444000000001,0.7
22,0.848350913893196,0.5738526462603419,0.6831673413478103,0.8801457971216153,0.08,0.054000000000000006,0.0017495999999999998,0.6429588,0.7
23,0.8450592281054409,0.5804446012871888,0.6893879105685256,0.8781043057658697,0.11000000000000001,0.073,0.0023652,0.6422406,0.65
24,0.8470799145505076,0.5874995388492743,0.695488461254215,0.885245044375527,0.08,0.061,0.0019763999999999997,0.6426942,0.65
25,0.8441558989958639,0.5749192531274767,0.7014671225677142,0.8991962685345826,0.11000000000000001,0.073,0.0023652,0.6422406,0.65
26,0.8464177501757268,0.5941370309936486,0.7073299234844656,0.8969882904820772,0.095,0.064,0.0020735999999999997,0.6425808000000001,0.65
27,0.8393082583699586,0.5637639382225708,0.7130750977558021,0.8955791288481965,0.10999999999999999,0.07899999999999999,0.0025595999999999995,0.6420138000000001,0.65
28,0.8415925805139832,0.572325642894899,0.7187118863087558,0.8947583650801112,0.065,0.052000000000000005,0.0016847999999999998,0.6430344000000001,0.65
29,0.8463177250663602,0.5788572332584043,0.7242320356174028,0.9146513388698745,0.125,0.089,0.0028835999999999996,0.6416358000000001,0.6
30,0.8474730070014651,0.5957620737362865,0.7296422896217403,0.9236676952805898,0.125,0.099,0.0032075999999999993,0.6412578000000001,0.7
31,0.83696492248759,0.5428002681985287,0.7349523787326353,0.9206500222843138,0.08,0.06,0.001944,0.6427320000000001,0.7
32,0.8380688826354998,0.5232619213205554,0.7401602776183148,0.9328022166363737,0.065,0.046,0.0014903999999999998,0.6432612000000001,0.65
33,0.8271210787440069,0.4844955858784642,0.745259806004827,0.9491402591993079,0.125,0.087,0.0028187999999999998,0.6417114,0.7
34,0.8220660582351463,0.47447656379160164,0.7502664750388583,0.945707866713325,0.05,0.037,0.0011987999999999999,0.6436014,0.65
35,0.8219370045347543,0.49222134334243667,0.7551700714946805,0.9452606191676394,0.095,0.06999999999999999,0.002268,0.6423540000000001,0.65
36,0.8180154059738275,0.4798762468902352,0.7599784928427163,0.9419179422144757,0.08,0.062,0.0020088,0.6426564000000001,0.6
37,0.8154127828145359,0.48754441552988836,0.764687986606388,0.9396344778360378,0.125,0.095,0.0030779999999999996,0.6414090000000001,0.6
38,0.8143759398812692,0.4882110208269054,0.7693114796756728,0.9362257880032582,0.065,0.047,0.0015228,0.6432234,0.6
39,0.8110448619512933,0.48969543745554445,0.7738378515142796,0.9314920685504491,0.125,0.095,0.0030779999999999996,0.6414090000000001,0.6
40,0.8108416801212754,0.5120100726848651,0.7782773340355894,0.9273802975367804,0.11000000000000001,0.07999999999999999,0.0025919999999999997,0.641976,0.6
41,0.8128465583332456,0.5331190193922757,0.7826296700168556,0.9256782581649521,0.11000000000000001,0.07999999999999999,0.0025919999999999997,0.641976,0.6
42,0.8141765515338125,0.5179762091902396,0.7868976798788392,0.9270004627270584,0.095,0.071,0.0023003999999999998,0.6423162,0.6
43,0.8124207071131829,0.5152472561528266,0.7910811647740105,0.924467690169419,0.095,0.077,0.0024947999999999997,0.6420894,0.6
44,0.8129400727895989,0.5259122008209902,0.7951850097003489,0.9213198489147011,0.08,0.05600000000000001,0.0018144,0.6428832000000001,0.6
45,0.8154932305121264,0.5114142874068507,0.7992065001931823,0.9248058130372685,0.095,0.071,0.0023003999999999998,0.6423162,0.6
46,0.8235508232397007,0.5357991426820816,0.8031528996897842,0.9308010145136633,0.05,0.037,0.0011987999999999999,0.6436014,0.65
47,0.8233655021576951,0.5330974942428407,0.8070189459868203,0.9274775577710545,0.08,0.062,0.0020088,0.6426564000000001,0.6
48,0.821704877809226,0.5183497863453398,0.8108081887963946,0.9279311460760968,0.095,0.06999999999999999,0.002268,0.6423540000000001,0.65
49,0.8239816695773767,0.5295340579390991,0.8145254959125715,0.9271427163306412,0.065,0.047,0.0015228,0.6432234,0.6
50,0.8252128883119993,0.5392206090905813,0.8181681866664592,0.9272812876569384,0.08,0.062,0.0020088,0.6426564000000001,0.6
51,0.8252119287296384,0.52547440523293,0.8217408821668231,0.9299766076258926,0.065,0.047,0.0015228,0.6432234,0.6
52,0.8285990545202024,0.5245627074320935,0.8252433798429571,0.9344032349209475,0.065,0.047,0.0015228,0.6432234,0.6
53,0.8295583858900416,0.534610538116921,0.8286755728566122,0.9320418591286422,0.08,0.062,0.0020088,0.6426564000000001,0.6
54,0.8269981414923168,0.5292312884531569,0.8320356953730016,0.9318057722403085,0.13999999999999999,0.10999999999999999,0.003564,0.640842,0.6
55,0.8260417806467274,0.5106950797291968,0.8353360119508182,0.9336854262061521,0.065,0.046,0.0014903999999999998,0.6432612000000001,0.65
56,0.8160373002201551,0.4857368616472245,0.8385670921864976,0.9325120964655005,0.125,0.093,0.0030131999999999997,0.6414846000000001,0.7
57,0.8213923473331993,0.498871141544614,0.8417383421560529,0.9386348387568276,0.08,0.054000000000000006,0.0017495999999999998,0.6429588,0.7
58,0.8133217184152095,0.4635087265212462,0.8448465768021791,0.9347848583607142,0.095,0.062,0.0020088,0.6426564000000001,0.75
59,0.8074711854882486,0.47743946915184293,0.8478932381007833,0.9308859728583873,0.095,0.06799999999999999,0.0022031999999999998,0.6424296,0.75
60,0.8050705826162957,0.4800473820437052,0.8508779165853791,0.9263619924747548,0.125,0.093,0.0030131999999999997,0.6414846000000001,0.7
61,0.8021888875743359,0.4684778596808988,0.8538059745651697,0.9226914710078391,0.095,0.06999999999999999,0.002268,0.6423540000000001,0.65
62,0.8027669154168009,0.4711283213332281,0.8566791919187556,0.9223217234412475,0.05,0.038,0.0012312,0.6435636,0.6
63,0.8025337976643518,0.48126265355755865,0.8594907389578526,0.9204614598408648,0.125,0.10200000000000001,0.0033047999999999992,0.6411444000000001,0.55
64,0.8023152661068172,0.47868764277217357,0.8622472920970594,0.9200260455860695,0.11000000000000001,0.1,0.003239999999999999,0.64122,0.5
65,0.7966003421682722,0.44229138079591446,0.8649518748201885,0.9181521294430061,0.095,0.073,0.0023652,0.6422406,0.5
66,0.791989682093156,0.4436634891709696,0.8676033563322392,0.9151099883888358,0.095,0.073,0.0023652,0.6422406,0.5
67,0.7847663352693035,0.45724512795097205,0.8702026300032699,0.9116383479538316,0.095,0.075,0.00243,0.6421650000000001,0.4
68,0.7841684692302494,0.4552479571749897,0.8727488846591477,0.915628025704593,0.10999999999999999,0.10200000000000001,0.0033047999999999992,0.6411444000000001,0.4
69,0.7951111922721534,0.46653287498252727,0.8752467055325672,0.9377231250720891,0.095,0.08099999999999999,0.0026244,0.6419382,0.4
70,0.801232684088278,0.46752740836329865,0.8776973354129529,0.9400148009050202,0.065,0.05500000000000001,0.001782,0.6429210000000001,0.5
71,0.8044880076802041,0.4784918514651519,0.8800977440324912,0.941728233807954,0.095,0.08499999999999999,0.0027539999999999995,0.6417870000000001,0.5
72,0.8086500723826138,0.484654891152665,0.8824531488091303,0.9399036481782271,0.065,0.054000000000000006,0.0017495999999999998,0.6429588,0.55
73,0.8141613574559422,0.4732680588356771,0.8847622833103148,0.9462830587422879,0.065,0.054000000000000006,0.0017495999999999998,0.6429588,0.55
74,0.8119192100152912,0.4732370410955893,0.8870246862397604,0.9437602049852531,0.11000000000000001,0.075,0.00243,0.6421650000000001,0.55
75,0.8080564736996623,0.47351985349694437,0.8892428621288164,0.9394340204468159,0.095,0.072,0.0023328,0.6422784000000001,0.55
76,0.8130453136670214,0.4860665390030904,0.8914178635254164,0.9461000510077497,0.095,0.066,0.0021384,0.6425052000000001,0.55
