step,f_min,alpha_gov,avg_stability,avg_trust,avg_disturbance,avg_cognitive_distortion,avg_governance_coupling_k,avg_disturbance_damping_target
0,0.2,0.1,0.8715376657251822,0.7987201762802677,0.24308844931769566,0.18433439793627818,0.2000000000000001,0.09900000000000005
1,0.2,0.1,0.8904027323770058,0.8016429345514088,0.22059733662737896,0.19374835346995753,0.20265750122806875,0.1603363123698682
2,0.2,0.1,0.9008617733075093,0.8020191660784626,0.24633114408200843,0.19948222763593512,0.20533469676670152,0.16506290335126333
3,0.2,0.1,0.8989629510707898,0.7866333213438431,0.3274570671017342,0.2167155314042404,0.2081897413596389,0.17747513794933545
4,0.2,0.1,0.8950796765762833,0.772430837740861,0.3244584895672234,0.22591165530927793,0.21176470636468714,0.19917263422810758
5,0.2,0.1,0.8952713346520226,0.773870157654961,0.2698255013293362,0.2204478561577591,0.2148904533171412,0.21039744886604161
6,0.2,0.1,0.8913781072051802,0.7618313097176045,0.3434977508693587,0.22722093854141281,0.216258516539387,0.2019552005749449
7,0.2,0.1,0.886468715867289,0.7516322473016612,0.3272006954310526,0.2290796465582498,0.21724617566173104,0.21282233094326702
8,0.2,0.1,0.8865553786476768,0.752681204441179,0.28337154518966906,0.22387583155565086,0.21788445782426033,0.20358204602974445
9,0.2,0.1,0.8874492692426431,0.7557298463891071,0.2812447064864711,0.22398470331832526,0.2175732144007184,0.1940307156586666
10,0.2,0.1,0.8900290433205088,0.7636924537057875,0.2616822766313299,0.21366586206920363,0.21739957094107654,0.19705740460408572
11,0.2,0.1,0.8882527261099323,0.7616378507484615,0.3016272826188175,0.21547706264217073,0.21658933988112045,0.18682375714797797
12,0.2,0.1,0.8887655658878998,0.7676636911971607,0.26316936914851763,0.21221120487014652,0.2168363226527716,0.19173567069482783
13,0.2,0.1,0.8893347693967395,0.7727208269596727,0.2743760542551574,0.2090013336116407,0.21678577879696614,0.1868364936276057
14,0.2,0.1,0.8936607789754732,0.7869160468835248,0.2302595306266883,0.20195814309821766,0.21660370067449433,0.1818727774457681
15,0.2,0.1,0.8955018516998283,0.7931841092178705,0.2602339249163062,0.20206531423083024,0.21563355348263605,0.1674096834014849
16,0.2,0.1,0.9013980617630613,0.8063332545663623,0.21621860945260946,0.19638998793838072,0.21486596152921622,0.17163073226866984
17,0.2,0.1,0.906572915954073,0.8185064940912296,0.22019628686281126,0.19562293463357677,0.21413653817191908,0.16746401842440956
18,0.2,0.1,0.9127359077907844,0.8265870368505237,0.24942962408133826,0.19108660194095603,0.2136344558274138,0.16234578338760033
19,0.2,0.1,0.9169969982266788,0.8240914817572257,0.28191581495118856,0.19914866708981005,0.21321973121067536,0.17360302743924946
20,0.2,0.1,0.9213907262955513,0.827498207132051,0.23572959143939362,0.19931858298228045,0.21364658764834116,0.18896278196825592
21,0.2,0.1,0.9210137934088238,0.8204121400761846,0.2879211305491509,0.20580116643956073,0.21325231455002808,0.17652592689098368
22,0.2,0.1,0.9180461652601759,0.8057897181518826,0.31776759381540537,0.20992260465422669,0.2137334425937419,0.1868353647354218
23,0.2,0.1,0.9176725039009647,0.805355069907911,0.24390450110606074,0.21031935259464873,0.21474249284345434,0.19857262819065466
24,0.2,0.1,0.9165615682986276,0.8057106016193564,0.24507372747605555,0.21061407569887186,0.21421485041071586,0.178575868011976
25,0.2,0.1,0.9172928190490974,0.8120225306642771,0.23030172324850542,0.20359647669469877,0.2138278359135558,0.17188659072375817
26,0.2,0.1,0.922311246396659,0.8275033972708793,0.19686704276553604,0.18879360795748884,0.21353258694324437,0.16962002785919694
27,0.2,0.1,0.928794988323151,0.8373698534675197,0.22206957664681648,0.19061852394248693,0.21206353049252932,0.15919556384237515
28,0.2,0.1,0.925320799880323,0.8209332190737181,0.3252461511497727,0.2082629902133171,0.21045125787975805,0.16646908358842
29,0.2,0.1,0.9134221417707858,0.7912502378569919,0.3681180229083776,0.22503679414537417,0.21143452657747844,0.18797592929949758
30,0.2,0.1,0.9016079068753242,0.7661083703034702,0.35878456257459024,0.23586950821752994,0.21355465626277975,0.19918080342597477
31,0.2,0.1,0.8856980650782944,0.7379146994111827,0.39382496615592344,0.24979349753181201,0.21588476501443088,0.20453600434888403
32,0.2,0.1,0.8731323767593042,0.7249566892413764,0.3415196193070471,0.25004668480940867,0.21853125291656622,0.21556725878217178
33,0.2,0.1,0.8650256491362085,0.7240148650584094,0.3063239118756662,0.2381516085224252,0.22031164030986422,0.20843749644249085
34,0.2,0.1,0.8613404577403803,0.731670846081762,0.29148292610195914,0.22707896295922297,0.2209013267761317,0.20074347314605295
35,0.2,0.1,0.863898235771802,0.7492458818086104,0.25308290916245285,0.22211636461771297,0.2203125888671794,0.19069324256694598
36,0.2,0.1,0.8711769638576178,0.7616987265658566,0.28007871365327713,0.21790237246241162,0.21886224055051756,0.17602712587455968
37,0.2,0.1,0.8788577418391958,0.7741954469751494,0.26203240538887485,0.2143129655210487,0.21742685755350907,0.18673866612512197
38,0.2,0.1,0.8869879695794494,0.7884308185938369,0.23932460794018431,0.20303093036045464,0.21577488353268817,0.185524058103746
39,0.2,0.1,0.8933147175162909,0.7967933264468916,0.26100428799690584,0.1974956353396226,0.21493392489887292,0.17968196556855928
40,0.2,0.1,0.8944164349872596,0.7928128913494753,0.2976672566961468,0.20812099206982523,0.21447196957199893,0.18029823695016675
41,0.2,0.1,0.8959667931345411,0.7920375726837868,0.2723454735045029,0.20978126177917195,0.21447317101991756,0.18767635750114606
42,0.2,0.1,0.8933910544190614,0.7842906688244207,0.3134047254402453,0.21692205989017008,0.21508232906926417,0.1823908281959389
43,0.2,0.1,0.8938028975405012,0.7842995583168106,0.2774454236330712,0.2143872558468191,0.21668373136470573,0.19550906206830468
44,0.2,0.1,0.8933476662195952,0.7833991647309527,0.2976448687150771,0.20824972750726228,0.21750173499739572,0.19492914052860874
45,0.2,0.1,0.8902201465722226,0.7722941400446842,0.3396940009856103,0.22293642073253767,0.2187339921510127,0.2057439360838373
46,0.2,0.1,0.8854725893759635,0.7610773150001111,0.32636220158860535,0.2273536706853038,0.22032467701728328,0.21839346731383413
47,0.2,0.1,0.876797260207775,0.74122711492049,0.362054506500369,0.23654113056542864,0.22105655026257093,0.21009526447355448
48,0.2,0.1,0.8752435411639806,0.739230409436271,0.2936825843644584,0.2284685909828103,0.22256303474672798,0.2199032609525697
49,0.2,0.1,0.8770238356420073,0.7488109599360323,0.2656233530087111,0.21392511791037194,0.22252419178708177,0.20364567737098033
50,0.2,0.1,0.8751731704704137,0.752290963571438,0.3020617920265336,0.21335845185295305,0.22121907996935028,0.1921419260162581
51,0.2,0.1,0.8774658674410247,0.7617887359597192,0.26241078443125043,0.20930992789812902,0.21998779832552331,0.18605153886656386
