scenario,run_index,seed,node_a_final_stability,node_b_final_stability,node_a_stability_rate,node_b_stability_rate,node_a_failure,node_b_failure,node_a_recovered,node_b_recovered,node_a_final_trust,node_b_final_trust,propagated_breach,propagated_failure,synchronization_correlation,avg_stability_gap,simultaneous_breach
node_a_disturbance_only,0,42,0.9999999999999958,0.999999999999999,1.0,1.0,0,0,0,0,0.9667445239110696,0.962768994998035,0,0,0.9045307723512842,0.003852814144752438,0
node_a_disturbance_only,1,43,0.9851696968399992,0.9999999999730291,1.0,1.0,0,0,0,0,0.870166755901194,1.0,0,0,0.9731294019593293,0.005878921490658166,0
node_a_disturbance_only,2,44,0.9999999776619453,0.9999999999999989,1.0,1.0,0,0,0,0,0.9181509945408097,1.0,0,0,0.9902001252852412,0.0011454622500331147,0
node_a_disturbance_only,3,45,0.9999999999999989,0.999999991481973,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.9895757560014867,0.0010248677403901564,0
node_a_disturbance_only,4,46,0.9999999990439977,0.9998451604640586,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.9358838528350352,0.003569481841261277,0
node_a_disturbance_only,5,47,0.9999999999791749,0.999999999999999,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.72866687263541,0.01497810437441053,0
node_a_disturbance_only,6,48,0.9999999999987803,0.9999999815689812,1.0,1.0,0,0,0,0,0.9960245068722845,1.0,0,0,0.7639969874386542,0.006647760364748762,0
node_a_disturbance_only,7,49,0.9999999999999974,0.9999999994454005,1.0,1.0,0,0,0,0,0.998705034526906,1.0,0,0,0.9520363588486247,0.003628958166519165,0
node_a_disturbance_only,8,50,0.9999999999988003,0.9979942171711192,1.0,1.0,0,0,0,0,1.0,0.8886861626086189,0,0,0.816250109570073,0.008140333090725394,0
node_a_disturbance_only,9,51,0.9999999747254246,0.9999999999993515,1.0,1.0,0,0,0,0,0.9214261015616486,0.923088734672271,0,0,0.6208324296288725,0.014621211825524177,0
node_a_disturbance_only,10,52,0.9999999999999987,0.999999999999999,1.0,1.0,0,0,0,0,1.0,0.970190407267666,0,0,0.9960138141837392,0.0011479473797484996,0
node_a_disturbance_only,11,53,0.9999999999999967,0.9999999999986253,1.0,1.0,0,0,0,0,0.9761350090081748,1.0,0,0,0.9241161736289296,0.004915735813976967,0
node_a_disturbance_only,12,54,0.9999999999999306,0.9999999999999987,1.0,1.0,0,0,0,0,0.8966515055926993,1.0,0,0,0.861294059616173,0.005680880199831495,0
node_a_disturbance_only,13,55,0.9999999991602068,0.999999999999999,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.9918321531604455,0.00207930640487314,0
node_a_disturbance_only,14,56,0.9999999999999963,0.9999999999999968,1.0,1.0,0,0,0,0,0.9754835757557959,0.9487518953176535,0,0,0.9951937201428025,0.0014172046400897386,0
node_a_disturbance_only,15,57,0.9967386257310615,0.999999999999999,1.0,1.0,0,0,0,0,0.8677018557920756,1.0,0,0,0.8661828447333697,0.009883602059500446,0
node_a_disturbance_only,16,58,0.9999999999999989,0.999999999999974,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.9930832807858962,0.0013126815411906223,0
node_a_disturbance_only,17,59,0.9999912097061153,0.999999999999998,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.9602525298490759,0.006039770025008796,0
node_a_disturbance_only,18,60,0.9999999999999987,0.9953140724902667,1.0,1.0,0,0,0,0,0.9503660218704547,0.8830497276828497,0,0,0.9857714937095249,0.0019780364646164294,0
node_a_disturbance_only,19,61,0.9999999999999987,0.999999999999999,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.9961257892100159,0.001330123343723314,0
node_a_high_node_b_low,0,42,0.9999999999999956,0.8900665328686999,1.0,1.0,0,0,0,0,0.9654907489933042,0.7216433581019391,0,0,-0.07479532672571045,0.08269177743634,0
node_a_high_node_b_low,1,43,0.983966316959534,0.8740659050778137,1.0,0.96,0,0,0,1,0.8674586545824278,0.7447119369765642,1,0,0.044066996938206086,0.08494810727721026,0
node_a_high_node_b_low,2,44,0.9999402715314328,0.9906039974578589,1.0,1.0,0,0,0,0,0.9137764114390147,0.8723199172411901,0,0,0.027574914139931725,0.07887811967609383,0
node_a_high_node_b_low,3,45,0.9999999999999989,0.9999506351059796,1.0,0.96,0,0,0,1,1.0,0.9509722852044799,1,0,0.013019429305948136,0.08554702764805251,0
node_a_high_node_b_low,4,46,0.9999999988311149,0.903756732285854,1.0,0.95,0,0,0,1,1.0,0.7988743451321346,1,0,0.008963306243048457,0.06794935028569843,0
node_a_high_node_b_low,5,47,0.9999999999721563,0.8682365434688069,1.0,1.0,0,0,0,0,1.0,0.7181943765796442,0,0,-0.5109832913591517,0.08816788816257053,0
node_a_high_node_b_low,6,48,0.9999999999983938,0.9995953023814628,1.0,0.7,0,0,0,1,0.9892780800152994,0.8974647503909903,1,0,-0.16107513144653848,0.14022290406134474,0
node_a_high_node_b_low,7,49,0.9999999999999974,0.9038776355861917,1.0,0.98,0,0,0,1,0.9970779619424825,0.7658963442306771,1,0,0.038759803623686244,0.0780561972404262,0
node_a_high_node_b_low,8,50,0.9999999999983206,0.7126952942021006,1.0,0.64,0,1,0,1,1.0,0.5400240833984364,1,1,-0.2067416083415969,0.17393039399922802,0
node_a_high_node_b_low,9,51,0.9999999692569957,0.8107563574690198,1.0,0.63,0,0,0,1,0.9065597320327227,0.6246023371913644,1,0,0.34439847234397253,0.1410039942351304,0
node_a_high_node_b_low,10,52,0.9999999999999987,0.9109878071066081,1.0,1.0,0,0,0,0,1.0,0.7575350783817544,0,0,-0.03051431472006554,0.07518470756047133,0
node_a_high_node_b_low,11,53,0.9999999999999967,0.9990853576741459,1.0,0.9,0,0,0,1,0.9717677135023284,0.9844046734107879,1,0,-0.05252455725812985,0.07134740353853176,0
node_a_high_node_b_low,12,54,0.999613572914664,0.9997953786395064,1.0,1.0,0,0,0,0,0.8919960129232736,0.9381744618929334,0,0,0.35628336270479477,0.02936360799517842,0
node_a_high_node_b_low,13,55,0.9999999981438714,0.9975410452363821,1.0,1.0,0,0,0,0,1.0,0.9516638069322896,0,0,0.4727084761976032,0.026570316359872104,0
node_a_high_node_b_low,14,56,0.9999999999999961,0.8846166798358909,1.0,1.0,0,0,0,0,0.9673177827858492,0.7008143445750799,0,0,0.1269783478596932,0.07399725894632866,0
node_a_high_node_b_low,15,57,0.9945275410370205,0.9999998930163911,1.0,1.0,0,0,0,0,0.8535087032982467,0.9454945062149112,0,0,0.24984786524227964,0.03263302584671865,0
