scenario,avg_final_stability,avg_stability_rate,avg_node_failures,avg_stability_variance
isolated,0.9025143066300416,0.9428000000000001,0.0,0.001906785710738831
coupled,0.8643548398249179,0.8487,1.05,0.0033713899152551215
