step,avg_cooperation_level,avg_average_trust,avg_ai_capability,avg_governance_capacity,avg_disturbance,avg_effective_info,coop_above_080_share
0,0.842265930239375,0.7824822000000001,0.5093895625,0.5194566970000001,0.1,0.585275,0.95
1,0.8384086718092464,0.7539446263414551,0.5186045363979724,0.5561022866860509,0.095,0.58551125,0.85
2,0.8287810375426721,0.7492388608027334,0.5276293683597627,0.5629170150212907,0.145,0.5831487500000001,0.75
3,0.8281579781261457,0.7468925926485143,0.536508444528876,0.5806402158646486,0.075,0.5864562500000001,0.75
4,0.8242709910615161,0.6971133697175663,0.5452255508812316,0.6158388891510865,0.06,0.587165,0.65
5,0.8286505461964472,0.7096949799131655,0.55377870978911,0.6472001811872314,0.06,0.587165,0.6
6,0.8269232466826774,0.6736829920666639,0.5621710056291958,0.6862960222485237,0.06,0.587165,0.6
7,0.8195172674676401,0.651684844687041,0.5704085666080974,0.690991264164164,0.05,0.5876375,0.55
8,0.8156855934425427,0.642117672739774,0.5784850515608392,0.7038093370880489,0.07,0.5866925000000001,0.7
9,0.8115648824182855,0.6453120877177637,0.5864126831244467,0.7123830536150281,0.06,0.587165,0.65
10,0.8065408108721253,0.634511674536268,0.5941736274405868,0.7229065262806353,0.12,0.58433,0.55
11,0.8069651067362686,0.6369788448644793,0.6017961304988166,0.7338796343346248,0.095,0.58551125,0.6
12,0.8114709551045027,0.6401118072602672,0.6092825168972411,0.7543615889935609,0.07,0.5866925000000001,0.75
13,0.8086715565323013,0.6194025379925918,0.6166309258127551,0.7654306972587112,0.06,0.587165,0.7
14,0.8033102417166006,0.621983802538423,0.6238261870237568,0.7694916819674662,0.11499999999999999,0.5845662500000001,0.6
15,0.8066194677839891,0.6381392333917505,0.6309010660003885,0.7801559552933843,0.06,0.587165,0.65
16,0.8042796933003006,0.6038218374597379,0.6378284946133593,0.7921315160464164,0.11499999999999999,0.5845662500000001,0.6
17,0.7909822999542653,0.5363753713075148,0.6446361763667363,0.7923538352390456,0.075,0.5864562500000001,0.55
18,0.790949488277479,0.5430348034274982,0.6513070803180386,0.8037928125035905,0.11000000000000001,0.5848025000000001,0.5
19,0.7986538272517956,0.5626320366844106,0.6578626430226671,0.8269888382710878,0.07,0.5866925000000001,0.55
20,0.7928240807354977,0.5576019928190474,0.6642973836249552,0.8266054334089012,0.06,0.587165,0.55
21,0.7813270153337759,0.5384830488062471,0.6705932559300324,0.8329533164825168,0.135,0.58362125,0.45
22,0.7831513939778862,0.5431522013301925,0.6767862292169832,0.8357660827020856,0.07,0.5866925000000001,0.55
23,0.7820482521278576,0.5499838794566405,0.6828570478317121,0.8340363774077945,0.095,0.58551125,0.5
24,0.7880718882796649,0.5570928135308766,0.6888183363184399,0.8434888963220126,0.075,0.5864562500000001,0.55
25,0.7890747469392498,0.54467134013768,0.6946631593444961,0.8672389744715435,0.095,0.58551125,0.5
26,0.7925489889119535,0.563724261733353,0.7004003632674476,0.8725126053357544,0.08499999999999999,0.58598375,0.55
27,0.787622430969145,0.5334186884636928,0.706026582678741,0.8710824434347968,0.1,0.585275,0.5
28,0.7854298208089787,0.5417696276736492,0.7115554818500429,0.8692740202638527,0.06,0.587165,0.5
29,0.7873962769227154,0.552021317392828,0.7169711950341633,0.8825459976192663,0.10500000000000001,0.58503875,0.55
30,0.7930401842682634,0.5699281845006158,0.7222842205194001,0.8930912772952283,0.11000000000000001,0.5848025000000001,0.55
31,0.7840323336410666,0.5160844475752878,0.7275043997270968,0.8903364443997439,0.075,0.5864562500000001,0.5
32,0.7874032479077002,0.49497802229752763,0.7326293535402837,0.9046821303274966,0.06,0.587165,0.55
33,0.7772982572287421,0.4553054753480784,0.7376465474503289,0.9210759092411491,0.12,0.58433,0.45
34,0.7723720645498675,0.44368146108893036,0.7425826128804154,0.9179429818656486,0.05,0.5876375,0.45
35,0.7736542859715739,0.46026608541012115,0.7474194256520975,0.9182754210048021,0.08499999999999999,0.58598375,0.45
36,0.7707126243257458,0.4477841621465469,0.7521680370189779,0.91700627082462,0.07,0.5866925000000001,0.4
37,0.7689062579267827,0.45841829246333754,0.7568212252347636,0.9213532460844295,0.10500000000000001,0.58503875,0.45
38,0.7672990509181195,0.4581896154443739,0.7613939422344431,0.9177737025881735,0.065,0.58692875,0.45
39,0.76332113863011,0.4612313801764138,0.7658722215645876,0.9128006271315721,0.11499999999999999,0.5845662500000001,0.4
40,0.7631388298367796,0.4840895089832803,0.7702705976799821,0.9087450076180433,0.09,0.5857475000000001,0.35
41,0.7660466388058993,0.5058547588979845,0.7745863425323072,0.9075170471382021,0.09,0.5857475000000001,0.35
42,0.7618949902120014,0.4905993238003251,0.7788210092324781,0.9076290648160923,0.09,0.5857475,0.35
43,0.7626162819955258,0.48820733916370224,0.782976910560585,0.9062076350529902,0.08499999999999999,0.58598375,0.4
44,0.7630842124327913,0.4980988416613192,0.7870554909372437,0.9026675124619261,0.08,0.5862200000000001,0.35
45,0.7676994022719908,0.48353171178580323,0.7910574228924426,0.9070329375592122,0.08,0.5862200000000001,0.4
46,0.7782180076182299,0.5065667960515629,0.7949885860683439,0.9146857386703328,0.05,0.5876375,0.55
47,0.7782885592503727,0.5037348283730448,0.7988421522575062,0.9112935687191026,0.075,0.5864562500000001,0.5
48,0.7772785510187038,0.4885670300664476,0.802621144178552,0.9121872706588283,0.09,0.5857475000000001,0.45
49,0.7797111327507389,0.49905560971525986,0.8063333418527595,0.9117037967414824,0.06,0.587165,0.45
50,0.7812189630627006,0.5087309981263244,0.8099743510434069,0.9124913714275198,0.07,0.5866925000000001,0.45
51,0.7835512276515864,0.49411466460345127,0.8135475808804447,0.9158254877233676,0.065,0.58692875,0.45
52,0.786675427536893,0.4923394813687706,0.8170542811651746,0.9235718679126371,0.06,0.587165,0.5
53,0.7871525745468889,0.5021884691477819,0.8204930831985362,0.9211268002137141,0.075,0.5864562500000001,0.4
54,0.778520663965169,0.49817003314754527,0.8238615219032998,0.9158652227574533,0.12,0.58433,0.4
55,0.7786736437888295,0.47740948053483595,0.8271742412322791,0.9191549269787604,0.06,0.587165,0.35
56,0.768095153773511,0.4519630848698446,0.8304173085123834,0.9179030336736564,0.12,0.58433,0.35
57,0.7737373172206143,0.4637276276565691,0.8336049285833276,0.9238423729359353,0.075,0.5864562500000001,0.3
58,0.7644484439936169,0.42661893383430255,0.8367314506264162,0.9195506916233368,0.08499999999999999,0.58598375,0.2
