topology,node_count,k_D,k_C,k_T,intrinsic_decay,runs,steps,avg_edge_count,propagation_share,avg_failure_rate,avg_time_to_first_propagation,avg_largest_survival_cluster,max_last_affected_node,cascade_depth_distribution,last_affected_distribution,spatial_distribution_counts,spatial_behavior
chain,50,0.01,0.03,0.0,0.076,100,200,49.0,0.24,0.0,6.31,12.92,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|49|49|47|46|39|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|48|49|48|49|48|47|49|48|47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|49|48|49|46|47|46|49|48|49|48|47|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|49|49|47|46|39|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|48|49|48|49|48|47|49|48|47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|49|48|49|46|47|46|49|48|49|48|47|49|48,core_weighted:11|network_wide:89,expands_far
chain,50,0.01,0.03,0.0,0.077,100,200,49.0,0.28,0.0,6.33,12.92,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|49|49|47|46|39|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|48|49|48|49|48|47|49|48|48|47|45|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|49|46|47|46|49|48|49|48|47|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|49|49|47|46|39|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|48|49|48|49|48|47|49|48|48|47|45|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|49|46|47|46|49|48|49|48|47|49|48,core_weighted:11|network_wide:89,expands_far
chain,50,0.01,0.03,0.0,0.078,100,200,49.0,0.41,0.0,6.59,12.65,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|49|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|49|48|48|47|45|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|49|46|47|46|49|48|49|48|47|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|49|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|49|48|48|47|45|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|49|46|47|46|49|48|49|48|47|49|48,core_weighted:9|network_wide:91,expands_far
chain,50,0.01,0.03,0.0,0.079,100,200,49.0,0.38,0.0,6.6,12.65,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|48|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|49|48|48|47|45|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|49|46|47|46|49|48|49|48|47|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|48|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|49|48|48|47|45|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|49|46|47|46|49|48|49|48|47|49|48,core_weighted:10|network_wide:90,expands_far
chain,50,0.01,0.03,0.0,0.08,100,200,49.0,0.3,0.0,7.08,13.19,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|49|48|48|47|45|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|49|46|47|46|49|48|49|48|47|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|49|48|48|47|45|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|49|46|47|46|49|48|49|48|47|49|48,core_weighted:23|network_wide:77,expands_far
chain,50,0.01,0.03,0.0,0.081,100,200,49.0,0.29,0.0,7.18,13.27,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|49|48|48|47|45|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|49|46|47|46|49|48|49|48|47|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|49|48|48|47|45|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|49|46|47|46|49|48|49|48|47|49|48,core_weighted:23|network_wide:77,expands_far
chain,50,0.01,0.03,0.0,0.082,100,200,49.0,0.2,0.0,7.22,13.5,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|49|48|47|47|45|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|49|48|47|47|45|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|49|48,core_weighted:20|network_wide:80,expands_far
chain,50,0.01,0.03,0.0,0.083,100,200,49.0,0.12,0.0,8.65,13.5,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|49|48|47|47|45|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|49|48|47|47|45|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|49|48,core_weighted:14|network_wide:86,expands_far
chain,50,0.01,0.03,0.0,0.084,100,200,49.0,0.1,0.0,9.16,13.5,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|49|45|44|47|45|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|46|45,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|49|45|44|47|45|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|46|45,core_weighted:16|network_wide:84,expands_far
chain,50,0.01,0.03,0.0,0.085,100,200,49.0,0.05,0.0,9.43,13.66,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|46|45|44|47|45|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|46|45,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|46|45|44|47|45|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|46|45,core_weighted:16|network_wide:84,expands_far
