test_name,scenario,run_index,seed,final_stability,min_stability,max_stability,final_trust,final_disturbance,final_cognitive_distortion,stability_rate,first_breach_step,recovery_step,stable_run,recovered_run,failure_case,failure_reason,avg_intervention_utilization,first_stressor
capacity_sweep_v13,capacity_045,0,42,0.999967117673257,0.8092994500176705,0.9999999999421008,0.9843920747386586,0.21042815883949256,0.24221425491884283,1.0,,,1,0,0,,0.4496000000000012,disturbance
capacity_sweep_v13,capacity_045,1,43,0.9279761610287067,0.8391725430301251,0.9999828605843966,0.7974974688731284,0.22879652564023792,0.22484577772280748,1.0,,,1,0,0,,0.4496000000000012,disturbance
capacity_sweep_v13,capacity_045,2,44,0.9976411097168656,0.8686188677059955,0.9999992712218869,0.9283854145360422,0.14384930410560126,0.17323496759378612,1.0,,,1,0,0,,0.4496000000000012,disturbance
capacity_sweep_v13,capacity_045,3,45,0.9998293815241011,0.8811173820944553,0.9999999999982924,1.0,0.13511983721192616,0.15153354557614657,1.0,,,1,0,0,,0.4496000000000012,disturbance
capacity_sweep_v13,capacity_045,4,46,0.8623490305660365,0.7915883593373984,0.9999997947137599,0.7325777624043571,0.2026991997421351,0.2424835594657504,0.9733333333333334,46,50,0,1,0,,0.4496000000000012,disturbance
capacity_sweep_v13,capacity_045,5,47,0.9385935082754879,0.7600134093500838,0.9999866929160294,0.7905268336989946,0.20889265904381943,0.2171811935077866,0.9,12,15,0,1,0,,0.4496000000000012,trust
capacity_sweep_v13,capacity_045,6,48,0.9996630129666223,0.8388482502156819,0.9999661882934248,0.9886853710560323,0.08052607500187531,0.18578496522544188,1.0,,,1,0,0,,0.4496000000000012,disturbance
capacity_sweep_v13,capacity_045,7,49,0.9999212739923405,0.8574794120789366,0.9999981502706707,1.0,0.17345721783686124,0.15326715673192995,1.0,,,1,0,0,,0.4496000000000012,trust
capacity_sweep_v13,capacity_045,8,50,0.999999999999566,0.8812990088698391,0.999999999999566,1.0,0.15142960851221082,0.16991330810712169,1.0,,,1,0,0,,0.4496000000000012,disturbance
capacity_sweep_v13,capacity_045,9,51,0.9999636911424462,0.723637979801141,0.9999636911424462,1.0,0.13571277996930753,0.25146613879589985,0.84,42,44,0,1,0,,0.4496000000000012,trust
capacity_sweep_v13,capacity_045,10,52,0.9999996406285511,0.8831958749600782,0.9999999778010499,1.0,0.1254974213104234,0.18892798163937,1.0,,,1,0,0,,0.4496000000000012,none
capacity_sweep_v13,capacity_045,11,53,0.947151025722579,0.8753976809414177,0.9999995315673872,0.8396427098391575,0.11464605600426851,0.17882958241135147,1.0,,,1,0,0,,0.4496000000000012,disturbance
capacity_sweep_v13,capacity_045,12,54,0.9999387354709518,0.8013027062889455,0.9999914760490788,1.0,0.13571818112742892,0.22121575390277495,1.0,,,1,0,0,,0.4496000000000012,disturbance
capacity_sweep_v13,capacity_045,13,55,0.9769638261858646,0.80494410256961,0.9999860295523786,0.8581348602309264,0.14884820009317612,0.15720632541683688,1.0,,,1,0,0,,0.4496000000000012,trust
capacity_sweep_v13,capacity_045,14,56,0.999999969840983,0.878829108935357,0.999999969840983,0.964876701762531,0.14472411697422144,0.1766062373073475,1.0,,,1,0,0,,0.4496000000000012,none
capacity_sweep_v13,capacity_045,15,57,0.9997327034329068,0.7958994509147507,0.9999734077412783,0.9756645085967204,0.12847537942447795,0.207484459509032,0.9866666666666667,6,8,0,1,0,,0.4496000000000012,tie
capacity_sweep_v13,capacity_045,16,58,0.9999999999898586,0.8819213361427307,0.9999999999898586,1.0,0.12975275886536788,0.19536122103199446,1.0,,,1,0,0,,0.4496000000000012,disturbance
capacity_sweep_v13,capacity_045,17,59,0.9999907982087501,0.7790303551666322,0.9999907982087501,0.9988878586014273,0.2015161310095107,0.18790079345925428,0.9666666666666667,37,42,0,1,0,,0.4496000000000012,disturbance
capacity_sweep_v13,capacity_045,18,60,0.9903185565746143,0.834560030191624,0.9999999417124835,0.8653416887846926,0.22930609772959812,0.19920484368927768,1.0,,,1,0,0,,0.4496000000000012,trust
capacity_sweep_v13,capacity_045,19,61,0.9999999998649329,0.8625318500749335,0.9999999998649329,0.9161699974927552,0.2828131491417807,0.22958824674070505,1.0,,,1,0,0,,0.4496000000000012,disturbance
capacity_sweep_v13,capacity_045,20,62,0.9997289355300795,0.8704668862022097,0.9999887790062985,0.9766752888685766,0.1584060730901568,0.19401862091426836,1.0,,,1,0,0,,0.4496000000000012,disturbance
capacity_sweep_v13,capacity_045,21,63,0.9999979827810845,0.879942028360133,0.99999999998938,1.0,0.14778921679503157,0.19196880174093933,1.0,,,1,0,0,,0.4496000000000012,disturbance
capacity_sweep_v13,capacity_045,22,64,0.999988441562532,0.8347807569540253,0.9999963817728051,1.0,0.13369143558419253,0.2362517329557919,1.0,,,1,0,0,,0.4496000000000012,disturbance
capacity_sweep_v13,capacity_045,23,65,0.9999999996956255,0.8802621928066567,0.9999999999999568,1.0,0.13794984400622368,0.1995746091790461,1.0,,,1,0,0,,0.4496000000000012,none
capacity_sweep_v13,capacity_045,24,66,0.9999381162768993,0.8687154379156976,0.9999997352340728,0.9799001207446643,0.13851822048428164,0.23122884800060423,1.0,,,1,0,0,,0.4496000000000012,disturbance
capacity_sweep_v13,capacity_045,25,67,0.980846153443992,0.7763672368180898,0.9999999993610376,0.8520123941030198,0.19938108530412574,0.25071706331130444,0.96,14,20,0,1,0,,0.4496000000000012,trust
capacity_sweep_v13,capacity_045,26,68,0.9999999798994782,0.816492168099232,0.9999999798994782,1.0,0.10707374158001359,0.1706800526999948,1.0,,,1,0,0,,0.4496000000000012,trust
capacity_sweep_v13,capacity_045,27,69,0.9954999435927081,0.8849385617384334,0.9999998682486375,0.879025074606982,0.1684212103084326,0.2291085225685004,1.0,,,1,0,0,,0.4496000000000012,none
capacity_sweep_v13,capacity_045,28,70,0.9999999996973047,0.8441369511766019,0.9999999996973047,0.9914814183120082,0.15270457419597208,0.1979332816219459,1.0,,,1,0,0,,0.4496000000000012,disturbance
capacity_sweep_v13,capacity_045,29,71,0.9999999999999961,0.880005993910762,0.9999999999999961,1.0,0.14936990151375207,0.21403995323477903,1.0,,,1,0,0,,0.4496000000000012,none
capacity_sweep_v13,capacity_050,0,42,0.9999862762564494,0.8378531914068161,0.9999999999974725,0.9908650006816275,0.20643709231216653,0.2333250175086981,1.0,,,1,0,0,,0.4992666666666667,disturbance
capacity_sweep_v13,capacity_050,1,43,0.9540851360460335,0.8532565988006563,0.9999972959606993,0.822187662495401,0.22446053429181084,0.21622681331830312,1.0,,,1,0,0,,0.4992666666666667,disturbance
capacity_sweep_v13,capacity_050,2,44,0.9984094368557408,0.8775020652415447,0.9999999981656006,0.9625171523173726,0.13960637849446722,0.164899985964871,1.0,,,1,0,0,,0.4992666666666667,disturbance
