run_index,seed,final_cooperation,min_cooperation,max_cooperation,final_trust,final_ai_capability,final_governance_capacity,first_breach_step,recovery_step,stable_run,recovered_run,fragile_run,max_step_change
0,42,0.5967240407496935,0.5913914876979427,0.8566976025550059,0.019605500000000005,0.9181310655401974,0.6795789911033934,9,16,0,1,1,0.05361750477599492
1,43,0.6702328497627466,0.6432982935867922,0.8743617578540117,0.29676483191147734,0.9181074283813369,0.8205855823900656,16,51,0,1,1,0.059117062914608276
2,44,0.5684991759130361,0.553004574973915,0.8542652395728745,0.0,0.9179832350599911,0.6448787449488221,6,19,0,1,1,0.050531805510263816
3,45,0.6862942320508812,0.5284250507894206,0.80310825965,0.439869050754628,0.9181428834789152,0.5629299461609869,1,,0,0,1,0.05496774315832387
4,46,0.6254605616629894,0.5649251958043264,0.84116825965,0.1380046957977473,0.91803648619274,0.716358237381562,4,14,0,1,1,0.04599878713116867
5,47,0.5847199975947953,0.5456575957148606,0.84116825965,0.1301962035885213,0.9181251578494649,0.5454918868806196,1,,0,0,1,0.05299145583707854
6,48,0.707885796588839,0.5505402860804623,0.84116825965,0.4908084963553267,0.9181192497324313,0.5378796194167285,4,,0,0,1,0.06350966601915531
7,49,0.5848326255999713,0.5634799513409828,0.84116825965,0.1438805190345001,0.9180660574898913,0.49483391364829926,1,,0,0,1,0.06401756719829266
8,50,0.619225332941407,0.5637026956802839,0.84116825965,0.23169895879897126,0.918107433498364,0.5241931155635429,1,,0,0,1,0.046771438884860794
9,51,0.5904270129698679,0.526341332220789,0.84116825965,0.023785059601452614,0.9181487886122721,0.5598309824990774,4,,0,0,1,0.0547203396173892
10,52,0.6034070344193428,0.539855710674158,0.8404486828726133,0.1772672900942573,0.9181192535692635,0.5884844700617,8,,0,0,1,0.05046638423961658
11,53,0.6296882090297276,0.6205869801705279,0.9047673052388966,0.12827429563283912,0.9181487873335844,0.7795957732926629,35,46,0,1,1,0.052495785408470774
12,54,0.6281899278006928,0.5668123381215775,0.8553873418723954,0.19286557436803156,0.9182432396483062,0.6603409786327421,8,,0,0,1,0.04626216605743916
13,55,0.7310971781895714,0.6101084584714606,0.8686078861141513,0.5522417003607966,0.9181192484532821,0.6537459986700248,35,,0,0,1,0.04009037956296124
14,56,0.5909953364272891,0.5637193413251356,0.84116825965,0.08522253271747705,0.9181251578494647,0.6067875989027391,4,,0,0,1,0.045231905464535704
15,57,0.5974051119469951,0.5439870726210546,0.7884556982887706,0.1365228622200825,0.9181074309400045,0.5915237530675497,0,,0,0,1,0.03963913608815195
16,58,0.6527076097031995,0.6015876160019701,0.8633489028577703,0.2521048743730669,0.9181901253979432,0.6959340899413917,18,29,0,1,1,0.051135957711731184
17,59,0.6535102766696039,0.5725379734325814,0.8914567202632833,0.23757648834474568,0.9181546933193282,0.736213153767096,12,47,0,1,1,0.04623385727794027
18,60,0.5913903218332404,0.5464726605011161,0.84116825965,0.09369463723906728,0.9181783155575916,0.5788539752692946,3,,0,0,1,0.042586593194006706
19,61,0.590699013786815,0.5869138814174055,0.84116825965,0.0,0.9181546933193283,0.6809978519059705,8,21,0,1,1,0.052025686914918046
