run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
70,111,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.985,0.881,0,0.765,0.717,0.8,,,,True,False,0.0,none,0,0,0
71,112,scale-free,500,True,True,0.98,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.975,0.847,0,0.743,0.687,0.752,100,0,,False,True,0.0,none,0,0,0
72,113,scale-free,500,True,True,0.996,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.945,0.797,0,0.708,0.659,0.708,100,0,,False,True,0.0,none,0,0,0
73,114,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.981,0.846,0,0.732,0.68,0.737,100,0,,False,True,0.0,none,0,0,0
74,115,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.98,0.866,0,0.762,0.704,0.763,100,,170,True,False,0.0,none,0,0,0
75,116,scale-free,500,True,True,0.99,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.966,0.824,0,0.709,0.658,0.712,100,0,,False,True,0.0,none,0,0,0
76,117,scale-free,500,True,True,0.992,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.979,0.855,0,0.738,0.682,0.747,100,,190,True,False,0.0,none,0,0,0
77,118,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.996,0.892,0,0.777,0.722,0.787,100,,140,True,False,0.0,none,0,0,0
78,119,scale-free,500,True,True,0.995,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.973,0.84,0,0.759,0.691,0.759,100,0,,False,True,0.0,none,0,0,0
79,120,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.985,0.858,0,0.758,0.69,0.769,100,,200,True,False,0.0,none,0,0,0
80,121,scale-free,500,True,True,0.99,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.92,0.767,0,0.693,0.64,0.693,100,0,,False,True,0.0,none,0,0,0
81,122,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.975,0.846,0,0.749,0.692,0.749,100,0,,False,True,0.0,none,0,0,0
82,123,scale-free,500,True,True,0.998,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.985,0.869,0,0.769,0.711,0.778,100,,160,True,False,0.0,none,0,0,0
83,124,scale-free,500,True,True,0.99,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.949,0.834,0,0.753,0.689,0.775,100,,180,True,False,0.0,none,0,0,0
84,125,scale-free,500,True,True,0.996,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.983,0.848,0,0.746,0.68,0.747,100,0,,False,True,0.0,none,0,0,0
85,126,scale-free,500,True,True,0.987,1.0,1.0,0,1,1.0,0.5,2,1,0.05,0.955,0.837,0,0.752,0.689,0.759,100,0,,False,True,0.0,none,0,0,0
86,127,scale-free,500,True,True,0.998,1.0,1.0,0,1,1.0,0.5,2,1,0.05,0.945,0.793,0,0.712,0.654,0.712,100,0,,False,True,0.0,none,0,0,0
87,128,scale-free,500,True,True,0.994,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.985,0.879,0,0.771,0.712,0.779,100,,140,True,False,0.0,none,0,0,0
88,129,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.98,0.85,0,0.748,0.684,0.748,100,0,,False,True,0.0,none,0,0,0
89,130,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.988,0.865,0,0.769,0.703,0.77,100,,200,True,False,0.0,none,0,0,0
90,131,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.989,0.864,0,0.741,0.674,0.746,100,0,,False,True,0.0,none,0,0,0
91,132,scale-free,500,True,True,0.999,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.953,0.808,0,0.72,0.656,0.72,100,0,,False,True,0.0,none,0,0,0
92,133,scale-free,500,True,True,0.97,1.0,1.0,0,1,1.0,0.0,4,0,0.05,0.89,0.75,0,0.692,0.619,0.692,100,0,,False,True,0.0,none,0,0,0
93,134,scale-free,500,True,True,0.987,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.926,0.801,0,0.739,0.666,0.739,100,0,,False,True,0.0,none,0,0,0
94,135,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.963,0.824,0,0.714,0.659,0.714,100,0,,False,True,0.0,none,0,0,0
95,136,scale-free,500,True,True,0.994,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.974,0.833,0,0.733,0.682,0.733,100,0,,False,True,0.0,none,0,0,0
96,137,scale-free,500,True,True,0.99,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.97,0.836,0,0.746,0.684,0.756,100,0,,False,True,0.0,none,0,0,0
97,138,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.968,0.846,0,0.752,0.688,0.752,100,,200,True,False,0.0,none,0,0,0
98,139,scale-free,500,True,True,0.991,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.895,0.742,0,0.664,0.612,0.664,100,0,,False,True,0.0,none,0,0,0
99,140,scale-free,500,True,True,0.999,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.982,0.851,0,0.765,0.704,0.765,100,0,,False,True,0.0,none,0,0,0
100,141,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.978,0.847,0,0.748,0.683,0.759,100,0,,False,True,0.0,none,0,0,0
