batch_id,scenario,profile,run_index,seed,step,detect_step,collapse30_event_step,lead_steps,actual_topology,detected_topology,psi_extended,term_t,term_d,term_g,term_s,term_variance,term_regime,collapse_share,s_network,cluster_variance,trigger_A,trigger_A_source
grand_sim_v0_5,async_message_loss,high_stress,2,9712,23,20,31,11,federation,federation,0.336331,0.079513,0.031112,0.078944,0.146242,0.000519,0.0,0.0,0.582165,0.005191,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,2,9712,24,20,31,11,federation,federation,0.355362,0.083507,0.031278,0.080847,0.159091,0.000641,0.0,0.0,0.545455,0.006407,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,2,9712,25,20,31,11,federation,federation,0.365009,0.087587,0.031468,0.083123,0.162012,0.00082,0.0,0.0,0.537109,0.008199,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,3,9713,15,20,31,11,federation,federation,0.258551,0.056959,0.030615,0.065973,0.104858,0.000146,0.0,0.0,0.700405,0.001456,0,
grand_sim_v0_5,async_message_loss,high_stress,3,9713,16,20,31,11,federation,federation,0.266354,0.059166,0.030736,0.067785,0.108493,0.000173,0.0,0.0,0.690019,0.001735,0,
grand_sim_v0_5,async_message_loss,high_stress,3,9713,17,20,31,11,federation,federation,0.273709,0.061357,0.030759,0.069838,0.111567,0.000188,0.0,0.0,0.681237,0.001879,0,
grand_sim_v0_5,async_message_loss,high_stress,3,9713,18,20,31,11,federation,federation,0.284624,0.063711,0.0309,0.072118,0.117661,0.000235,0.0,0.0,0.663827,0.002348,0,
grand_sim_v0_5,async_message_loss,high_stress,3,9713,19,20,31,11,federation,federation,0.296682,0.066583,0.031201,0.074622,0.123959,0.000316,0.0,0.0,0.645831,0.003162,0,
grand_sim_v0_5,async_message_loss,high_stress,3,9713,20,20,31,11,federation,federation,0.308203,0.069811,0.031206,0.077381,0.129456,0.000349,0.0,0.0,0.630125,0.00349,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,3,9713,21,20,31,11,federation,federation,0.322452,0.072972,0.031497,0.078116,0.139448,0.000419,0.0,0.0,0.601576,0.004194,1,C07_PSI_EXTENDED
